,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,10027.416446442523
2,2016-01-06,9960.114201778215
3,2016-01-07,9793.7646382862
4,2016-01-08,9669.526807899238
5,2016-01-11,9618.78184629081
6,2016-01-12,9677.182627655558
7,2016-01-13,9532.346509434617
8,2016-01-14,9709.176679370492
9,2016-01-15,9522.361931247742
10,2016-01-19,9562.407236190713
11,2016-01-20,9377.579182183945
12,2016-01-21,9385.87769447429
13,2016-01-22,9499.41655978061
14,2016-01-25,9434.898882276415
15,2016-01-26,9865.240734710038
16,2016-01-27,9944.25481909564
17,2016-01-28,9959.927615879053
18,2016-01-29,10199.133827694353
19,2016-02-01,10129.924808097909
20,2016-02-02,10002.574869146189
21,2016-02-03,10072.5565371614
22,2016-02-04,10079.150159237666
23,2016-02-05,9786.219541216116
24,2016-02-08,9873.879230910716
25,2016-02-09,9862.389605686181
26,2016-02-10,9824.645971920847
27,2016-02-11,9757.130219859537
28,2016-02-12,9884.333931992409
29,2016-02-16,9948.190775190651
30,2016-02-17,9974.111422108224
31,2016-02-18,10091.380504037774
32,2016-02-19,10147.016182924643
33,2016-02-22,10215.688603327402
34,2016-02-23,10095.267330331946
35,2016-02-24,10168.521979579535
36,2016-02-25,10308.97185548774
37,2016-02-26,10273.45955245864
38,2016-02-29,10193.429476304238
39,2016-03-01,10595.234726639628
40,2016-03-02,10595.025589105753
41,2016-03-03,10567.57058937545
42,2016-03-04,10557.357296666061
43,2016-03-07,10574.603301986801
44,2016-03-08,10499.977119571566
45,2016-03-09,10561.158863587374
46,2016-03-10,10572.787528027908
47,2016-03-11,10640.158238185115
48,2016-03-14,10630.092805497163
49,2016-03-15,10640.631377144695
50,2016-03-16,10603.744631214366
51,2016-03-17,10542.891933874467
52,2016-03-18,10652.881473039623
53,2016-03-21,10633.858036503938
54,2016-03-22,10636.40049308036
55,2016-03-23,10722.559939918625
56,2016-03-24,10694.329578404915
57,2016-03-28,10685.474298485711
58,2016-03-29,10752.115228583974
59,2016-03-30,10756.784320130497
60,2016-03-31,10678.154136448244
61,2016-04-01,11129.298971089585
62,2016-04-04,11070.770677986518
63,2016-04-05,11079.493881943581
64,2016-04-06,11132.623018176568
65,2016-04-07,11079.332114537043
66,2016-04-08,11075.84250427577
67,2016-04-11,11076.919396510842
68,2016-04-12,11161.004889043688
69,2016-04-13,11252.28700913535
70,2016-04-14,11271.26037748744
71,2016-04-15,11281.477269166327
72,2016-04-18,11357.671352897218
73,2016-04-19,11538.61012474254
74,2016-04-20,11641.918150092155
75,2016-04-21,11623.77447081104
76,2016-04-22,11611.958749685586
77,2016-04-25,11618.539219346188
78,2016-04-26,11575.126783054307
79,2016-04-27,11567.778975570709
80,2016-04-28,11528.727017197754
81,2016-04-29,11483.051211910584
82,2016-05-02,10951.211022306205
83,2016-05-03,10913.37829152435
84,2016-05-04,10848.364137830307
85,2016-05-05,10893.626530941689
86,2016-05-06,10891.784076552536
87,2016-05-09,10961.660816780503
88,2016-05-10,11061.726755802298
89,2016-05-11,11030.98677087043
90,2016-05-12,11018.444050904454
91,2016-05-13,10948.281677964009
92,2016-05-16,11032.710684924386
93,2016-05-17,10982.719876918098
94,2016-05-18,11026.741085252183
95,2016-05-19,10948.703261183236
96,2016-05-20,11000.610706118729
97,2016-05-23,10959.655627467262
98,2016-05-24,11032.300976551312
99,2016-05-25,11113.003266215052
100,2016-05-26,11062.746925263662
101,2016-05-27,11086.65789232009
102,2016-05-31,11051.836661408262
103,2016-06-01,11092.115193790578
104,2016-06-02,11236.584684023965
105,2016-06-03,11227.29558803314
106,2016-06-06,11327.99021006545
107,2016-06-07,11318.750235541374
108,2016-06-08,11329.65890983207
