Date,Portfolio_Value
2016-05-12,9997.141987031897
2016-05-13,9910.83171592781
2016-05-16,10000.958617131519
2016-05-17,9875.207029606292
2016-05-18,9812.561845334476
2016-05-19,9796.073803555375
2016-05-20,9825.987863301212
2016-05-23,9839.337160157687
2016-05-24,9980.481938045717
2016-05-25,10056.84697914755
2016-05-26,10050.61312435741
2016-05-27,10084.916372846556
2016-05-31,10046.815795964852
2016-06-01,10023.905367719208
2016-06-02,10063.29414925103
2016-06-03,10047.351051721118
2016-06-06,10105.106315235404
2016-06-07,10125.683038743544
2016-06-08,10158.904089994536
2016-06-09,10143.610027749493
2016-06-10,10080.639636915024
2016-06-13,10049.556681641465
2016-06-14,10067.890671945192
2016-06-15,10053.472209461695
2016-06-16,10127.330933573092
2016-06-17,10072.87821465647
2016-06-20,10141.639469158717
2016-06-21,10178.011575924209
2016-06-22,10128.987025296567
2016-06-23,10227.755751416886
2016-06-24,9949.035340709323
2016-06-27,9800.071860534077
2016-06-28,9943.962158719762
2016-06-29,10104.518398704986
2016-06-30,10243.5963163184
2016-07-01,10257.299688380004
2016-07-05,10125.79385188912
2016-07-06,10137.568374095968
2016-07-07,10118.889353996505
2016-07-08,10277.908795489288
2016-07-11,10349.680089966265
2016-07-12,10455.253281346777
2016-07-13,10455.8237905599
2016-07-14,10549.9406167236
2016-07-15,10513.519277913796
2016-07-18,10580.41825847854
2016-07-19,10607.828223132497
2016-07-20,10633.12643780447
2016-07-21,10579.956234503408
2016-07-22,10604.721739130986
2016-07-25,10607.426203581641
2016-07-26,10540.793578101084
2016-07-27,10477.081552570216
2016-07-28,10464.718643398539
2016-07-29,10460.561498303417
2016-08-01,10455.953913875239
2016-08-02,10378.870888693968
2016-08-03,10415.18301364222
2016-08-04,10417.076349320154
2016-08-05,10496.526193828659
2016-08-08,10472.891781239334
2016-08-09,10469.574118927649
2016-08-10,10430.965910916482
2016-08-11,10562.064270328434
2016-08-12,10551.769327929569
2016-08-15,10587.088734358429
2016-08-16,10514.416636096554
2016-08-17,10505.63589385049
2016-08-18,10528.65310166661
2016-08-19,10539.603214501403
2016-08-22,10520.320377142893
2016-08-23,10536.057815931455
2016-08-24,10499.79887460501
2016-08-25,10538.229818296913
2016-08-26,10542.7532309522
2016-08-29,10574.9255986226
2016-08-30,10541.363545104818
2016-08-31,10537.487029397227
2016-09-01,10410.987558390887
2016-09-02,10468.77567857033
2016-09-06,10483.79132565839
2016-09-07,10452.123490822896
2016-09-08,10371.282791163934
2016-09-09,10145.706057862262
2016-09-12,10292.391123578556
2016-09-13,10145.733665669097
2016-09-14,10191.672281470517
2016-09-15,10350.371580310224
2016-09-16,10399.50106876978
2016-09-19,10390.1744687728
2016-09-20,10395.74447969674
2016-09-21,10469.26318113487
2016-09-22,10531.52816717954
2016-09-23,10475.579228536413
2016-09-26,10353.206276948886
2016-09-27,10415.87208003693
2016-09-28,10501.985492288197
2016-09-29,10375.167471110908
2016-09-30,10454.736139251298
2016-10-03,10393.943511080894
2016-10-04,10340.147381852175
2016-10-05,10393.406990320616
2016-10-06,10415.801221724965
2016-10-07,10401.363486827502
2016-10-10,10400.969367143254
2016-10-11,10267.284069559913
2016-10-12,10254.361856157004
2016-10-13,10228.10393968481
2016-10-14,10240.834180676562
2016-10-17,10127.447602873039
2016-10-18,10132.011248563802
2016-10-19,10176.570061411385
2016-10-20,10050.876550932018
2016-10-21,10033.077905440896
2016-10-24,10095.814562216661
2016-10-25,10002.14332757533
2016-10-26,10010.467550399942
2016-10-27,10045.383836146839
2016-10-28,10086.233858792546
2016-10-31,10127.18759581166
2016-11-01,10085.263769901527
2016-11-02,10017.123159032184
2016-11-03,9957.494446462715
2016-11-04,9958.970128545541
2016-11-07,10169.969549855185
2016-11-08,10208.219582096304
2016-11-09,10290.80725836935
2016-11-10,10255.600437836647
2016-11-11,10292.359910882817
2016-11-14,10189.698895025444
2016-11-15,10205.57991792022
2016-11-16,10215.634917732697
2016-11-17,10190.924434345827
2016-11-18,10223.89380555495
2016-11-21,10290.668376820704
2016-11-22,10295.416642346587
2016-11-23,10375.848611778447
2016-11-25,10426.776162363409
2016-11-28,10398.55501422984
2016-11-29,10359.933353131019
2016-11-30,10329.183502736782
2016-12-01,10354.376845105775
2016-12-02,10389.24465786001
2016-12-05,10421.766825430006
2016-12-06,10465.152141751802
2016-12-07,10544.591137046491
2016-12-08,10531.80174208664
2016-12-09,10672.160663326496
2016-12-12,10686.989225878471
2016-12-13,10790.989520937717
2016-12-14,10745.31681046651
2016-12-15,10769.485391139144
2016-12-16,10766.583020427632
2016-12-19,10767.727662381069
2016-12-20,10856.031978435945
2016-12-21,10845.34483045987
2016-12-22,10844.410673832843
2016-12-23,10852.226596427168
2016-12-27,10850.708008803997
2016-12-28,10785.993890700538
2016-12-29,10787.201975406615
2016-12-30,10758.408665335164
2017-01-03,11013.502873418855
2017-01-04,11067.982189865188
2017-01-05,11046.696903733144
2017-01-06,11145.953558575347
2017-01-09,11075.100880217808
2017-01-10,11053.043865504495
2017-01-11,11154.732195800685
2017-01-12,11099.356652491606
2017-01-13,11093.963892369065
2017-01-17,11159.099681351901
2017-01-18,11172.92125399781
2017-01-19,11130.999311763619
2017-01-20,11297.875066278886
2017-01-23,11259.361195415431
2017-01-24,11297.197848159289
2017-01-25,11324.843655702405
2017-01-26,11283.55628829335
2017-01-27,11382.519052058113
2017-01-30,11401.909577496328
2017-01-31,11359.94752995039
2017-02-01,11455.058509898621
2017-02-02,11453.616216486673
2017-02-03,11573.186292221862
2017-02-06,11523.534202186103
2017-02-07,11540.273472147952
2017-02-08,11548.434400820695
2017-02-09,11607.407961946672
2017-02-10,11688.456540311818
2017-02-13,11779.313637945343
2017-02-14,11816.800290183517
2017-02-15,11832.22028767776
2017-02-16,11835.40432808092
2017-02-17,11814.59904492163
2017-02-21,11862.9816300379
2017-02-22,11885.84517015039
2017-02-23,11903.192643815231
2017-02-24,11904.855002178769
2017-02-27,11935.809619518903
2017-02-28,11933.778435595399
2017-03-01,12056.904244427924
2017-03-02,11999.862924333596
2017-03-03,12040.002262979302
2017-03-06,12028.544535905314
2017-03-07,12024.21527865818
2017-03-08,11995.030557276981
2017-03-09,11977.074599206044
2017-03-10,12045.939248669847
2017-03-13,12023.320385165302
2017-03-14,12006.13158158062
2017-03-15,12093.792649344792
2017-03-16,12106.535874198096
2017-03-17,12083.445661721495
2017-03-20,12043.624895394449
2017-03-21,11904.895459773683
2017-03-22,11882.773234175535
2017-03-23,11845.321650292713
2017-03-24,11822.518422059886
2017-03-27,11819.283318955531
2017-03-28,11848.500814815205
2017-03-29,11835.005984934369
2017-03-30,11787.759243953638
2017-03-31,11762.1349634687
2017-04-03,11726.156058044615
2017-04-04,11810.038203025293
2017-04-05,11732.07737060302
2017-04-06,11753.153127863538
2017-04-07,11732.248753517773
2017-04-10,11727.014154950457
2017-04-11,11737.807804638685
2017-04-12,11696.503654226319
2017-04-13,11601.270389826657
2017-04-17,11672.49667786568
2017-04-18,11614.903252590384
2017-04-19,11589.912025207488
2017-04-20,11588.512352931799
2017-04-21,11616.06846774305
2017-04-24,11687.171851881421
2017-04-25,11821.425455218516
2017-04-26,11843.251569386486
2017-04-27,11860.922706867881
2017-04-28,11884.595203326995
2017-05-01,11848.386713525211
2017-05-02,11870.732685950576
2017-05-03,11850.341770930429
2017-05-04,11829.927362370689
2017-05-05,11851.943422091572
2017-05-08,11837.277195857469
2017-05-09,11818.025539052314
2017-05-10,11810.92002125927
2017-05-11,11811.503705639405
2017-05-12,11791.856343242058
2017-05-15,11845.69654693656
2017-05-16,11796.310823128626
2017-05-17,11603.26765172356
2017-05-18,11557.989097653906
2017-05-19,11625.011834677847
2017-05-22,11617.823712946996
2017-05-23,11636.26516895377
2017-05-24,11637.155855653815
2017-05-25,11664.902525698415
2017-05-26,11654.197837993706
2017-05-30,11637.673974996738
2017-05-31,11591.594688448262
2017-06-01,11667.563574978889
2017-06-02,11738.851550929314
2017-06-05,11756.278789749671
2017-06-06,11725.903990183702
2017-06-07,11755.05256068806
2017-06-08,11753.04665904675
2017-06-09,11788.126882163215
2017-06-12,11801.133530471092
2017-06-13,11835.760628201077
2017-06-14,11871.633403541755
2017-06-15,11880.021049241086
2017-06-16,11838.305110090365
2017-06-19,11920.413163793328
2017-06-20,11852.147226445572
2017-06-21,11716.782786605108
2017-06-22,11737.515486222263
2017-06-23,11765.455229417219
2017-06-26,11787.340982699767
2017-06-27,11632.862487593266
2017-06-28,11733.89452240491
2017-06-29,11686.10083504085
2017-06-30,11723.069962115807
2017-07-03,11763.016078096707
2017-07-05,11699.095153454933
2017-07-06,11570.929406066996
2017-07-07,11669.4196390585
2017-07-10,11684.77978878977
2017-07-11,11693.366705173094
2017-07-12,11783.540848999872
2017-07-13,11792.603002548334
2017-07-14,11835.771429743289
2017-07-17,11811.045634257216
2017-07-18,11782.324754934705
2017-07-19,11670.849456962409
2017-07-20,11710.495889063179
2017-07-21,11678.824793010257
2017-07-24,11676.237536877583
2017-07-25,11750.99795855141
2017-07-26,11778.819393372241
2017-07-27,11773.266092122976
2017-07-28,11827.316658592636
2017-07-31,11885.964935012757
2017-08-01,12032.431743207188
2017-08-02,11967.709696126361
2017-08-03,11981.815697950435
2017-08-04,12004.236549001618
2017-08-07,11998.506283457664
2017-08-08,11976.182447270397
2017-08-09,11980.006410261874
2017-08-10,11884.377138517973
2017-08-11,11853.045221442957
2017-08-14,11982.560493777492
2017-08-15,11966.351179986174
2017-08-16,12006.635343432894
2017-08-17,11884.692236240939
2017-08-18,11797.870518984162
2017-08-21,11783.781865841396
2017-08-22,11887.568972124755
2017-08-23,11857.562558757512
2017-08-24,11846.262104250196
2017-08-25,11914.227188391485
2017-08-28,11871.546476206768
2017-08-29,11907.345453171307
2017-08-30,11910.112295703442
2017-08-31,11878.70971567323
2017-09-01,11922.322897402024
2017-09-05,11866.847381625774
2017-09-06,11903.483168527322
2017-09-07,11871.228521209945
2017-09-08,11864.116683197486
2017-09-11,11998.935508846958
2017-09-12,12068.754819062724
2017-09-13,12087.876353163445
2017-09-14,12079.50932273769
2017-09-15,12127.457251681619
2017-09-18,12087.9982933222
2017-09-19,12106.03957786797
2017-09-20,12121.283434696994
2017-09-21,12062.243968896591
2017-09-22,12100.29111317173
2017-09-25,12102.295291312848
2017-09-26,12088.071274039994
2017-09-27,12049.909812622078
2017-09-28,12115.89547858527
2017-09-29,12171.101590725886
2017-10-02,12305.326278518107
2017-10-03,12342.024954115903
2017-10-04,12336.61652300627
2017-10-05,12384.358309659745
2017-10-06,12369.48382945896
2017-10-09,12314.56685727576
2017-10-10,12353.983959423867
2017-10-11,12360.26108859683
2017-10-12,12326.560726890795
2017-10-13,12325.3200452283
2017-10-16,12335.465405927522
2017-10-17,12355.140412082088
2017-10-18,12475.770013029642
2017-10-19,12490.270969681318
2017-10-20,12599.447045361407
2017-10-23,12621.126405291216
2017-10-24,12639.738907144745
2017-10-25,12691.206135096854
2017-10-26,12525.566205154248
2017-10-27,12348.178792400024
2017-10-30,12300.257096733598
2017-10-31,12303.636898088862
2017-11-01,12355.44973782293
2017-11-02,12383.250368390227
2017-11-03,12444.216012700303
2017-11-06,12454.768289552423
2017-11-07,12482.609441234146
2017-11-08,12548.061646483042
2017-11-09,12462.752145940614
2017-11-10,12424.60471742123
2017-11-13,12457.698465504633
2017-11-14,12453.659626704064
2017-11-15,12411.604404335569
2017-11-16,12493.888159177386
2017-11-17,12414.852836530059
2017-11-20,12420.8997535245
2017-11-21,12556.545944091187
2017-11-22,12581.716643899797
2017-11-24,12567.848233790926
2017-11-27,12575.288015943968
2017-11-28,12679.576596377998
2017-11-29,12692.705609581844
2017-11-30,12803.530745982516
2017-12-01,12769.025336171862
2017-12-04,12908.01717204046
2017-12-05,12885.183183045026
2017-12-06,12914.664282566386
2017-12-07,12927.68869157741
2017-12-08,12965.223073569148
2017-12-11,12999.170567534702
2017-12-12,13115.955083683679
2017-12-13,13153.096411790995
2017-12-14,13097.451302864221
2017-12-15,13166.532140948766
2017-12-18,13183.717084709635
2017-12-19,13210.814926099114
2017-12-20,13194.48682554101
2017-12-21,13293.428019617751
2017-12-22,13277.36327348744
2017-12-26,13319.136543240596
2017-12-27,13347.922985237723
2017-12-28,13381.299379042166
2017-12-29,13298.70814906969
2018-01-02,13391.84516826644
2018-01-03,13371.13545433399
2018-01-04,13481.844931773741
2018-01-05,13506.506871279205
2018-01-08,13472.744562315102
2018-01-09,13458.079053618967
2018-01-10,13377.931086981385
2018-01-11,13416.950083689855
2018-01-12,13520.399330787912
2018-01-16,13653.475389413261
2018-01-17,13759.500795739856
2018-01-18,13733.29116024562
2018-01-19,13709.042034899427
2018-01-22,13833.463941879983
2018-01-23,13906.128015185604
2018-01-24,13801.997502519058
2018-01-25,13829.675498182149
2018-01-26,13980.022963971523
2018-01-29,13953.579398656773
2018-01-30,13876.40294737049
2018-01-31,13879.810357168997
2018-02-01,13952.82322736202
2018-02-02,13661.291862691169
2018-02-05,12971.166519823544
2018-02-06,13298.046501390118
2018-02-07,13296.0242534187
2018-02-08,12824.026533948942
2018-02-09,12986.02652332808
2018-02-12,13158.26209372053
2018-02-13,13155.396682742896
