Date,Capital
2016-01-04,10000.000000000004
2016-01-05,10002.852453173024
2016-01-06,9864.7700924187
2016-01-07,9655.052423696072
2016-01-08,9555.710796750454
2016-01-11,9589.426428301575
2016-01-12,9669.878337899592
2016-01-13,9451.72045815653
2016-01-14,9596.402481360783
2016-01-15,9367.853553704037
2016-01-19,9397.380394683649
2016-01-20,9279.602651729572
2016-01-21,9330.465104373186
2016-01-22,9454.69409813903
2016-01-25,9342.724118183072
2016-01-26,9486.011526878046
2016-01-27,9360.87801476437
2016-01-28,9396.579019373818
2016-01-29,9660.316378202519
2016-02-01,9666.906473889368
2016-02-02,9465.130731120236
2016-02-03,9535.947099460183
2016-02-04,9564.961353203125
2016-02-05,9389.235636533806
2016-02-08,9269.6592369218
2016-02-09,9283.994248950778
2016-02-10,9256.150242051526
2016-02-11,9157.642432358576
2016-02-12,9335.764118494977
2016-02-16,9454.236490475972
2016-02-17,9617.425401162984
2016-02-18,9573.555278575624
2016-02-19,9574.355081027064
2016-02-22,9687.467034460315
2016-02-23,9575.264122929182
2016-02-24,9599.464582540522
2016-02-25,9729.376863604213
2016-02-26,9685.038140459239
2016-02-29,9602.770229901118
2016-03-01,9837.147118465384
2016-03-02,9856.828677894875
2016-03-03,9882.579257207473
2016-03-04,9905.98596172484
2016-03-07,9928.014184129863
2016-03-08,9881.70308573071
2016-03-09,9918.786506968358
2016-03-10,9914.757751061972
2016-03-11,10034.53764397163
2016-03-14,10041.515340792359
2016-03-15,10054.080583748182
2016-03-16,10106.641092868109
2016-03-17,10185.611478022553
2016-03-18,10246.325242315339
2016-03-21,10264.925686595367
2016-03-22,10254.444268910835
2016-03-23,10189.340176615864
2016-03-24,10202.823866827379
2016-03-28,10202.389146796515
2016-03-29,10269.441458803047
2016-03-30,10328.989980357603
2016-03-31,10316.283073768818
2016-04-01,10404.739180991579
2016-04-04,10365.25372081303
2016-04-05,10269.574575176908
2016-04-06,10351.27809649113
2016-04-07,10232.967048207518
2016-04-08,10247.682556196294
2016-04-11,10219.397959760154
2016-04-12,10310.291333981093
2016-04-13,10418.49386759032
2016-04-14,10423.506504214465
2016-04-15,10408.672345634372
2016-04-18,10479.481144696338
2016-04-19,10510.34403070178
2016-04-20,10509.606576426617
2016-04-21,10445.583885111531
2016-04-22,10427.53959262694
2016-04-25,10414.68355638568
2016-04-26,10420.79136833596
2016-04-27,10442.38180718389
2016-04-28,10325.035179362145
2016-04-29,10271.889144723422
2016-05-02,10350.206913518869
2016-05-03,10265.578306694628
2016-05-04,10204.991873975076
2016-05-05,10202.594401379709
2016-05-06,10236.759836663252
2016-05-09,10230.756196311704
2016-05-10,10350.581632150823
