Date,Portfolio_Value
2016-01-05,9973.817406914375
2016-01-06,9829.632198535302
2016-01-07,9599.971555705262
2016-01-08,9513.401374850879
2016-01-11,9559.009464434544
2016-01-12,9659.017051081843
2016-01-13,9422.755481158712
2016-01-14,9554.500368883524
2016-01-15,9325.974278510299
2016-01-19,9346.329813048505
2016-01-20,9259.825481682672
2016-01-21,9293.70378279573
2016-01-22,9419.53327417597
2016-01-25,9294.868364133115
2016-01-26,9406.515794383513
2016-01-27,9218.15776979654
2016-01-28,9219.040607106148
2016-01-29,9500.864733282764
2016-02-01,9511.36519982237
2016-02-02,9295.43276246673
2016-02-03,9375.611233274136
2016-02-04,9409.540414361438
2016-02-05,9152.690353348133
2016-02-08,8971.327133730978
2016-02-09,9037.30949535171
2016-02-10,9035.331911270134
2016-02-11,8936.08219976431
2016-02-12,9098.040263780484
2016-02-16,9230.981265511742
2016-02-17,9419.303599583054
2016-02-18,9355.538473972334
2016-02-19,9367.1694113432
2016-02-22,9493.802986258632
2016-02-23,9383.124476320705
2016-02-24,9403.053836054902
2016-02-25,9583.15433659895
2016-02-26,9560.498113301683
2016-02-29,9471.647894369882
2016-03-01,9723.518170020148
2016-03-02,9733.750531345895
2016-03-03,9771.201979662552
2016-03-04,9797.63626337693
2016-03-07,9787.93960872071
2016-03-08,9739.964045943676
2016-03-09,9764.2301475229
2016-03-10,9755.113254371783
2016-03-11,9887.290328424377
2016-03-14,9904.903747100483
2016-03-15,9925.052785779944
2016-03-16,9989.367244490824
2016-03-17,10060.044116456213
2016-03-18,10123.494731403094
2016-03-21,10136.365066690201
2016-03-22,10134.3922549428
2016-03-23,10072.526840973593
2016-03-24,10076.199447022052
2016-03-28,10070.829526219999
2016-03-29,10149.43368719545
2016-03-30,10230.605898592463
2016-03-31,10216.57130100212
2016-04-01,10314.351508654912
2016-04-04,10283.701351417385
2016-04-05,10179.907194773896
2016-04-06,10267.366526997674
2016-04-07,10143.799999549958
2016-04-08,10151.644036800088
2016-04-11,10128.714796038748
2016-04-12,10220.477117876526
2016-04-13,10351.054814155365
2016-04-14,10359.70991541838
2016-04-15,10331.8421686345
2016-04-18,10390.355405661303
2016-04-19,10407.073863197424
2016-04-20,10425.45565484993
2016-04-21,10384.80091666195
2016-04-22,10357.808057228636
2016-04-25,10336.341438041714
2016-04-26,10343.610437533303
2016-04-27,10302.879733499958
2016-04-28,10172.86067407443
2016-04-29,10128.428355711121
2016-05-02,10210.063842921809
2016-05-03,10133.81066818493
2016-05-04,10066.18874045117
2016-05-05,10055.478481016818
2016-05-06,10080.807433445969
2016-05-09,10083.556567200601
2016-05-10,10203.136106255988
2016-05-11,10075.46430312061
2016-05-12,10059.256705281188
2016-05-13,9986.863662517932
2016-05-16,10100.640748672036
2016-05-17,9986.237174676775
2016-05-18,10012.784129533946
2016-05-19,10006.070155551191
2016-05-20,10063.968399340478
2016-05-23,10058.491601664015
2016-05-24,10204.52658043816
2016-05-25,10286.327662614975
2016-05-26,10280.831143032012
2016-05-27,10313.763118188635
2016-05-31,10278.40319164615
2016-06-01,10266.724012085993
2016-06-02,10293.124003913972
2016-06-03,10262.238047546574
2016-06-06,10320.584506764024
2016-06-07,10324.835427101549
2016-06-08,10364.383382415102
2016-06-09,10353.90806089601
2016-06-10,10299.84939284471
2016-06-13,10213.721504579393
2016-06-14,10168.122692705525
2016-06-15,10156.814131118192
2016-06-16,10191.596952708407
2016-06-17,10127.788616608532
2016-06-20,10191.105066167178
2016-06-21,10214.409916335635
2016-06-22,10180.466417624182
2016-06-23,10313.316292536745
2016-06-24,9946.141776723716
2016-06-27,9765.651475510069
2016-06-28,9930.839324704415
2016-06-29,10104.937154665857
2016-06-30,10204.47546307199
2016-07-01,10228.255783312288
2016-07-05,10160.94378966851
2016-07-06,10202.144250183886
2016-07-07,10200.62557397665
2016-07-08,10375.021703594673
2016-07-11,10419.233113973818
2016-07-12,10481.512932718962
2016-07-13,10475.743280876735
2016-07-14,10559.40197251662
2016-07-15,10554.903177145727
2016-07-18,10572.97824796316
2016-07-19,10578.979078326278
2016-07-20,10622.649021782589
2016-07-21,10555.681219299382
2016-07-22,10585.50332300378
2016-07-25,10547.376925238521
2016-07-26,10528.941918323668
2016-07-27,10572.680072270603
2016-07-28,10594.690427766109
2016-07-29,10581.856957977989
2016-08-01,10586.706755882502
2016-08-02,10523.816393512177
