Date,Portfolio_Value
2016-01-04,10000.000000000004
2016-01-05,10002.852453173018
2016-01-06,9864.456833180573
2016-01-07,9653.985535355105
2016-01-08,9555.311416061142
2016-01-11,9588.652980167915
2016-01-12,9670.058451637957
2016-01-13,9451.73307502804
2016-01-14,9597.264541580855
2016-01-15,9368.042810930148
2016-01-19,9396.633477514233
2016-01-20,9278.31050390198
2016-01-21,9329.183384118247
2016-01-22,9454.972867441613
2016-01-25,9340.799838408973
2016-01-26,9484.865157106013
2016-01-27,9356.637720284138
2016-01-28,9391.594329523654
2016-01-29,9656.539282142623
2016-02-01,9663.083758752626
2016-02-02,9456.43483215073
2016-02-03,9531.04232323646
2016-02-04,9565.591736332097
2016-02-05,9384.728480924508
2016-02-08,9255.837950623341
2016-02-09,9276.604198354467
2016-02-10,9250.438628369291
2016-02-11,9152.34824758818
2016-02-12,9333.632252895137
2016-02-16,9455.592300157681
2016-02-17,9625.136484946106
2016-02-18,9580.981455488376
2016-02-19,9581.044084739213
2016-02-22,9697.962048252888
2016-02-23,9583.300565114128
2016-02-24,9606.42685941363
2016-02-25,9742.094489337444
2016-02-26,9702.170937652416
2016-02-29,9619.895333663444
2016-03-01,9858.725737872051
2016-03-02,9878.204653097742
2016-03-03,9905.219494295843
2016-03-04,9928.928134296957
2016-03-07,9950.164855221688
2016-03-08,9903.301191443366
2016-03-09,9939.701815112032
2016-03-10,9935.75917277488
2016-03-11,10058.75379125403
2016-03-14,10066.611111539623
2016-03-15,10078.131244865675
2016-03-16,10130.265094380164
2016-03-17,10209.841865082382
2016-03-18,10275.50893358586
2016-03-21,10293.617292785084
2016-03-22,10282.956333091764
2016-03-23,10218.461410650623
2016-03-24,10230.39841054597
2016-03-28,10229.170376130025
2016-03-29,10296.871383666223
2016-03-30,10357.167729996227
2016-03-31,10344.65113445657
2016-04-01,10434.73782595964
2016-04-04,10393.766516001917
2016-04-05,10297.598396167363
2016-04-06,10380.861997841625
2016-04-07,10260.087771688162
2016-04-08,10275.227661737808
2016-04-11,10248.817768693356
2016-04-12,10340.916069050058
2016-04-13,10454.761677857552
2016-04-14,10460.247417607923
2016-04-15,10444.071355211105
2016-04-18,10515.57192547236
