Date,Portfolio_Value
2016-01-05,10004.888927032662
2016-01-06,9868.123536615007
2016-01-07,9662.300627368688
2016-01-08,9563.402099890463
2016-01-11,9598.993735479875
2016-01-12,9679.936592014135
2016-01-13,9462.861102139073
2016-01-14,9609.789923913886
2016-01-15,9385.501813175579
2016-01-19,9417.298523951795
2016-01-20,9303.176375116047
2016-01-21,9356.636782438109
2016-01-22,9490.984241031661
2016-01-25,9382.0603292614
2016-01-26,9528.191497639224
2016-01-27,9410.001423472431
2016-01-28,9450.226575026765
2016-01-29,9717.82663938673
2016-02-01,9725.735505213564
2016-02-02,9527.627828909583
2016-02-03,9600.921500829443
2016-02-04,9631.316809477143
2016-02-05,9467.181822102588
2016-02-08,9358.697596440432
2016-02-09,9373.26697130912
2016-02-10,9348.115977378588
2016-02-11,9257.706619342225
2016-02-12,9439.405182072991
2016-02-16,9559.525033089072
2016-02-17,9724.607693991595
2016-02-18,9683.748939503592
2016-02-19,9686.005756828452
2016-02-22,9800.665991336391
2016-02-23,9690.527890420117
2016-02-24,9715.954820218183
2016-02-25,9850.472412488509
2016-02-26,9805.001312394228
2016-02-29,9722.783851146369
2016-03-01,9960.315474928118
2016-03-02,9981.081170690108
2016-03-03,10008.28763220703
2016-03-04,10032.442022000045
2016-03-07,10057.92031462744
2016-03-08,10013.21825238536
2016-03-09,10054.077566414579
2016-03-10,10050.660935702306
2016-03-11,10171.976990947602
2016-03-14,10179.359669695998
2016-03-15,10193.09868055669
2016-03-16,10247.73178085399
2016-03-17,10328.929921501594
2016-03-18,10390.842647572177
2016-03-21,10410.975934699962
2016-03-22,10401.255460466155
2016-03-23,10336.257001360425
2016-03-24,10351.513242878755
2016-03-28,10351.51811359732
2016-03-29,10420.224685548212
2016-03-30,10481.654859192042
2016-03-31,10469.49413624027
2016-04-01,10560.156716213
2016-04-04,10521.612667847403
2016-04-05,10425.372103418083
2016-04-06,10509.72561570715
2016-04-07,10391.782245275726
2016-04-08,10407.131759441972
2016-04-11,10378.356099921904
2016-04-12,10470.957044240415
2016-04-13,10582.333249524345
2016-04-14,10587.856299023122
2016-04-15,10573.771343067614
2016-04-18,10646.689907895534
2016-04-19,10680.178672576614
2016-04-20,10682.287656302504
2016-04-21,10620.697912456157
2016-04-22,10605.967277215266
2016-04-25,10593.429102592436
2016-04-26,10600.92827147159
2016-04-27,10627.054434848184
2016-04-28,10509.232919234397
2016-04-29,10456.45091647173
2016-05-02,10536.494710925144
2016-05-03,10450.783992331937
2016-05-04,10390.376689960814
2016-05-05,10389.357184925228
2016-05-06,10425.50866776573
2016-05-09,10420.652004761772
2016-05-10,10542.939647702462
2016-05-11,10422.198164370373
2016-05-12,10428.370919332045
2016-05-13,10331.831401720388
2016-05-16,10432.027934875474
2016-05-17,10312.540469838
2016-05-18,10314.349193392727
2016-05-19,10309.33499375186
2016-05-20,10357.8276196825
2016-05-23,10340.176625986323
2016-05-24,10481.924594152677
2016-05-25,10570.52963738735
2016-05-26,10560.670845470258
2016-05-27,10592.509911129655
2016-05-31,10567.335292165864
2016-06-01,10565.73315364583
2016-06-02,10604.632530927163
2016-06-03,10586.221943664303
2016-06-06,10647.092683490524
2016-06-07,10657.690274430808
2016-06-08,10699.1435843363
2016-06-09,10688.896308069472
2016-06-10,10645.775523648597
2016-06-13,10568.940710061292
2016-06-14,10541.587420333964
2016-06-15,10517.122725871734
2016-06-16,10565.463262524952
2016-06-17,10522.795220299065
2016-06-20,10589.937953788887
2016-06-21,10611.774098753236
2016-06-22,10585.26073921251
2016-06-23,10727.443131282951
2016-06-24,10366.313200125882
2016-06-27,10206.283575096113
2016-06-28,10367.81412888047
2016-06-29,10546.176623097113
2016-06-30,10674.056169352669
2016-07-01,10690.372912756742
2016-07-05,10642.141797512475
2016-07-06,10688.508473979598
2016-07-07,10669.138011350453
2016-07-08,10834.92030260605
2016-07-11,10875.890089217086
2016-07-12,10936.968854898161
2016-07-13,10948.10612772845
2016-07-14,11018.10765955758
2016-07-15,11016.271955006283
2016-07-18,11016.599313086112
2016-07-19,11026.487532266652
2016-07-20,11071.683809049264
2016-07-21,11016.543570626927
2016-07-22,11052.601816269806
2016-07-25,11019.973252641923
2016-07-26,11008.072062997255
2016-07-27,11001.28210564433
2016-07-28,10998.780143066331
2016-07-29,10998.120290998122
2016-08-01,10991.132583773255
2016-08-02,10940.81776437999
2016-08-03,10963.21108132886
2016-08-04,10969.651030312381
2016-08-05,11100.879896423126
2016-08-08,11085.873401154768
2016-08-09,11083.019068190946
2016-08-10,11067.251119439448
2016-08-11,11140.262729588398
2016-08-12,11126.43604114259
2016-08-15,11151.80017185652
2016-08-16,11093.379950236787
2016-08-17,11096.435219995703
2016-08-18,11105.892829323979
2016-08-19,11089.571187427558
2016-08-22,11083.000047056772
2016-08-23,11103.295784543223
2016-08-24,11057.422639984463
2016-08-25,11045.968279562936
2016-08-26,11024.013221678964
2016-08-29,11081.181560285406
2016-08-30,11054.287483604121
2016-08-31,11031.827984090718
2016-09-01,11035.268753498432
2016-09-02,11069.414437513926
2016-09-06,11103.629486763692
2016-09-07,11099.359296899107
2016-09-08,11074.837427890476
2016-09-09,10846.17850546503
2016-09-12,11005.117571467592
2016-09-13,10851.150784147447
2016-09-14,10848.572957259827
2016-09-15,10964.162636653884
2016-09-16,10936.470447023283
2016-09-19,10916.467890682272
2016-09-20,10932.948404740819
2016-09-21,11027.893258492119
2016-09-22,11098.238148929357
2016-09-23,11005.678424141637
2016-09-26,10906.955365145463
2016-09-27,10984.67782036003
2016-09-28,11038.95038541784
2016-09-29,10925.47136025239
2016-09-30,11026.833609733982
2016-10-03,10987.75469449119
2016-10-04,10953.859674539333
2016-10-05,10990.088138269073
2016-10-06,10983.920669165454
2016-10-07,10946.282427167222
2016-10-10,11007.510167796077
2016-10-11,10865.309515605093
2016-10-12,10873.436959971492
2016-10-13,10849.19686332865
2016-10-14,10881.100205330045
2016-10-17,10845.615877730888
2016-10-18,10887.368171007241
