Date,Portfolio_Value
2016-01-05,10020.052454450944
2016-01-06,9900.414024077736
2016-01-07,9721.573745360864
2016-01-08,9626.175604097472
2016-01-11,9700.578478368448
2016-01-12,9744.552888384724
2016-01-13,9582.299809196324
2016-01-14,9689.873926975477
2016-01-15,9490.752396864302
2016-01-19,9540.385222903144
2016-01-20,9405.306372872694
2016-01-21,9475.643784251743
2016-01-22,9605.813064571352
2016-01-25,9511.624867730472
2016-01-26,9699.360520530845
2016-01-27,9606.645233585274
2016-01-28,9647.284638535757
2016-01-29,9955.314683645236
2016-02-01,9918.175441839034
2016-02-02,9771.35208843742
2016-02-03,9896.992053050442
2016-02-04,9912.780983277135
2016-02-05,9769.11070645289
2016-02-08,9687.934481648746
2016-02-09,9719.110990373083
2016-02-10,9678.37183151937
2016-02-11,9532.00116489519
2016-02-12,9698.54750704355
2016-02-16,9795.051059722922
2016-02-17,9945.293166739692
2016-02-18,9939.05906649419
2016-02-19,9942.47269239841
2016-02-22,10044.294132014455
2016-02-23,9952.595493047536
2016-02-24,9967.873589631865
2016-02-25,10137.667840904305
2016-02-26,10048.714073010635
2016-02-29,9963.42314976574
2016-03-01,10176.81525538252
2016-03-02,10231.195369085204
2016-03-03,10247.747566921375
2016-03-04,10290.022954033762
2016-03-07,10247.044944556748
2016-03-08,10200.565545470288
2016-03-09,10220.665248449997
2016-03-10,10186.091057896967
2016-03-11,10270.793864509762
2016-03-14,10261.30299035303
2016-03-15,10297.96978975923
2016-03-16,10348.563039592187
2016-03-17,10449.417187623385
2016-03-18,10498.98138888289
2016-03-21,10516.91629626695
2016-03-22,10484.975263774
2016-03-23,10460.263288752662
2016-03-24,10485.691496682637
2016-03-28,10489.739268718009
2016-03-29,10544.78468467114
2016-03-30,10622.136036805916
2016-03-31,10610.827609442604
2016-04-01,10730.813409824135
2016-04-04,10706.747825033079
2016-04-05,10634.770037925224
2016-04-06,10715.235496199573
2016-04-07,10634.812819304674
2016-04-08,10640.735453795314
2016-04-11,10604.955259335926
2016-04-12,10664.493119481982
2016-04-13,10727.191906924296
2016-04-14,10718.574630087578
2016-04-15,10724.770030509833
2016-04-18,10789.285755265211
2016-04-19,10733.417447627802
2016-04-20,10689.295932415873
2016-04-21,10648.991410049008
2016-04-22,10608.193580892426
2016-04-25,10607.475030141992
2016-04-26,10522.335195069161
2016-04-27,10521.683960771667
2016-04-28,10422.149943701026
2016-04-29,10406.69894833901
2016-05-02,10494.34003142688
2016-05-03,10449.536885489775
2016-05-04,10439.004020975353
2016-05-05,10449.858237371656
2016-05-06,10506.761215256896
2016-05-09,10523.03303176003
2016-05-10,10625.42819890413
2016-05-11,10525.537593564915
2016-05-12,10540.445988703612
2016-05-13,10436.195000073665
2016-05-16,10538.003701194335
2016-05-17,10423.767138301706
2016-05-18,10400.044385900608
2016-05-19,10388.853264057718
2016-05-20,10422.833464353302
2016-05-23,10431.021864585568
2016-05-24,10576.74500241811
2016-05-25,10652.011819618565
2016-05-26,10639.03621144014
2016-05-27,10669.925071973868
2016-05-31,10631.48152524677
2016-06-01,10646.69563126533
2016-06-02,10668.911705298837
2016-06-03,10675.846221993415
2016-06-06,10731.530314751792
2016-06-07,10731.171051917721
2016-06-08,10778.625201029876
2016-06-09,10783.464534640882
2016-06-10,10731.875039177452
2016-06-13,10633.604535817361
2016-06-14,10660.162468437977
2016-06-15,10634.075568630627
2016-06-16,10683.248157357899
2016-06-17,10613.40040976034
2016-06-20,10669.712154896088
2016-06-21,10699.205984045137
2016-06-22,10664.775552810233
2016-06-23,10800.035854375205
2016-06-24,10458.14520804239
2016-06-27,10299.173999523813
2016-06-28,10474.48027960788
2016-06-29,10649.266115056897
2016-06-30,10723.985128904982
2016-07-01,10749.370787891521
2016-07-05,10757.776414334417
2016-07-06,10743.267183599975
2016-07-07,10742.788920131072
2016-07-08,10890.559920313064
2016-07-11,10920.313136672163
2016-07-12,10975.767964019124
2016-07-13,10985.518002469249
2016-07-14,11059.731924697388
2016-07-15,11060.961755297543
2016-07-18,11065.790993833456
2016-07-19,11089.518877662229
2016-07-20,11098.114916730743
2016-07-21,11052.18760950306
2016-07-22,11108.773456702167
2016-07-25,11076.374291578008
2016-07-26,11002.84493795048
2016-07-27,11004.482384169454
2016-07-28,11037.194690018274
2016-07-29,11034.255441178295
2016-08-01,11081.078231081347
2016-08-02,11062.269945559568
2016-08-03,11052.637495502995
2016-08-04,11075.613504304885
2016-08-05,11138.897897275992
2016-08-08,11122.548479110454
2016-08-09,11132.53741890887
2016-08-10,11132.323102105944
2016-08-11,11210.032801410991
2016-08-12,11198.715868513462
2016-08-15,11205.850397803744
2016-08-16,11141.89453139448
2016-08-17,11150.973700460983
2016-08-18,11163.882973904181
2016-08-19,11157.397064567014
2016-08-22,11135.852614491954
2016-08-23,11169.987942171461
2016-08-24,11133.061240152472
2016-08-25,11158.989177485904
2016-08-26,11135.99489300416
2016-08-29,11198.713356558585
2016-08-30,11159.97844351646
2016-08-31,11130.743267532736
2016-09-01,11171.019094325125
2016-09-02,11193.550978025067
2016-09-06,11229.146279941931
2016-09-07,11219.8052478424
2016-09-08,11161.897086666102
2016-09-09,10946.543243173273
2016-09-12,11136.44589869358
2016-09-13,11012.178360136071
2016-09-14,11014.160309858753
2016-09-15,11129.482237751998
2016-09-16,11088.986319897807
2016-09-19,11111.909591675058
2016-09-20,11127.131410045205
2016-09-21,11167.839109717457
2016-09-22,11243.277077923492
2016-09-23,11098.246297137328
2016-09-26,11040.65510004288
2016-09-27,11111.140182866046
2016-09-28,11194.397487846862
