Date,Portfolio_Value
2016-01-05,10002.944592978754
2016-01-06,9864.54337476896
2016-01-07,9653.982584939218
2016-01-08,9555.283818460624
2016-01-11,9588.677858739393
2016-01-12,9670.114370274914
2016-01-13,9451.81336340639
2016-01-14,9597.293737870572
2016-01-15,9368.090150154527
2016-01-19,9396.781360710413
2016-01-20,9278.341387523113
2016-01-21,9329.372776054002
2016-01-22,9455.256623229296
2016-01-25,9341.137659772794
2016-01-26,9485.382390208164
2016-01-27,9357.127162807974
2016-01-28,9392.24372870697
2016-01-29,9657.19504259762
2016-02-01,9663.756025396639
2016-02-02,9457.159721395996
2016-02-03,9531.94074338266
2016-02-04,9566.554833031043
2016-02-05,9385.746062257796
2016-02-08,9256.743793396385
2016-02-09,9277.607414028389
2016-02-10,9251.264160121438
2016-02-11,9152.883185845873
2016-02-12,9334.213339079093
2016-02-16,9456.318195778178
2016-02-17,9625.86311696195
2016-02-18,9581.759341510942
2016-02-19,9581.65691944777
2016-02-22,9698.614036548615
2016-02-23,9583.888883805857
2016-02-24,9606.998134128155
2016-02-25,9742.557109629577
2016-02-26,9702.66520653784
2016-02-29,9620.512429627048
2016-03-01,9859.327181132934
2016-03-02,9878.906488911149
2016-03-03,9906.096035803672
2016-03-04,9929.895006923656
2016-03-07,9951.381432404862
2016-03-08,9904.23157463727
2016-03-09,9940.908078926823
2016-03-10,9936.975961279231
2016-03-11,10059.93939500611
2016-03-14,10067.7143488769
2016-03-15,10079.268362341621
2016-03-16,10131.500308348011
2016-03-17,10211.350516852419
2016-03-18,10277.198931354342
2016-03-21,10295.202526630674
2016-03-22,10284.32379901778
2016-03-23,10219.634451009955
2016-03-24,10231.754619854852
2016-03-28,10230.57586883879
2016-03-29,10298.274063082494
2016-03-30,10358.521746655715
2016-03-31,10345.970499888608
2016-04-01,10435.916063103738
2016-04-04,10394.828338020565
2016-04-05,10298.718480115474
2016-04-06,10381.916894331303
2016-04-07,10261.098334130003
2016-04-08,10276.476401955286
2016-04-11,10250.075585341156
2016-04-12,10342.168207245677
2016-04-13,10456.195692320602
2016-04-14,10461.612856963618
2016-04-15,10445.33140717567
