Date,Portfolio_Value
2016-01-05,10001.167568599805
2016-01-06,9859.686542309757
2016-01-07,9686.54811831024
2016-01-08,9593.434533016616
2016-01-11,9628.650265202605
2016-01-12,9705.526310524041
2016-01-13,9497.662036203601
2016-01-14,9641.509803094745
2016-01-15,9399.721477734673
2016-01-19,9432.342033692114
2016-01-20,9312.389651341771
2016-01-21,9369.517258495285
2016-01-22,9452.810686884368
2016-01-25,9345.934458197737
2016-01-26,9491.726661941937
2016-01-27,9400.328805119398
2016-01-28,9422.74069604468
2016-01-29,9670.457129146169
2016-02-01,9686.81484164247
2016-02-02,9481.274923064608
2016-02-03,9541.199507582827
2016-02-04,9575.070420627591
2016-02-05,9387.773604282675
2016-02-08,9262.88376167125
2016-02-09,9297.094483022272
2016-02-10,9261.994952528854
2016-02-11,9161.14976735722
2016-02-12,9349.606585840227
2016-02-16,9435.226780025538
2016-02-17,9601.871928638337
2016-02-18,9585.208542891127
2016-02-19,9585.435866062322
2016-02-22,9691.818921098062
2016-02-23,9590.266900214468
2016-02-24,9602.069973915744
2016-02-25,9718.547114984129
2016-02-26,9661.983123568672
2016-02-29,9596.780349017374
2016-03-01,9829.922920257419
2016-03-02,9856.054076557995
2016-03-03,9896.54946535645
2016-03-04,9928.682137835991
2016-03-07,9952.5279579109
2016-03-08,9903.231161635802
2016-03-09,9937.857788414909
2016-03-10,9931.226300577277
2016-03-11,10046.629031670356
2016-03-14,10054.20999520753
2016-03-15,10060.638762202641
2016-03-16,10114.26997258449
2016-03-17,10200.153779657961
2016-03-18,10262.328043246704
2016-03-21,10292.965721050748
2016-03-22,10288.49616185182
2016-03-23,10234.27496150869
2016-03-24,10248.582341409077
2016-03-28,10241.402399967732
2016-03-29,10320.945069009942
2016-03-30,10365.217189717845
2016-03-31,10357.026828515463
2016-04-01,10461.46240509094
2016-04-04,10417.851920408706
2016-04-05,10301.046538155484
2016-04-06,10370.394690769965
2016-04-07,10225.524359745319
2016-04-08,10239.01223688176
2016-04-11,10211.777366354594
2016-04-12,10297.625560142124
2016-04-13,10429.515782610288
2016-04-14,10442.776719838283
2016-04-15,10421.317807105472
2016-04-18,10499.482103038206
2016-04-19,10533.654308057463
2016-04-20,10536.188828841217
2016-04-21,10458.083732221226
2016-04-22,10426.197357797306
2016-04-25,10418.516964733954
2016-04-26,10416.873150990243
2016-04-27,10438.67258360066
