,Strategy,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Sortino Ratio,Beta,Alpha,Information Ratio,Calmar Ratio,Win Rate,Profit/Loss Ratio,Volatility,VaR,CVaR
0,DJI,51.40796313356915,16.905340014794845,1.2076121388316992,-11.584832419144742,0.12084974898204479,1.0014925373134327,-0.02523185076834622,,1.4592649598329617,0.555886736214605,1.0317981181187592,0.007451532772559518,-0.011569755907589963,-0.018974529679906028
1,Markowitz,69.43323942867654,21.963141394789808,1.2739983183260224,-14.098898603803978,0.13480726160461068,0.9964713834171743,5.117453843109473,0.032211847173386716,1.557791286538085,0.5454545454545454,1.088011913048682,0.009349397247324977,-0.013804121680973669,-0.021677955209014457
2,DDPG,53.806749172439574,17.619022805163944,1.0952781311188156,-13.792384617433795,0.11197627816100399,0.7729010590608104,4.509316394946415,0.004783504976144998,1.277445727760029,0.5373134328358209,1.0768664269988069,0.008717187324651179,-0.013012192040232294,-0.02111124644688989
3,ACO,98.15702352824005,29.405656407105152,1.0497673743058817,-29.850750037280548,0.10100358087957867,1.0534625842494458,11.60317903902062,0.03565903431936256,0.9850893652715754,0.5268656716417911,1.0971460329933367,0.016251405954637862,-0.024754917345591036,-0.039835074908098844
4,Annealing,55.58581841161938,18.13000225402659,1.2486118192784301,-11.615030033953266,0.12513964856620854,0.9917422507355745,1.3705375728275264,0.01823641966128081,1.5609087708795104,0.5671641791044776,0.9907039283705058,0.00776579012232653,-0.011828593635174682,-0.019313495416282654
5,Anticor,56.929599327353195,21.617335499527822,1.559120548017382,-8.268916531837945,0.15676829744330192,0.9010481157251229,5.356104467676044,0.03129699079401237,2.614288754311915,0.5662650602409639,1.0460348952784093,0.007368886753020791,-0.011290631437922416,-0.0174855744622633
6,BAH,53.108728767752325,17.3980988242338,1.2512112546229537,-10.702920111837477,0.1257260179578781,0.9788779722689984,0.8498338700334607,0.012414047920086964,1.6255469201336394,0.563338301043219,1.0145661403813517,0.007398008029210107,-0.011566868989602075,-0.018714968300480528
7,BCRP,63.31459409781206,20.308572424756697,1.4137703568088253,-10.425597657787488,0.14039272535357242,0.9800437192695839,3.746801372906134,0.04928047961491298,1.947952826434563,0.5746268656716418,0.9961752735515317,0.007662556562698895,-0.011803263991942252,-0.01959342424361862
8,B^k,43.66862913933283,16.169533129905787,0.9822086229617295,-15.395027359789715,0.10103723757618809,1.084691999954691,-2.5045396488976763,-0.004130966456168145,1.0503088271307008,0.5499181669394435,0.9969684377899756,0.008953275411240682,-0.013321648702070088,-0.020861977058725615
9,B^NN,45.22717027828209,16.689173085144727,1.1363441436888437,-11.169235047281367,0.11542311752468924,1.0445688151252135,-1.2941383774009019,-0.0038776245572613387,1.494209139166333,0.55810147299509,1.005933970458499,0.007857175622669634,-0.011372051068389177,-0.019095948362478493
10,CORN,57.93170643143786,19.75231921828764,1.4850122164301343,-11.463384322446469,0.1475971893576384,1.000300746017149,0.032193566960533104,0.0017396026731965166,1.7230792113992544,0.5694227769110765,1.0342507339545517,0.00704125475481566,-0.00972114978984262,-0.017411952578537282
11,CRP,53.06929022997677,17.38671114346917,1.2670109077232063,-10.760384698808977,0.12745335736076815,0.9596211038014065,1.163990098333656,0.009989315449098805,1.6158075784589407,0.5648286140089419,1.0115001053823354,0.0072910643699242725,-0.011569541860276256,-0.018501695353433822
12,CWMR,69.21704948693672,21.92944028875383,1.5658143452975681,-10.324917181639016,0.15580612948125303,0.9833175362233431,5.312344963314498,0.12613368723179044,2.1239337713770086,0.582089552238806,0.996629027399154,0.007438971081920659,-0.011355813138339681,-0.018532434114890653
13,EG,53.13296400025656,17.424538852765515,1.2694165013036844,-10.755113790630677,0.1276658367951852,0.9598216677671126,1.2045005018114665,0.0109977117237397,1.620116643298085,0.564179104477612,1.014428202794646,0.007297446781106894,-0.011569400491929411,-0.018501529894886546
14,Genetic,40.722923602742696,13.742796624825315,1.0327239253533724,-12.55605846678477,0.10816133956187729,0.8425635223120546,-0.49569486162903864,-0.033730551248436026,1.0945151825455328,0.5686567164179105,0.9454061274225933,0.006996320871513545,-0.010296993550595173,-0.016948597353780258
15,M0,53.02564038263338,17.393511353486502,1.2672886569077098,-10.760384698808867,0.1274665851158549,0.9596226275457819,1.176836585718565,0.0102798734154214,1.6164395456430007,0.564179104477612,1.0140206649283843,0.007296497054412053,-0.01157030227382469,-0.018501695353433864
16,MKD,58.69482286641799,18.992936784703353,1.3123436433142772,-10.281933576011005,0.1347889614885651,0.953970162728941,2.865746819801437,0.023419174011054564,1.8472144995194457,0.5603576751117735,1.039693226017058,0.007729565032626143,-0.0112418064059146,-0.018993692143512902
17,MVO,61.922331062221645,19.920943179715955,1.3500019914229535,-11.575649963288836,0.1351073245532313,0.9082937568268739,4.514748109025838,0.024764860999175114,1.720935173652753,0.5552238805970149,1.0577407360425324,0.007895443192714059,-0.01193932202619498,-0.019702878196714634
18,OLMAR,96.47224020934273,29.194582070799612,1.2372546326429723,-13.07569185673081,0.129289695944519,1.3238599290378543,3.986906413800636,0.04227421550264767,2.2327370811947884,0.5135135135135135,1.1888165376385764,0.013095023274733811,-0.018586713913603142,-0.029219709678180994
19,ONS,53.223016604510434,17.450562810997905,1.268365601605815,-10.718250618722502,0.1275319116894523,0.9626013450869975,1.1835506582993105,0.01176127598332804,1.6281166984951339,0.5626865671641791,1.0202116688189082,0.007316203785237701,-0.011547268438091451,-0.018545999397895488
20,PAMR,86.49525500276528,26.480670125172345,1.8448206460554424,-10.1373649750096,0.18302123017607286,0.9985683515821123,9.605851080515436,0.21834972177242906,2.612184743318593,0.5880597014925373,1.0229681347317863,0.007572218096474452,-0.011030027496607897,-0.018592339793618268
21,PSO,72.59925536568291,22.842390954909895,1.5577163736878956,-11.858153434973762,0.15465493830814722,0.9723770523851221,6.410179002490011,0.06798052322345303,1.9263025293246627,0.5776119402985075,1.0065478844359927,0.0078075682688321085,-0.01158869536347954,-0.01958065589555864
22,SP,26.76196040308252,9.350339859185986,0.7257143040828612,-15.08460105393199,0.07950135492411523,0.7220636156954007,-2.8518222004120215,-0.0653814517961064,0.6198599370149536,0.5597014925373134,0.9256037360188604,0.0064657521253378815,-0.01028874688897135,-0.015987470025608
23,T0,33.57640679660199,11.530062075893088,0.5362946868177448,-16.65923111810774,0.05950176935833291,1.09098583781393,-6.906521222811239,-0.013072893493908735,0.6921124987191333,0.49850746268656715,1.1238088567973623,0.012897425883721671,-0.02090687973703602,-0.028346863212800902
24,UP,47.09043161715254,15.65607020680362,1.1291961101982662,-10.595611804583992,0.11451930318920116,0.950772609669137,-0.4110479983376898,-0.020822522039368616,1.4775994530141539,0.5686567164179105,0.9671009355554,0.007365412922003416,-0.01155548643799381,-0.018587067509273258
25,KDD,138.37897216821293,38.74121269159174,2.027050281054793,-11.463769056596117,0.21140046578760316,1.0274156413304325,21.314509414105874,0.11038167820862546,3.3794481117273123,0.5537313432835821,1.1788441236718075,0.009923800186741535,-0.013490737837179445,-0.02183294931817995
