,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,10123.710742263795
2,2016-01-06,10056.230258255006
3,2016-01-07,9825.15148475647
4,2016-01-08,9807.824122695924
5,2016-01-11,9911.02405860901
6,2016-01-12,9972.356448440552
7,2016-01-13,9777.151545791627
8,2016-01-14,9904.602923660279
9,2016-01-15,9779.836261062623
10,2016-01-19,9967.766223220826
11,2016-01-20,9813.138308792115
12,2016-01-21,9985.501551895142
13,2016-01-22,10030.969348220826
14,2016-01-25,10096.256686477662
15,2016-01-26,10198.9382736969
16,2016-01-27,10232.060015945435
17,2016-01-28,10359.377581863404
18,2016-01-29,10480.217395095826
19,2016-02-01,10548.900653152466
20,2016-02-02,10490.57842567444
21,2016-02-03,10289.146815567017
22,2016-02-04,10228.039889602662
23,2016-02-05,9795.109286575318
24,2016-02-08,9848.250590591431
25,2016-02-09,9921.738276748658
26,2016-02-10,9957.729907302857
27,2016-02-11,9886.066615371705
28,2016-02-12,9991.67761543274
29,2016-02-16,10098.418856887818
30,2016-02-17,10060.553622512818
31,2016-02-18,9951.840602188111
32,2016-02-19,9900.208804397584
33,2016-02-22,9995.828509597779
34,2016-02-23,9929.423938064576
35,2016-02-24,9943.453654556275
36,2016-02-25,10055.15557411194
37,2016-02-26,10015.203776626588
38,2016-02-29,10024.014178543091
39,2016-03-01,10168.988253860474
40,2016-03-02,10142.061175613404
41,2016-03-03,9996.011630325318
42,2016-03-04,10036.816684036256
43,2016-03-07,10039.052722244263
44,2016-03-08,10142.64303138733
45,2016-03-09,10246.944896011353
46,2016-03-10,10274.81529548645
47,2016-03-11,10409.938449172974
48,2016-03-14,10523.212680130006
49,2016-03-15,10567.71504524231
50,2016-03-16,10578.895312576295
51,2016-03-17,10553.447352676392
52,2016-03-18,10630.16549232483
53,2016-03-21,10610.779681472779
54,2016-03-22,10610.546763687134
55,2016-03-23,10635.92224433899
56,2016-03-24,10566.106372146607
57,2016-03-28,10557.017360000611
58,2016-03-29,10625.514979629517
59,2016-03-30,10778.565455703736
60,2016-03-31,10772.195971755982
61,2016-04-01,10885.946276931763
62,2016-04-04,10930.846095352174
63,2016-04-05,10910.848841934205
64,2016-04-06,10922.552226333619
65,2016-04-07,10970.619921951295
66,2016-04-08,10957.846675186158
67,2016-04-11,10924.33150794983
68,2016-04-12,10929.261843948365
69,2016-04-13,10872.520396499634
70,2016-04-14,10924.015147476197
71,2016-04-15,10947.628474502564
72,2016-04-18,11038.371875076295
73,2016-04-19,11022.024562149049
74,2016-04-20,11000.457286148072
75,2016-04-21,10777.026950149537
76,2016-04-22,10751.264079360963
77,2016-04-25,10915.118647842408
78,2016-04-26,10936.481517105103
79,2016-04-27,10988.417506484986
80,2016-04-28,10949.922679214478
81,2016-04-29,10828.555758743287
82,2016-05-02,10969.615763931275
83,2016-05-03,10983.975352554322
84,2016-05-04,11061.669253616334
85,2016-05-05,11061.976382522584
86,2016-05-06,11174.753642349244
87,2016-05-09,11195.681247024537
88,2016-05-10,11265.15449836731
89,2016-05-11,11058.205813674927
90,2016-05-12,11139.597598342896
91,2016-05-13,11029.887530593873
92,2016-05-16,11100.88422706604
93,2016-05-17,10935.516711502076
94,2016-05-18,10810.920199661256
95,2016-05-19,10729.40264442444
96,2016-05-20,10506.763034133912
97,2016-05-23,10526.606776504517
98,2016-05-24,10624.678614883424
99,2016-05-25,10574.089831619263
100,2016-05-26,10619.750964431763
101,2016-05-27,10575.593638687134
102,2016-05-31,10478.31879737854
103,2016-06-01,10468.322436599732
104,2016-06-02,10477.88644721985
105,2016-06-03,10491.749171524049
106,2016-06-06,10545.954013137818
107,2016-06-07,10538.785754470826
108,2016-06-08,10557.763011245728
109,2016-06-09,10613.63000038147
110,2016-06-10,10575.4206955719
111,2016-06-13,10626.055979995728
112,2016-06-14,10585.34216621399
113,2016-06-15,10562.755496292115
114,2016-06-16,10581.985995559693
115,2016-06-17,10567.097918777466
