,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,10047.323880111695
2,2016-01-06,9980.631955062867
3,2016-01-07,9869.65524760437
4,2016-01-08,9753.08607951355
5,2016-01-11,9711.029797470093
6,2016-01-12,9783.111699020386
7,2016-01-13,9645.930592453004
8,2016-01-14,9837.309750473023
9,2016-01-15,9660.91341105652
10,2016-01-19,9708.456494247437
11,2016-01-20,9538.937306320191
12,2016-01-21,9567.178830062867
13,2016-01-22,9647.865384017945
14,2016-01-25,9604.554470932007
15,2016-01-26,10011.259480392457
16,2016-01-27,10053.521824752808
17,2016-01-28,10021.979840194703
18,2016-01-29,10249.147984420777
19,2016-02-01,10246.229168807984
20,2016-02-02,10156.467717086793
21,2016-02-03,10203.323162948609
22,2016-02-04,10133.311467086793
23,2016-02-05,9887.643994247437
24,2016-02-08,9987.242588912964
25,2016-02-09,9996.22205821228
26,2016-02-10,9989.521778976441
27,2016-02-11,9963.559750473023
28,2016-02-12,9979.538937484742
29,2016-02-16,10046.107769882203
30,2016-02-17,10089.102887069703
31,2016-02-18,10220.790173446656
32,2016-02-19,10268.70173350525
33,2016-02-22,10339.474957382203
34,2016-02-23,10276.68747416687
35,2016-02-24,10349.393818771363
36,2016-02-25,10480.828244125367
37,2016-02-26,10419.26746836853
38,2016-02-29,10357.746365463257
39,2016-03-01,10575.520199691773
40,2016-03-02,10578.777409469605
41,2016-03-03,10540.979168807984
42,2016-03-04,10528.010456954957
43,2016-03-07,10567.027409469605
44,2016-03-08,10517.899426376343
45,2016-03-09,10565.523365890504
46,2016-03-10,10613.600483810425
47,2016-03-11,10681.886494552613
48,2016-03-14,10673.608464157105
49,2016-03-15,10658.75706187439
50,2016-03-16,10613.36179057312
51,2016-03-17,10544.221661483765
52,2016-03-18,10631.548710739136
53,2016-03-21,10632.735852157593
54,2016-03-22,10648.94653025818
55,2016-03-23,10742.350834762574
56,2016-03-24,10726.452343856812
57,2016-03-28,10711.529911911011
58,2016-03-29,10803.103154098511
59,2016-03-30,10786.519192611695
60,2016-03-31,10711.867535507203
61,2016-04-01,10820.454701339722
62,2016-04-04,10795.783459579468
63,2016-04-05,10819.659603988648
64,2016-04-06,10906.636433517457
65,2016-04-07,10887.030102645875
66,2016-04-08,10871.024533187867
67,2016-04-11,10849.568005477906
68,2016-04-12,10911.2457474823
69,2016-04-13,10954.979603683472
70,2016-04-14,10969.624783432007
71,2016-04-15,10986.63132182312
72,2016-04-18,11060.922322189332
73,2016-04-19,11216.35397807312
74,2016-04-20,11280.236004745484
75,2016-04-21,11280.114476119996
76,2016-04-22,11264.542447006226
77,2016-04-25,11261.946057235718
78,2016-04-26,11206.560994064332
79,2016-04-27,11204.525708114625
80,2016-04-28,11160.89916697693
81,2016-04-29,11096.753971969605
82,2016-05-02,11167.640385543824
83,2016-05-03,11155.050038253785
84,2016-05-04,11107.164318954468
85,2016-05-05,11136.05067149353
86,2016-05-06,11107.493527328492
87,2016-05-09,11205.143589889527
88,2016-05-10,11303.13074961853
89,2016-05-11,11265.664898788453
90,2016-05-12,11247.580174362183
91,2016-05-13,11184.370366012574
92,2016-05-16,11283.262318527222
93,2016-05-17,11221.824818527222
94,2016-05-18,11214.396893417359
95,2016-05-19,11150.697316085816
96,2016-05-20,11217.822369491578
97,2016-05-23,11171.62849131775
98,2016-05-24,11239.041737472535
99,2016-05-25,11327.29604045105
100,2016-05-26,11283.923695480347
101,2016-05-27,11300.252476608277
102,2016-05-31,11262.074902450562
103,2016-06-01,11271.939167892457
104,2016-06-02,11429.980519210816
105,2016-06-03,11445.954358016968
106,2016-06-06,11547.69661418152
107,2016-06-07,11538.467457687379
108,2016-06-08,11565.87141886902
109,2016-06-09,11649.42561808777
110,2016-06-10,11637.337597763062
111,2016-06-13,11610.759205734254
112,2016-06-14,11642.883786117554
113,2016-06-15,11578.736294662476
114,2016-06-16,11647.300892745972
115,2016-06-17,11495.044712936402
116,2016-06-20,11591.210751449586
117,2016-06-21,11565.408810531617
118,2016-06-22,11616.280850326539
119,2016-06-23,11714.630421554566
120,2016-06-24,11507.056904708863
121,2016-06-27,11562.830822860718
122,2016-06-28,11710.80061808777
123,2016-06-29,11853.186222946168
124,2016-06-30,12035.264843856812
125,2016-07-01,12046.049481307984
126,2016-07-05,12128.933209335328
127,2016-07-06,12200.242527877808
128,2016-07-07,12176.159459030152
129,2016-07-08,12224.236210739136
130,2016-07-11,12230.480229293824
131,2016-07-12,12238.801297103882
132,2016-07-13,12243.636822616578
133,2016-07-14,12261.990887557984
134,2016-07-15,12246.45163432312
135,2016-07-18,12236.52896586609
136,2016-07-19,12397.774098312379
137,2016-07-20,12393.281048690797
138,2016-07-21,12394.105023300172
139,2016-07-22,12385.26958934021
140,2016-07-25,12364.583500778199
141,2016-07-26,12378.975651657105
142,2016-07-27,12356.100247299195
143,2016-07-28,12324.565312301636
144,2016-07-29,12396.124623214722
145,2016-08-01,12410.139058029175
146,2016-08-02,12353.193295394898
147,2016-08-03,12250.968296920777
148,2016-08-04,12254.354458724976
149,2016-08-05,12497.483395492554
150,2016-08-08,12413.674031173707
151,2016-08-09,12382.517514144898
152,2016-08-10,12382.029011642457
153,2016-08-11,12450.654065048218
154,2016-08-12,12395.46897593689
155,2016-08-15,12319.41102305603
156,2016-08-16,12146.36024180603
157,2016-08-17,12235.932194625855
158,2016-08-18,12199.266278182984
159,2016-08-19,12189.765942489625
160,2016-08-22,12130.901646530152
161,2016-08-23,12157.67957774353
162,2016-08-24,12067.201962387086
163,2016-08-25,12041.161785995484
164,2016-08-26,12098.805813705445
165,2016-08-29,12177.451382553101
166,2016-08-30,12129.560177719117
167,2016-08-31,12121.586026107789
