,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,9950.19506793976
2,2016-01-06,9801.84229236603
3,2016-01-07,9491.648772773744
4,2016-01-08,9492.980521736146
5,2016-01-11,9557.9422221756
6,2016-01-12,9626.652625617982
7,2016-01-13,9432.153113899232
8,2016-01-14,9646.223243293764
9,2016-01-15,9345.627692756654
10,2016-01-19,9258.358939704896
11,2016-01-20,9157.18725543976
12,2016-01-21,9139.36643939972
13,2016-01-22,9408.896850166322
14,2016-01-25,9310.936034736635
15,2016-01-26,9367.45855670929
16,2016-01-27,9100.834792671205
17,2016-01-28,9216.00489002228
18,2016-01-29,9611.025222358705
19,2016-02-01,9557.274268684389
20,2016-02-02,9322.940124092103
21,2016-02-03,9326.190322456361
22,2016-02-04,9387.980979499818
23,2016-02-05,9183.43756061554
24,2016-02-08,9133.466437873842
25,2016-02-09,9062.82102924347
26,2016-02-10,9006.486991462709
27,2016-02-11,8944.531425056459
28,2016-02-12,9087.545875129701
29,2016-02-16,9267.629378852846
30,2016-02-17,9488.454993782045
31,2016-02-18,9553.159774360658
32,2016-02-19,9527.631209907533
33,2016-02-22,9635.19090991974
34,2016-02-23,9425.643943367006
35,2016-02-24,9482.109015998842
36,2016-02-25,9597.820113716127
37,2016-02-26,9479.753593025209
38,2016-02-29,9416.911071357728
39,2016-03-01,9724.521049079896
40,2016-03-02,9801.61295276642
41,2016-03-03,9795.174430427553
42,2016-03-04,9801.02903705597
43,2016-03-07,9732.588180122377
44,2016-03-08,9747.218726692201
45,2016-03-09,9882.99307209015
46,2016-03-10,9808.856147346498
47,2016-03-11,9968.984168586732
48,2016-03-14,9992.36173969269
49,2016-03-15,10080.796264228822
50,2016-03-16,10217.624038276674
51,2016-03-17,10286.854003486635
52,2016-03-18,10185.674117622377
53,2016-03-21,10249.646934089662
54,2016-03-22,10276.342071113588
55,2016-03-23,10199.491904792787
56,2016-03-24,10261.848739204408
57,2016-03-28,10199.837554512025
58,2016-03-29,10380.482123908998
59,2016-03-30,10435.465568122865
60,2016-03-31,10499.795135078431
61,2016-04-01,10574.724486885072
62,2016-04-04,10578.963340339662
63,2016-04-05,10429.266112861635
