Date,AXP_weight,AMGN_weight,AAPL_weight,BA_weight,CAT_weight,CSCO_weight,CVX_weight,GS_weight,HD_weight,HON_weight,IBM_weight,INTC_weight,JNJ_weight,KO_weight,JPM_weight,MCD_weight,MMM_weight,MRK_weight,MSFT_weight,NKE_weight,PG_weight,TRV_weight,UNH_weight,CRM_weight,VZ_weight,V_weight,WBA_weight,WMT_weight,DIS_weight
2008-12-26,0.02472,0.03756,0.05258,0.02626,0.00638,0.02353,0.02293,0.01325,0.02551,0.02683,0.02969,0.01899,0.03441,0.02736,0.00378,0.01968,0.02841,0.03438,0.04053,0.00343,0.02055,0.0425,0.02044,0.27402,0.02687,0.04612,0.0182,0.02843,0.02264
2008-12-29,0.02472,0.03756,0.05258,0.02626,0.00638,0.02353,0.02293,0.01325,0.02551,0.02683,0.02969,0.01899,0.03441,0.02736,0.00378,0.01968,0.02841,0.03438,0.04053,0.00343,0.02055,0.0425,0.02044,0.27402,0.02687,0.04612,0.0182,0.02843,0.02264
2008-12-30,0.02472,0.03756,0.05258,0.02626,0.00638,0.02353,0.02293,0.01325,0.02551,0.02683,0.02969,0.01899,0.03441,0.02736,0.00378,0.01968,0.02841,0.03438,0.04053,0.00343,0.02055,0.0425,0.02044,0.27402,0.02687,0.04612,0.0182,0.02843,0.02264
2008-12-31,0.02472,0.03756,0.05258,0.02626,0.00638,0.02353,0.02293,0.01325,0.02551,0.02683,0.02969,0.01899,0.03441,0.02736,0.00378,0.01968,0.02841,0.03438,0.04053,0.00343,0.02055,0.0425,0.02044,0.27402,0.02687,0.04612,0.0182,0.02843,0.02264
2009-01-02,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-05,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-06,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-07,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-08,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-09,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-12,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-13,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-14,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-15,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-16,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-20,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-21,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-22,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-23,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-26,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-27,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
