Date,Capital
2016-01-04,10000.0
2016-01-05,10014.845889700433
2016-01-06,9899.090140092167
2016-01-07,9705.80285918311
2016-01-08,9601.67639942488
2016-01-11,9611.158194527685
2016-01-12,9683.175863269702
2016-01-13,9500.834506247673
2016-01-14,9659.267525941123
2016-01-15,9462.508409201588
2016-01-19,9414.781656566158
2016-01-20,9146.513973366194
2016-01-21,9215.029618683859
2016-01-22,9281.569826343904
2016-01-25,9189.69448297224
2016-01-26,9372.767099137063
2016-01-27,9263.252050808498
2016-01-28,9329.303920321685
2016-01-29,9571.554006931592
2016-02-01,9562.761876538087
2016-02-02,9366.974781546141
2016-02-03,9442.360674896798
2016-02-04,9453.73443797638
2016-02-05,9320.047629453638
2016-02-08,9247.537625099072
2016-02-09,9262.798006583564
2016-02-10,9220.646296748151
2016-02-11,9103.787524828578
2016-02-12,9280.65197669873
2016-02-16,9384.513226748464
2016-02-17,9534.948827266215
2016-02-18,9509.69242120373
2016-02-19,9504.554146381237
2016-02-22,9601.887789304423
2016-02-23,9486.439300650152
2016-02-24,9512.445699841102
2016-02-25,9639.184204339184
2016-02-26,9588.08016503799
2016-02-29,9499.718348540515
2016-03-01,9737.991010038459
2016-03-02,9769.527337433194
2016-03-03,9792.51508197537
2016-03-04,9812.906810813598
2016-03-07,9837.94095421897
2016-03-08,9795.989366519214
2016-03-09,9852.40659896531
2016-03-10,9845.687563434603
2016-03-11,9950.161861010572
2016-03-14,9948.51808421398
2016-03-15,9963.49393227293
2016-03-16,10011.431804719783
2016-03-17,10092.070323564987
2016-03-18,10162.393370067199
2016-03-21,10174.823829586418
2016-03-22,10165.731468977641
2016-03-23,10120.475396867609
2016-03-24,10127.594993692934
2016-03-28,10126.287724959093
2016-03-29,10188.087305964591
2016-03-30,10237.679296447579
2016-03-31,10224.022120048267
2016-04-01,10315.069676312676
2016-04-04,10277.383786772925
2016-04-05,10196.476394385987
2016-04-06,10273.367976004372
2016-04-07,10163.931748564919
2016-04-08,10184.107862091767
2016-04-11,10159.445918725345
2016-04-12,10241.825081278786
2016-04-13,10338.467967294135
2016-04-14,10339.575151408439
2016-04-15,10331.959352391714
2016-04-18,10404.251706799745
2016-04-19,10428.82916651
2016-04-20,10433.070713440726
2016-04-21,10370.37506860026
2016-04-22,10357.777781816692
2016-04-25,10350.974760021878
2016-04-26,10343.632127746563
2016-04-27,10365.526041667914
2016-04-28,10265.787834390449
2016-04-29,10215.73756773783
2016-05-02,10294.124013887173
2016-05-03,10225.41805126203
2016-05-04,10171.299105209788
2016-05-05,10179.69906189875
2016-05-06,10207.750038577422
2016-05-09,10210.124265052978
2016-05-10,10323.52066755905
2016-05-11,10232.091501137345
2016-05-12,10233.400832181318
2016-05-13,10149.611053682302
2016-05-16,10244.462823986993
2016-05-17,10129.534783724255
2016-05-18,10130.385993573063
2016-05-19,10104.00392780536
2016-05-20,10146.375005120366
2016-05-23,10127.208829568777
2016-05-24,10252.015850115784
2016-05-25,10337.297793586946
2016-05-26,10321.72457840363
2016-05-27,10352.048185175005
2016-05-31,10325.366289654776
2016-06-01,10331.70657530606
2016-06-02,10371.921191518742
2016-06-03,10355.063530791065
2016-06-06,10412.140272019195
2016-06-07,10422.13083519896
2016-06-08,10452.256260489547
2016-06-09,10457.64959160167
2016-06-10,10426.37802448729
2016-06-13,10361.539067183847
2016-06-14,10335.720620821154
