Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,AXP_weight,AMGN_weight,AAPL_weight,BA_weight,CAT_weight,CSCO_weight,CVX_weight,GS_weight,HD_weight,HON_weight,IBM_weight,INTC_weight,JNJ_weight,KO_weight,JPM_weight,MCD_weight,MMM_weight,MRK_weight,MSFT_weight,NKE_weight,PG_weight,TRV_weight,UNH_weight,CRM_weight,VZ_weight,V_weight,WBA_weight,WMT_weight,DIS_weight
2008-12-22,3.062143087387085,57.130001068115234,18.420000076293945,41.119998931884766,41.779998779296875,7.772500038146973,16.3700008392334,69.38999938964844,21.93000030517578,77.0,23.729999542236328,30.41248893737793,78.38432312011719,14.34000015258789,58.93000030517578,29.81999969482422,22.329999923706055,61.400001525878906,56.369998931884766,27.757633209228516,19.18000030517578,12.274999618530273,60.459999084472656,41.93000030517578,25.739999771118164,13.4375,31.344249725341797,24.979999542236328,55.9900016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-23,3.0850000381469727,57.369998931884766,17.959999084472656,40.150001525878906,41.130001068115234,7.894999980926514,16.239999771118164,69.19999694824219,21.850000381469727,75.19999694824219,23.6200008392334,30.231348037719727,77.05545043945312,14.069999694824219,58.68000030517578,29.110000610351562,21.985000610351562,60.650001525878906,55.439998626708984,28.062976837158203,19.280000686645508,11.989999771118164,59.83000183105469,42.0,25.979999542236328,13.412500381469727,30.753379821777344,24.079999923706055,55.290000915527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-24,3.0371429920196533,57.15999984741211,17.969999313354492,40.119998931884766,41.90999984741211,7.887499809265137,16.350000381469727,69.62000274658203,21.989999771118164,76.44000244140625,23.729999542236328,30.35528564453125,76.97896575927734,14.229999542236328,58.560001373291016,29.850000381469727,22.049999237060547,61.279998779296875,55.5,27.92938995361328,19.170000076293945,12.282500267028809,60.38999938964844,41.65999984741211,25.959999084472656,13.22249984741211,30.809654235839844,24.110000610351562,55.439998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-26,3.064642906188965,57.36000061035156,17.90999984741211,40.529998779296875,42.720001220703125,7.855000019073486,16.270000457763672,70.3499984741211,22.18000030517578,75.97000122070312,23.559999465942383,30.479223251342773,77.75334930419922,14.180000305175781,58.560001373291016,29.799999237060547,22.290000915527344,61.060001373291016,55.7400016784668,27.671756744384766,19.1299991607666,12.4399995803833,60.529998779296875,42.470001220703125,26.299999237060547,13.3125,31.128536224365234,23.81999969482422,55.349998474121094,0.00973,0.01437,0.01985,0.01034,0.00377,0.0099,0.00958,0.00601,0.01079,0.01109,0.01174,0.0077,0.01385,0.01089,0.13183,0.00834,0.01126,0.01243,0.01543,0.02048,0.00879,0.01659,0.00703,0.56057,0.01063,0.01807,0.00786,0.01137,0.00968
2008-12-29,3.0932140350341797,56.869998931884766,17.700000762939453,39.9900016784668,42.34000015258789,7.732500076293945,16.010000228881836,71.55000305175781,21.469999313354492,76.55999755859375,23.360000610351562,29.754663467407227,77.67686462402344,14.130000114440918,58.150001525878906,29.780000686645508,22.204999923706055,60.380001068115234,55.369998931884766,27.003816604614258,18.959999084472656,12.234999656677246,60.20000076293945,43.58000183105469,25.56999969482422,13.042499542236328,31.081640243530273,23.649999618530273,55.11000061035156,0.00973,0.01437,0.01985,0.01034,0.00377,0.0099,0.00958,0.00601,0.01079,0.01109,0.01174,0.0077,0.01385,0.01089,0.13183,0.00834,0.01126,0.01243,0.01543,0.02048,0.00879,0.01659,0.00703,0.56057,0.01063,0.01807,0.00786,0.01137,0.00968
2008-12-30,3.0817859172821045,57.59000015258789,18.0,41.25,43.65999984741211,7.739999771118164,16.229999542236328,73.37999725341797,22.479999542236328,82.05999755859375,23.110000610351562,31.0703125,79.87571716308594,14.6899995803833,59.16999816894531,31.010000228881836,22.46500015258789,61.7400016784668,57.16999816894531,28.244274139404297,19.34000015258789,12.422499656677246,61.119998931884766,44.93000030517578,27.040000915527344,12.7475004196167,31.166051864624023,23.940000534057617,55.04999923706055,0.00973,0.01437,0.01985,0.01034,0.00377,0.0099,0.00958,0.00601,0.01079,0.01109,0.01174,0.0077,0.01385,0.01089,0.13183,0.00834,0.01126,0.01243,0.01543,0.02048,0.00879,0.01659,0.00703,0.56057,0.01063,0.01807,0.00786,0.01137,0.00968
2008-12-31,3.0482139587402344,57.75,18.549999237060547,42.66999816894531,44.66999816894531,8.0024995803833,16.299999237060547,73.97000122070312,22.690000534057617,84.38999938964844,23.020000457763672,31.299121856689453,80.45889282226562,14.65999984741211,59.83000183105469,31.530000686645508,22.635000228881836,62.189998626708984,57.540000915527344,29.007633209228516,19.440000534057617,12.75,61.81999969482422,45.20000076293945,26.600000381469727,13.112500190734863,31.794437408447266,24.670000076293945,56.060001373291016,0.00973,0.01437,0.01985,0.01034,0.00377,0.0099,0.00958,0.00601,0.01079,0.01109,0.01174,0.0077,0.01385,0.01089,0.13183,0.00834,0.01126,0.01243,0.01543,0.02048,0.00879,0.01659,0.00703,0.56057,0.01063,0.01807,0.00786,0.01137,0.00968
2009-01-02,3.2410709857940674,58.9900016784668,19.329999923706055,45.25,46.90999984741211,8.505000114440918,16.959999084472656,76.5199966430664,23.920000076293945,86.76000213623047,24.1299991607666,33.04378890991211,83.52772521972656,15.199999809265137,60.650001525878906,31.350000381469727,22.950000762939453,63.75,59.189998626708984,29.58015251159668,20.329999923706055,13.265000343322754,62.79999923706055,45.20000076293945,27.59000015258789,13.359999656677246,32.48847579956055,25.549999237060547,57.18000030517578,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-05,3.377856969833374,59.650001525878906,19.950000762939453,46.16999816894531,46.08000183105469,8.337499618530273,17.110000610351562,76.66000366210938,23.5,88.77999877929688,24.709999084472656,32.8721809387207,83.00191497802734,14.90999984741211,60.04999923706055,29.25,22.719999313354492,63.560001373291016,58.5,29.13167953491211,20.520000457763672,13.359999656677246,62.349998474121094,44.529998779296875,27.139999389648438,13.454999923706055,30.462635040283203,26.84000015258789,56.52000045776367,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
2009-01-06,3.322143077850342,58.34000015258789,21.06999969482422,46.310001373291016,45.79999923706055,8.649999618530273,17.790000915527344,77.3499984741211,24.309999465942383,88.70999908447266,25.260000228881836,34.359439849853516,85.30592346191406,15.369999885559082,59.689998626708984,29.8799991607666,22.354999542236328,62.13999938964844,59.189998626708984,28.597328186035156,20.760000228881836,13.09000015258789,62.16999816894531,43.16999816894531,26.5,14.40250015258789,29.974931716918945,26.709999084472656,56.02000045776367,0.0038,0.04794,0.14587,0.12003,0.00393,0.04234,0.01517,0.01692,0.12564,0.0038,0.01358,0.01234,0.01859,0.03838,0.00659,0.01754,0.00938,0.10269,0.02388,0.00412,0.02074,0.01249,0.00862,0.01422,0.02692,0.10208,0.00282,0.03744,0.00215
