train/actor_loss,train/learning_rate,train/critic_loss,time/episodes,train/reward,time/total_timesteps,time/time_elapsed,train/n_updates,time/fps
1.936683121185429,0.001,0.02922821789563615,4,-0.02317363,6040,100,4530,60
1.1492750277582384,0.001,0.0010308883770250264,8,-0.02317363,12080,232,10570,52
0.752213751717119,0.001,0.0007814224637869055,12,-0.02317363,18120,355,16610,50
0.4866484403807596,0.001,0.0018053618882472831,16,-0.02317363,24160,474,22650,50
0.30402770977936044,0.001,0.0003753135404923456,20,-0.02317363,30200,593,28690,50
0.1622324232776828,0.001,0.00031228393986717097,24,-0.02317363,36240,712,34730,50
0.07911110549474394,0.001,8.826886372820363e-05,28,-0.02317363,42280,872,40770,48
0.025054014136703277,0.001,0.0007517441919326724,32,-0.02317363,48320,997,46810,48
-0.012593467835728572,0.001,5.7737358019346855e-05,36,-0.02317363,54360,1466,52850,37
-0.04158001579529304,0.001,5.167994614078976e-05,40,-0.02317363,60400,2268,58890,26
-0.0619784921481712,0.001,3.468791300720294e-05,44,-0.02317363,66440,2382,64930,27
-0.07624165360007855,0.001,3.2066902293454946e-05,48,-0.02317363,72480,2498,70970,29
-0.08811283356059861,0.001,3.0786673843543375e-05,52,-0.02317363,78520,2615,77010,30
-0.09640887276028955,0.001,3.224550679825545e-05,56,-0.02317363,84560,2734,83050,30
-0.10239803915386958,0.001,3.599125812791842e-05,60,-0.02317363,90600,2852,89090,31
-0.10642634473790397,0.001,3.2442430445323244e-05,64,-0.02317363,96640,2970,95130,32
