train/actor_loss,time/time_elapsed,train/n_updates,train/critic_loss,train/learning_rate,time/fps,train/reward,time/total_timesteps,time/episodes
-6.7615749921230295,102,4530,0.016466407324279973,0.001,58,-0.016978154,6040,4
-4.877927845834896,233,10570,0.009596005884933576,0.001,51,-0.016978154,12080,8
-3.4685332944061584,359,16610,0.002832442515881251,0.001,50,-0.016978154,18120,12
-2.5263149288316438,484,22650,0.0014956102116898454,0.001,49,-0.016978154,24160,16
-1.8495977163314818,613,28690,0.0015194120854278102,0.001,49,-0.016978154,30200,20
-1.3411027546749998,740,34730,0.0012041876870646938,0.001,48,-0.016978154,36240,24
-0.9813988710476074,872,40770,0.0009805336762940518,0.001,48,-0.016978154,42280,28
-0.7370182456559693,1001,46810,0.00037730213011162426,0.001,48,-0.016978154,48320,32
-0.5552235964710349,1136,52850,0.00025467668363742766,0.001,47,-0.016978154,54360,36
-0.42493482111700326,1263,58890,0.00014343767443580078,0.001,47,-0.016978154,60400,40
