train/n_updates,time/total_timesteps,train/learning_rate,time/episodes,time/fps,train/actor_loss,train/reward,train/critic_loss,time/time_elapsed
4530,6040,0.001,4,99,-0.01943392253493187,-0.044908397,0.046207049468051126,60
10570,12080,0.001,8,88,-0.18217295685795365,-0.044908397,0.0028213361476313644,136
16610,18120,0.001,12,84,-0.2264155537235421,-0.044908397,0.0006510790643692387,213
22650,24160,0.001,16,83,-0.2125218512404044,-0.044908397,0.0005322529911410544,289
28690,30200,0.001,20,82,-0.20462057489827767,-0.044908397,0.0003345050511483507,366
34730,36240,0.001,24,81,-0.19711888828222326,-0.044908397,0.00022012491634640602,442
40770,42280,0.001,28,81,-0.1999329780308616,-0.044908397,0.00018163320718010093,519
46810,48320,0.001,32,81,-0.20475153509552116,-0.044908397,0.0001448766005529817,595
52850,54360,0.001,36,80,-0.20749616047601827,-0.044908397,7.29346435265739e-05,671
58890,60400,0.001,40,80,-0.21194712406160027,-0.044908397,5.740118918308043e-05,749
