time/fps,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,train/critic_loss,train/learning_rate,time/episodes,train/reward
100,60,5.964303679497826,4530,6040,0.16646555821158435,0.001,4,-0.056084212
87,138,4.495132594077003,10570,12080,0.007807394760099566,0.001,8,-0.056084212
83,217,2.8756002146676676,16610,18120,0.01240406804702658,0.001,12,-0.056084212
81,294,1.894709510676908,22650,24160,0.00446648525983089,0.001,16,-0.056084212
80,372,1.2680579057197696,28690,30200,0.002263042163211754,0.001,20,-0.056084212
80,451,0.815541077923301,34730,36240,0.0015127504739597354,0.001,24,-0.056084212
80,528,0.5088581171059451,40770,42280,0.0009294042096335274,0.001,28,-0.056084212
79,607,0.29840685972906894,46810,48320,0.0006910399057835322,0.001,32,-0.056084212
79,685,0.155282786534174,52850,54360,0.00037255207937640997,0.001,36,-0.056084212
79,762,0.05157332391530547,58890,60400,0.0003189375831979552,0.001,40,-0.056084212
79,840,-0.026439484609568503,64930,66440,0.00012976643373027123,0.001,44,-0.056084212
