train/reward,train/n_updates,train/actor_loss,train/critic_loss,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,time/episodes
-0.041505404,4530,-0.4124572287825559,0.01874359847286975,6040,94,0.001,63,4
-0.041505404,10570,-0.3766295060811453,0.00566260222336339,12080,215,0.001,56,8
-0.041505404,16610,-0.2958623213187748,0.0016664389051560201,18120,333,0.001,54,12
-0.041505404,22650,-0.23774028468803066,0.0005934532664794111,24160,455,0.001,53,16
-0.041505404,28690,-0.19969705219892478,0.00031858537115221413,30200,577,0.001,52,20
-0.041505404,34730,-0.18012286784830472,0.00021385990174480293,36240,699,0.001,51,24
-0.041505404,40770,-0.16798679624369603,0.0001290589767353631,42280,818,0.001,51,28
-0.041505404,46810,-0.1692583017791344,0.00010099697193670139,48320,943,0.001,51,32
-0.041505404,52850,-0.16370916210657713,7.460038874185388e-05,54360,1063,0.001,51,36
-0.041505404,58890,-0.1633649178293367,5.085202852292572e-05,60400,1182,0.001,51,40
-0.041505404,64930,-0.1602690065834696,4.8643850112551305e-05,66440,1302,0.001,51,44
