train/reward,train/learning_rate,train/critic_loss,train/actor_loss,time/total_timesteps,time/episodes,time/fps,time/time_elapsed,train/n_updates
-0.059001986,0.001,0.28236709073284605,16.579012282163102,6040,4,105,57,4530
-0.059001986,0.001,0.043324210569077475,12.490062552572086,12080,8,90,133,10570
-0.059001986,0.001,0.0714948306430674,8.779373900306146,18120,12,86,210,16610
-0.05786337,0.001,0.04133353481834002,6.1889125883973986,24160,16,83,287,22650
-0.05786337,0.001,0.034518004060778394,4.293011834447747,30200,20,82,365,28690
-0.05786337,0.001,0.025171176098681837,2.9715820947230256,36240,24,81,442,34730
-0.05786337,0.001,0.0050064896819696746,2.045987487470867,42280,28,81,519,40770
-0.05786337,0.001,0.003281670161145153,1.4237652792835866,48320,32,81,595,46810
-0.05786337,0.001,0.0016133306773891364,0.9498709501020166,54360,36,80,672,52850
-0.05786337,0.001,0.003939948660590985,0.6272523701190948,60400,40,80,749,58890
-0.05786337,0.001,0.00036410512911488874,0.403375928883521,66440,44,80,827,64930
