train/learning_rate,train/reward,train/n_updates,time/episodes,train/critic_loss,time/fps,time/total_timesteps,train/actor_loss,time/time_elapsed
0.001,-0.053912826,4530,4,0.11588896461176557,103,6040,0.01660549823096059,58
0.001,-0.053912826,10570,8,0.005241706953784882,88,12080,0.30220024632104975,135
0.001,-0.053912826,16610,12,0.0018093133695263244,84,18120,0.24548539549408369,213
0.001,-0.053912826,22650,16,0.0011373106166273233,82,24160,0.16266832679806167,292
0.001,-0.053912826,28690,20,0.0007499001716689163,81,30200,0.09917959956797642,369
0.001,-0.053912826,34730,24,0.0003835002590176674,81,36240,0.034725142707693585,446
0.001,-0.053912826,40770,28,0.0002911114116355049,80,42280,-0.017350154444852856,525
0.001,-0.053912826,46810,32,0.00021993553586167728,80,48320,-0.056558369070951464,603
0.001,-0.053912826,52850,36,0.00011828664530835551,79,54360,-0.08006011858237105,680
0.001,-0.053912826,58890,40,9.287082839785922e-05,79,60400,-0.10178387065646269,758
0.001,-0.053912826,64930,44,7.792544028240283e-05,79,66440,-0.11848674937589279,839
