train/n_updates,time/time_elapsed,train/actor_loss,train/learning_rate,train/reward,time/fps,train/critic_loss,time/episodes,time/total_timesteps
4530,57,-6.011938453194321,0.001,-0.07040454,104,0.07410610780021212,4,6040
10570,134,-3.1687247483146113,0.001,-0.07040454,89,0.01117135391706317,8,12080
16610,211,-2.1592831376372583,0.001,-0.07040454,85,0.005458359358622538,12,18120
22650,288,-1.426830447983268,0.001,-0.07040454,83,0.003772417325098592,16,24160
28690,367,-1.0295535689947621,0.001,-0.07040454,82,0.0020627480925026888,20,30200
34730,446,-0.7598360024935362,0.001,-0.07040454,81,0.0012063525384099266,24,36240
40770,524,-0.5903229147393182,0.001,-0.07040454,80,0.0007439032485434902,28,42280
46810,602,-0.47707115382153464,0.001,-0.07040454,80,0.00039937373205717954,32,48320
52850,680,-0.3774717498891401,0.001,-0.07040454,79,0.00010391588068930726,36,54360
58890,758,-0.32477958869460405,0.001,-0.07040454,79,9.067993171311474e-05,40,60400
64930,835,-0.2932021435818925,0.001,-0.07040454,79,9.870607780444125e-05,44,66440
