train/reward,time/time_elapsed,train/learning_rate,time/fps,time/total_timesteps,train/actor_loss,time/episodes,train/critic_loss,train/n_updates
-0.06399292,58,0.001,103,6040,-5.353518281077707,4,0.04249752346512596,4530
-0.06399292,136,0.001,88,12080,-4.871390751971314,8,0.00865063190484105,10570
-0.06399292,213,0.001,84,18120,-3.6316421944574016,12,0.013922084653241226,16610
-0.06399292,291,0.001,82,24160,-2.6797873178065217,16,0.005753227324141744,22650
-0.06399292,372,0.001,81,30200,-1.943239275430212,20,0.003464556309519434,28690
-0.06399292,450,0.001,80,36240,-1.455610856867784,24,0.00249305070691668,34730
-0.06399292,529,0.001,79,42280,-1.1082283801195638,28,0.00115815976452289,40770
-0.06399292,608,0.001,79,48320,-0.846641266385451,32,0.0007861171509463044,46810
-0.06399292,686,0.001,79,54360,-0.7096852922281682,36,0.0009018148160470181,52850
-0.06399292,764,0.001,79,60400,-0.5897148166271236,40,0.00022900111065284713,58890
-0.06399292,842,0.001,78,66440,-0.4959756821393967,44,0.00022899187341508215,64930
