train/n_updates,train/learning_rate,time/episodes,train/actor_loss,time/total_timesteps,time/time_elapsed,time/fps,train/reward,train/critic_loss
4530,0.001,4,-2.2150130492172493,6040,60,100,-0.05763058,0.18736529340720828
10570,0.001,8,-0.9469024149392614,12080,138,87,-0.05763058,0.0073675502750048085
16610,0.001,12,-0.4828358131035274,18120,216,83,-0.05763058,0.006921452440326071
22650,0.001,16,-0.31785151069330064,24160,295,81,-0.05763058,0.0037567034992659217
28690,0.001,20,-0.2762137481807084,30200,373,80,-0.05763058,0.0005466439026205135
34730,0.001,24,-0.2565618569685134,36240,450,80,-0.05763058,0.0002894125874088738
40770,0.001,28,-0.24877628240956376,42280,528,80,-0.05763058,0.00020651415648923366
46810,0.001,32,-0.24595361479268169,48320,606,79,-0.05763058,0.0001499725877385801
52850,0.001,36,-0.24182137051560232,54360,684,79,-0.05763058,8.895031459426579e-05
58890,0.001,40,-0.24570769368615372,60400,764,78,-0.05763058,9.757664891078202e-05
64930,0.001,44,-0.2476984051679144,66440,849,78,-0.05763058,7.31130357348323e-05
