Date,Capital
2016-01-04,10000.0
2016-01-05,10004.501190465782
2016-01-06,9869.77141315979
2016-01-07,9651.200210849644
2016-01-08,9528.20347107062
2016-01-11,9562.059246425804
2016-01-12,9646.748756092515
2016-01-13,9421.370423153787
2016-01-14,9579.219152092015
2016-01-15,9341.788188223089
2016-01-19,9374.703790704358
2016-01-20,9243.576333605633
2016-01-21,9268.452949260343
2016-01-22,9427.874034963914
2016-01-25,9301.980921677296
2016-01-26,9453.744114800846
2016-01-27,9320.002006985682
2016-01-28,9317.686625936265
2016-01-29,9601.73730593594
2016-02-01,9541.675495914851
2016-02-02,9297.735011025507
2016-02-03,9409.716358159078
2016-02-04,9551.74931792638
2016-02-05,9362.879760018759
2016-02-08,9290.83176322454
2016-02-09,9238.84270489058
2016-02-10,9177.564278964239
2016-02-11,9519.692830103155
2016-02-12,9706.086789113273
2016-02-16,9927.132452370382
2016-02-17,10133.48906431332
2016-02-18,10069.475604062432
2016-02-19,10071.004606156823
2016-02-22,10162.354682425414
2016-02-23,9991.404029972795
2016-02-24,10045.779169667625
2016-02-25,10170.2818277782
2016-02-26,10135.019752560576
2016-02-29,10069.741165016972
2016-03-01,10319.990195391103
2016-03-02,10336.878341097923
2016-03-03,10439.18083560083
2016-03-04,10491.019925778171
2016-03-07,10572.534701518498
2016-03-08,10421.539345998543
2016-03-09,10433.622429188525
2016-03-10,10406.394688209328
2016-03-11,10571.09585148905
2016-03-14,10573.372051653354
2016-03-15,10569.386706958472
2016-03-16,10682.616292377608
2016-03-17,10793.897294021072
2016-03-18,10831.133734719144
2016-03-21,10861.89483489768
2016-03-22,10857.901416766244
2016-03-23,10733.194481639617
2016-03-24,10804.20624735285
2016-03-28,10802.965384452265
2016-03-29,10885.539139574004
2016-03-30,10962.812216084958
2016-03-31,10960.271944141547
2016-04-01,11053.48719915988
2016-04-04,11015.354123785308
2016-04-05,10939.508846370905
2016-04-06,11027.749002598825
2016-04-07,10911.897647183188
2016-04-08,10927.599812097453
2016-04-11,10909.596917795536
2016-04-12,10995.435948817856
2016-04-13,11089.117361725514
2016-04-14,11095.364663271985
2016-04-15,11090.6600886515
2016-04-18,11178.881822778192
2016-04-19,11170.128627571861
2016-04-20,11155.684255705235
2016-04-21,11120.145166293483
2016-04-22,11078.335115333683
2016-04-25,11081.95849710307
2016-04-26,11094.007812315285
2016-04-27,11146.50112394744
2016-04-28,10992.130260187954
2016-04-29,10951.451944151586
2016-05-02,11079.131877376185
2016-05-03,11029.883376764177
2016-05-04,10890.337653195193
2016-05-05,10902.824940939321
2016-05-06,10890.317203589975
2016-05-09,10864.703671933754
2016-05-10,10965.72921234637
2016-05-11,10915.869973580124
2016-05-12,10826.481192612357
2016-05-13,10825.0581472024
2016-05-16,10966.883010387884
2016-05-17,10784.874274267537
2016-05-18,10788.88716111229
2016-05-19,10684.728942149824
2016-05-20,10853.530001472604
2016-05-23,10854.654269640814
2016-05-24,11099.532503350427
2016-05-25,11206.249095941737
2016-05-26,11207.51584614651
2016-05-27,11236.780519306736
2016-05-31,11250.128598548132
2016-06-01,11241.68876945874
2016-06-02,11332.516198992724
2016-06-03,11399.551471286086
2016-06-06,11518.468043111383
2016-06-07,11560.89517343802
2016-06-08,11655.233955792266
2016-06-09,11580.588889715415
2016-06-10,11501.830793605417
2016-06-13,11414.763222837057
2016-06-14,11398.125931776218
2016-06-15,11403.163327892371
2016-06-16,11447.771923530036
2016-06-17,11447.310761442577
2016-06-20,11533.343489311339
2016-06-21,11545.882477105599
2016-06-22,11537.324732770257
2016-06-23,11737.02667301597
2016-06-24,11223.939368755267
2016-06-27,11017.56308057365
2016-06-28,11176.981827027921
2016-06-29,11391.588470021894
2016-06-30,11555.382379997287
2016-07-01,11564.504867487258
2016-07-05,11457.02694872074
2016-07-06,11525.655631823995
2016-07-07,11531.93180137404
2016-07-08,11733.308834171534
2016-07-11,11789.476899505693
2016-07-12,11888.60009001057
2016-07-13,11892.856846552886
2016-07-14,11986.83488644287
2016-07-15,11991.617798578724
2016-07-18,12006.736432220385
2016-07-19,12017.917107078885
2016-07-20,12033.258204524735
2016-07-21,11944.643395485991
2016-07-22,11942.076794691082
2016-07-25,11887.853068311886
2016-07-26,11936.12081930748
2016-07-27,11987.952291794789
2016-07-28,11969.992980566802
2016-07-29,11966.384593951854
2016-08-01,11951.39645904053
2016-08-02,11896.121540890446
2016-08-03,11933.230373929728
2016-08-04,11945.361365064216
2016-08-05,12082.321047002313
2016-08-08,12073.229387655992
2016-08-09,12073.427189476859
2016-08-10,12046.974128609232
2016-08-11,12129.092247978164
2016-08-12,12111.833027804976
2016-08-15,12146.670675725667
2016-08-16,12091.23453989638
2016-08-17,12087.693315188451
2016-08-18,12097.76465080387
2016-08-19,12095.820312730699
2016-08-22,12092.965665331323
2016-08-23,12112.07899529896
2016-08-24,12074.232790441838
2016-08-25,12053.849283764359
2016-08-26,12022.319606950265
2016-08-29,12077.609624418988
2016-08-30,12037.379118284065
2016-08-31,12000.511921237356
2016-09-01,11996.082957367418
2016-09-02,12037.499216483844
2016-09-06,12119.348086295995
2016-09-07,12096.604496065436
2016-09-08,12104.784260291342
2016-09-09,11824.746196389875
2016-09-12,11996.060101653797
2016-09-13,11794.475917230719
2016-09-14,11800.76364195392
2016-09-15,11970.482091093487
2016-09-16,11991.452677587284
2016-09-19,11954.952532894402
2016-09-20,11957.620177022176
2016-09-21,12085.351308415704
2016-09-22,12146.897748452988
2016-09-23,12040.26945691047
2016-09-26,11938.106240256897
2016-09-27,12024.724131017729
2016-09-28,12157.081861404813
2016-09-29,12060.133465524616
2016-09-30,12186.851618905877
2016-10-03,12071.353632278027
2016-10-04,12034.318480359323
2016-10-05,12021.957333856984
2016-10-06,11939.737160879467
2016-10-07,11940.201039617232
2016-10-10,12044.409924752452
2016-10-11,11785.303464718692
2016-10-12,11811.875307134436
2016-10-13,11738.245131206608
2016-10-14,11729.390593776941
2016-10-17,11736.029946153343
2016-10-18,12385.736958180452
2016-10-19,12462.753452052513
2016-10-20,12497.01531944335
2016-10-21,12513.766523102313
2016-10-24,12468.594936980564
2016-10-25,12384.240728485185
2016-10-26,12273.537749089906
2016-10-27,12238.143676270647
2016-10-28,12131.971094605184
2016-10-31,12194.021376644456
2016-11-01,12126.910104735047
2016-11-02,12055.198826478038
2016-11-03,11976.439700503257
2016-11-04,11946.1726207328
2016-11-07,12229.46376598669
2016-11-08,12246.795727933604
2016-11-09,12511.876242069433
2016-11-10,12565.611569407403
2016-11-11,12598.144443603627
2016-11-14,12562.955521954194
2016-11-15,12647.94402418269
2016-11-16,12618.8819547583
2016-11-17,12401.36636277142
2016-11-18,12374.689953571875
2016-11-21,12381.842155180491
2016-11-22,12352.086846854867
2016-11-23,12347.408329648999
2016-11-25,12434.600573932346
2016-11-28,12388.91074683321
2016-11-29,12387.554926289178
2016-11-30,12336.481996665245
2016-12-01,12344.537095762216
2016-12-02,12351.911074352
2016-12-05,12408.470558487297
2016-12-06,12393.482069427278
2016-12-07,12582.864024003928
2016-12-08,12580.714237526992
2016-12-09,12675.526624640182
2016-12-12,12758.308391639497
2016-12-13,12820.082976484753
2016-12-14,12708.711184542728
2016-12-15,12776.151543608636
2016-12-16,12794.877061646048
2016-12-19,12799.164046156306
2016-12-20,12815.493594252692
2016-12-21,12785.255131306796
2016-12-22,12808.646975724832
2016-12-23,12827.735697748862
2016-12-27,12817.860221578787
2016-12-28,12747.318576263739
2016-12-29,12757.618244578329
2016-12-30,12714.105509748788
2017-01-03,12911.601870542518
2017-01-04,13073.187023800641
2017-01-05,13064.50872803264
2017-01-06,13185.567494689272
2017-01-09,13092.24202173811
2017-01-10,13041.614557200617
2017-01-11,13012.100535560743
2017-01-12,12960.894301970684
2017-01-13,13037.093015561837
2017-01-17,13126.048086033017
2017-01-18,13075.489992314471
2017-01-19,13007.551469420412
2017-01-20,13062.7427587519
2017-01-23,13057.292469139673
2017-01-24,13100.401030575034
2017-01-25,13193.691400070045
2017-01-26,13147.052461388343
2017-01-27,13073.494534743117
2017-01-30,13017.00489047535
2017-01-31,12977.442720657797
2017-02-01,12985.909773500025
2017-02-02,12984.119826681384
2017-02-03,13107.234268855802
2017-02-06,13101.541185395734
2017-02-07,13141.321850206801
2017-02-08,13148.943156349482
2017-02-09,13222.86890524449
2017-02-10,13289.3599940734
2017-02-13,13365.769079707858
2017-02-14,13422.393993867781
2017-02-15,13513.178200010778
2017-02-16,13568.591333868508
2017-02-17,13592.877533829287
2017-02-21,13673.506226596835
2017-02-22,13672.252880136833
2017-02-23,13714.740627247269
2017-02-24,13749.487215823952
2017-02-27,13756.521402168082
2017-02-28,13722.7421223788
2017-03-01,13940.088555423583
2017-03-02,13843.118382697943
2017-03-03,13855.41836089226
2017-03-06,13806.781798247066
2017-03-07,13776.872100315128
2017-03-08,13724.595794635126
2017-03-09,13735.82490233405
2017-03-10,13770.48193286206
