Date,Capital
2008-12-23,10000.0
2008-12-24,10000.0
2008-12-26,10000.0
2008-12-29,10000.0
2008-12-30,10000.0
2008-12-31,10000.0
2009-01-02,370916.6553102691
2009-01-05,370916.6553102691
2009-01-06,370916.6553102691
2009-01-07,370916.6553102691
2009-01-08,370916.6553102691
2009-01-09,370916.6553102691
2009-01-12,370916.6553102691
2009-01-13,370916.6553102691
2009-01-14,370916.6553102691
2009-01-15,370916.6553102691
2009-01-16,370916.6553102691
2009-01-20,370916.6553102691
2009-01-21,370916.6553102691
2009-01-22,370916.6553102691
2009-01-23,370916.6553102691
2009-01-26,370916.6553102691
2009-01-27,370916.6553102691
2009-01-28,370916.6553102691
2009-01-29,370916.6553102691
2009-01-30,370916.6553102691
2009-02-02,12831389.637365682
2009-02-03,12831389.637365682
2009-02-04,12831389.637365682
2009-02-05,12831389.637365682
2009-02-06,12831389.637365682
2009-02-09,12831389.637365682
2009-02-10,12831389.637365682
2009-02-11,12831389.637365682
2009-02-12,12831389.637365682
2009-02-13,12831389.637365682
2009-02-17,12831389.637365682
2009-02-18,12831389.637365682
2009-02-19,12831389.637365682
2009-02-20,12831389.637365682
2009-02-23,12831389.637365682
2009-02-24,12831389.637365682
2009-02-25,12831389.637365682
2009-02-26,12831389.637365682
2009-02-27,12831389.637365682
2009-03-02,405368340.37333184
2009-03-03,405368340.37333184
2009-03-04,405368340.37333184
2009-03-05,405368340.37333184
2009-03-06,405368340.37333184
2009-03-09,405368340.37333184
2009-03-10,405368340.37333184
2009-03-11,405368340.37333184
2009-03-12,405368340.37333184
2009-03-13,405368340.37333184
2009-03-16,405368340.37333184
2009-03-17,405368340.37333184
2009-03-18,405368340.37333184
2009-03-19,405368340.37333184
2009-03-20,405368340.37333184
2009-03-23,405368340.37333184
2009-03-24,405368340.37333184
2009-03-25,405368340.37333184
2009-03-26,405368340.37333184
2009-03-27,405368340.37333184
2009-03-30,405368340.37333184
2009-03-31,405368340.37333184
2009-04-01,13902782052.451786
2009-04-02,13902782052.451786
2009-04-03,13902782052.451786
2009-04-06,13902782052.451786
2009-04-07,13902782052.451786
2009-04-08,13902782052.451786
2009-04-09,13902782052.451786
2009-04-13,13902782052.451786
2009-04-14,13902782052.451786
2009-04-15,13902782052.451786
2009-04-16,13902782052.451786
2009-04-17,13902782052.451786
2009-04-20,13902782052.451786
2009-04-21,13902782052.451786
2009-04-22,13902782052.451786
2009-04-23,13902782052.451786
2009-04-24,13902782052.451786
2009-04-27,13902782052.451786
2009-04-28,13902782052.451786
2009-04-29,13902782052.451786
2009-04-30,13902782052.451786
2009-05-01,520524973528.31946
2009-05-04,520524973528.31946
2009-05-05,520524973528.31946
2009-05-06,520524973528.31946
2009-05-07,520524973528.31946
2009-05-08,520524973528.31946
2009-05-11,520524973528.31946
2009-05-12,520524973528.31946
2009-05-13,520524973528.31946
2009-05-14,520524973528.31946
2009-05-15,520524973528.31946
2009-05-18,520524973528.31946
2009-05-19,520524973528.31946
2009-05-20,520524973528.31946
2009-05-21,520524973528.31946
2009-05-22,520524973528.31946
2009-05-26,520524973528.31946
2009-05-27,520524973528.31946
2009-05-28,520524973528.31946
2009-05-29,520524973528.31946
2009-06-01,20332731030532.586
2009-06-02,20332731030532.586
2009-06-03,20332731030532.586
2009-06-04,20332731030532.586
2009-06-05,20332731030532.586
2009-06-08,20332731030532.586
2009-06-09,20332731030532.586
2009-06-10,20332731030532.586
2009-06-11,20332731030532.586
2009-06-12,20332731030532.586
2009-06-15,20332731030532.586
2009-06-16,20332731030532.586
2009-06-17,20332731030532.586
2009-06-18,20332731030532.586
2009-06-19,20332731030532.586
2009-06-22,20332731030532.586
2009-06-23,20332731030532.586
2009-06-24,20332731030532.586
2009-06-25,20332731030532.586
2009-06-26,20332731030532.586
2009-06-29,20332731030532.586
2009-06-30,20332731030532.586
2009-07-01,790311326177512.4
2009-07-02,790311326177512.4
2009-07-06,790311326177512.4
2009-07-07,790311326177512.4
2009-07-08,790311326177512.4
2009-07-09,790311326177512.4
2009-07-10,790311326177512.4
2009-07-13,790311326177512.4
2009-07-14,790311326177512.4
2009-07-15,790311326177512.4
2009-07-16,790311326177512.4
2009-07-17,790311326177512.4
2009-07-20,790311326177512.4
2009-07-21,790311326177512.4
2009-07-22,790311326177512.4
2009-07-23,790311326177512.4
2009-07-24,790311326177512.4
2009-07-27,790311326177512.4
2009-07-28,790311326177512.4
2009-07-29,790311326177512.4
2009-07-30,790311326177512.4
2009-07-31,790311326177512.4
2009-08-03,3.367175007724049e+16
2009-08-04,3.367175007724049e+16
2009-08-05,3.367175007724049e+16
2009-08-06,3.367175007724049e+16
2009-08-07,3.367175007724049e+16
2009-08-10,3.367175007724049e+16
2009-08-11,3.367175007724049e+16
2009-08-12,3.367175007724049e+16
2009-08-13,3.367175007724049e+16
2009-08-14,3.367175007724049e+16
2009-08-17,3.367175007724049e+16
2009-08-18,3.367175007724049e+16
2009-08-19,3.367175007724049e+16
2009-08-20,3.367175007724049e+16
2009-08-21,3.367175007724049e+16
2009-08-24,3.367175007724049e+16
2009-08-25,3.367175007724049e+16
2009-08-26,3.367175007724049e+16
2009-08-27,3.367175007724049e+16
2009-08-28,3.367175007724049e+16
2009-08-31,3.367175007724049e+16
2009-09-01,1.4819559630968794e+18
2009-09-02,1.4819559630968794e+18
2009-09-03,1.4819559630968794e+18
2009-09-04,1.4819559630968794e+18
2009-09-08,1.4819559630968794e+18
2009-09-09,1.4819559630968794e+18
2009-09-10,1.4819559630968794e+18
2009-09-11,1.4819559630968794e+18
2009-09-14,1.4819559630968794e+18
2009-09-15,1.4819559630968794e+18
2009-09-16,1.4819559630968794e+18
2009-09-17,1.4819559630968794e+18
2009-09-18,1.4819559630968794e+18
2009-09-21,1.4819559630968794e+18
2009-09-22,1.4819559630968794e+18
2009-09-23,1.4819559630968794e+18
2009-09-24,1.4819559630968794e+18
2009-09-25,1.4819559630968794e+18
2009-09-28,1.4819559630968794e+18
2009-09-29,1.4819559630968794e+18
2009-09-30,1.4819559630968794e+18
2009-10-01,6.751297914275303e+19
2009-10-02,6.751297914275303e+19
2009-10-05,6.751297914275303e+19
