Date,Capital
2008-12-22,10000.000000000004
2008-12-23,9907.358813082345
2008-12-24,9939.970680228225
2008-12-26,9972.93778349315
2008-12-29,9894.530652613592
2008-12-30,10117.061897852336
2008-12-31,10248.373642105409
2009-01-02,10589.4197935739
2009-01-05,10561.007928544974
2009-01-06,10635.919332301644
2009-01-07,10322.904507569421
2009-01-08,10342.368080615155
2009-01-09,10133.514458845892
2009-01-12,9940.524386534758
2009-01-13,9920.85299420837
2009-01-14,9596.601009365531
2009-01-15,9617.424817647037
2009-01-16,9672.958467990953
2009-01-20,9147.801037658337
2009-01-21,9528.982856624849
2009-01-22,9434.396414707853
2009-01-23,9447.283563795678
2009-01-26,9501.765233166334
2009-01-27,9631.447542383594
2009-01-28,9967.103603965079
2009-01-29,9657.842841676384
2009-01-30,9509.41330674544
2009-02-02,9506.644330477566
2009-02-03,9674.801654315235
2009-02-04,9613.229571924154
2009-02-05,9816.155903722683
2009-02-06,10081.52726783857
2009-02-09,10076.969749055164
2009-02-10,9592.435840180024
2009-02-11,9701.426477187884
2009-02-12,9743.573536058233
2009-02-13,9629.748918420064
2009-02-17,9218.260467601698
2009-02-18,9241.203127446459
2009-02-19,9150.026660737514
2009-02-20,9055.689755646734
2009-02-23,8711.290354895209
2009-02-24,9068.72949576993
2009-02-25,8931.598008245004
2009-02-26,8750.217858794462
2009-02-27,8663.477796302326
2009-03-02,8308.690330501844
2009-03-03,8277.279215810908
2009-03-04,8489.781287250044
2009-03-05,8122.612323332736
2009-03-06,8078.178455774258
2009-03-09,7978.372253649739
2009-03-10,8527.646748268975
2009-03-11,8611.135067709449
2009-03-12,8951.242244734047
2009-03-13,9021.429842061441
2009-03-16,8918.884844068503
2009-03-17,9232.752350158453
2009-03-18,9415.081352015937
2009-03-19,9247.444540099128
2009-03-20,9092.489800598349
2009-03-23,9763.009951172275
2009-03-24,9547.014594174216
2009-03-25,9629.724203034222
2009-03-26,9879.12578888216
2009-03-27,9660.203866173599
2009-03-30,9334.36016892604
2009-03-31,9501.614524291344
2009-04-01,9678.475310964099
2009-04-02,9974.696253618291
2009-04-03,10092.561431911148
2009-04-06,10040.687752592408
2009-04-07,9866.991842086401
2009-04-08,9957.610982587608
2009-04-09,10328.92833136646
2009-04-13,10386.775974272265
2009-04-14,10123.055024760775
2009-04-15,10269.444159866409
2009-04-16,10392.938278258189
2009-04-17,10401.84372980399
2009-04-20,10015.392317230195
2009-04-21,10200.521267053035
2009-04-22,10152.423785188437
2009-04-23,10258.432833891948
2009-04-24,10452.990070079437
2009-04-27,10375.414519259308
2009-04-28,10396.306629169505
2009-04-29,10643.971535056677
2009-04-30,10665.233066907835
2009-05-01,10655.593678701567
2009-05-04,10980.882363770355
2009-05-05,10963.146791477513
2009-05-06,11072.308093273412
2009-05-07,10874.924733846272
2009-05-08,11107.112880974404
2009-05-11,10877.577335211712
2009-05-12,10858.312491400564
2009-05-13,10610.128956563914
2009-05-14,10731.587445504687
2009-05-15,10663.989513076778
2009-05-18,11006.403625730276
2009-05-19,10926.687204443244
2009-05-20,10837.953211172968
2009-05-21,10701.604121138938
2009-05-22,10619.499248669023
2009-05-26,10949.039571713682
2009-05-27,10762.2999460039
2009-05-28,10903.523352892214
2009-05-29,11025.371779898496
2009-06-01,11317.663598378871
2009-06-02,11306.090908815342
2009-06-03,11268.397000226567
2009-06-04,11389.028508997344
2009-06-05,11389.691770762669
2009-06-08,11397.425203176048
2009-06-09,11427.91978924981
2009-06-10,11366.26126438215
2009-06-11,11322.977806039451
2009-06-12,11315.129482777473
2009-06-15,11093.950882415791
2009-06-16,10990.295788730828
2009-06-17,10974.880933747443
2009-06-18,11073.669371206312
2009-06-19,11082.80941142568
2009-06-22,10768.839558731583
2009-06-23,10766.274333814155
2009-06-24,10770.63803268236
2009-06-25,10971.552027814587
2009-06-26,10962.583172824669
2009-06-29,11052.91417620875
2009-06-30,10943.539839729963
2009-07-01,10996.139998542507
2009-07-02,10713.941297342852
2009-07-06,10786.665299255646
2009-07-07,10588.955739428062
2009-07-08,10649.850606410966
2009-07-09,10671.839764384096
2009-07-10,10641.300534954093
2009-07-13,10898.638508540735
2009-07-14,10935.686238339635
2009-07-15,11296.36984533131
2009-07-16,11430.474617881688
2009-07-17,11478.736053142884
2009-07-20,11643.57709220782
2009-07-21,11724.374356426724
2009-07-22,11717.371851567455
2009-07-23,11970.6389269183
2009-07-24,12010.722012686441
2009-07-27,11990.684362119977
2009-07-28,11974.754728470341
2009-07-29,11955.759014272491
2009-07-30,12067.362442931972
2009-07-31,12052.201466649265
2009-08-03,12210.717986953268
2009-08-04,12257.824279287874
2009-08-05,12213.208288753543
2009-08-06,12194.439106617583
2009-08-07,12348.062037552341
2009-08-10,12283.650398214264
2009-08-11,12164.231142543584
2009-08-12,12354.856963966442
2009-08-13,12418.120283461649
2009-08-14,12297.948267940475
2009-08-17,12007.18400618976
2009-08-18,12128.509655334208
2009-08-19,12196.2948304801
2009-08-20,12310.397564157262
2009-08-21,12582.056486837655
2009-08-24,12565.016094072755
2009-08-25,12634.045928936488
2009-08-26,12654.124203836229
2009-08-27,12713.296036341766
2009-08-28,12684.855724465002
2009-08-31,12630.278790154682
2009-09-01,12366.452587556438
2009-09-02,12334.336862314616
2009-09-03,12426.826160937597
2009-09-04,12554.820227289758
2009-09-08,12673.34344639822
2009-09-09,12763.341082950657
2009-09-10,12916.13156193574
2009-09-11,12903.63144424176
2009-09-14,12948.11324108543
2009-09-15,12977.003385011867
2009-09-16,13175.59292995858
2009-09-17,13196.211311577286
2009-09-18,13215.99685481737
2009-09-21,13146.520738580924
2009-09-22,13194.950444713117
2009-09-23,13094.479130937514
2009-09-24,13014.344653838885
2009-09-25,12897.469405980073
2009-09-28,13115.16927850084
2009-09-29,13106.198368574253
2009-09-30,13105.554081916182
2009-10-01,12822.632670709098
2009-10-02,12802.751059676046
2009-10-05,12958.885583568675
2009-10-06,13133.003891747756
2009-10-07,13191.742816155536
2009-10-08,13283.62927880313
2009-10-09,13375.825033812198
2009-10-12,13402.783307112326
2009-10-13,13348.570554274927
2009-10-14,13532.013624756622
2009-10-15,13582.345072400252
2009-10-16,13482.35341664547
2009-10-19,13613.076861487261
2009-10-20,13571.209399456244
2009-10-21,13466.552953939427
2009-10-22,13629.359209530534
2009-10-23,13486.549524423115
2009-10-26,13355.31917896009
2009-10-27,13327.006259632284
2009-10-28,13097.702284293697
2009-10-29,13393.475763818908
2009-10-30,13019.93208577954
2009-11-02,13128.865634628903
2009-11-03,13119.612040769067
2009-11-04,13210.260130293538
2009-11-05,13513.520275780613
2009-11-06,13517.182968999174
2009-11-09,13829.336236856658
2009-11-10,13840.014446508692
2009-11-11,13912.119320636446
2009-11-12,13783.054094550494
2009-11-13,13918.56205457282
2009-11-16,14065.048886806564
2009-11-17,14064.422351149931
2009-11-18,14026.225839320557
2009-11-19,13865.072281087945
2009-11-20,13828.319491725179
2009-11-23,14029.207807584035
2009-11-24,14023.884386667738
2009-11-25,14060.320056090983
2009-11-27,13845.11005281631
2009-11-30,13896.921140462327
2009-12-01,14044.842243335179
2009-12-02,14002.67143068598
2009-12-03,13854.613110189459
2009-12-04,13934.344487458264
2009-12-07,13921.666125595848
2009-12-08,13786.353771003744
2009-12-09,13901.83672164778
2009-12-10,14017.151551086936
2009-12-11,14039.949057016374
2009-12-14,14155.561219328589
2009-12-15,14091.316619031915
2009-12-16,14100.365484776003
2009-12-17,13895.766250160119
2009-12-18,13996.123804341585
2009-12-21,14138.594784862837
2009-12-22,14208.464821785352
2009-12-23,14222.35414066297
2009-12-24,14296.198659899712
