Date,Portfolio_Value
2016-01-05,9992.576150286839
2016-01-06,9831.077335637608
2016-01-07,9646.25489993101
2016-01-08,9549.082877745104
2016-01-11,9568.906446982124
2016-01-12,9652.842054164907
2016-01-13,9422.515667735168
2016-01-14,9592.118564304077
2016-01-15,9376.806389623054
2016-01-19,9397.481561806748
2016-01-20,9334.71019140672
2016-01-21,9349.87514845826
2016-01-22,9254.34321197551
2016-01-25,9167.607698594364
2016-01-26,9291.664299348615
2016-01-27,9175.816500897106
2016-01-28,9170.007556654633
2016-01-29,9405.309871542093
2016-02-01,9448.663030832711
2016-02-02,9259.747074311474
2016-02-03,9330.655964145157
2016-02-04,9383.08171168059
2016-02-05,9269.558569688188
2016-02-08,9140.92109857304
2016-02-09,9137.209373587339
2016-02-10,9094.80096639079
2016-02-11,8947.594797261596
2016-02-12,9141.235362572746
2016-02-16,9251.104408737721
2016-02-17,9412.035072104174
2016-02-18,9386.076681441007
2016-02-19,9389.711014119304
2016-02-22,9508.527968800656
2016-02-23,9418.46733191065
2016-02-24,9424.849580635377
2016-02-25,9522.027605197449
2016-02-26,9491.987418639437
2016-02-29,9414.517513487135
2016-03-01,9634.37661003024
2016-03-02,9648.664804009222
2016-03-03,9689.752745386357
2016-03-04,9722.047856550942
2016-03-07,9791.590072971809
2016-03-08,9758.693156573512
2016-03-09,9749.050082680697
2016-03-10,9747.467269993294
2016-03-11,9881.061031015577
2016-03-14,9882.838372489128
2016-03-15,9884.647937777263
2016-03-16,9938.3530293037
2016-03-17,10010.296612450644
2016-03-18,10101.575377982528
2016-03-21,10128.089591533097
2016-03-22,10124.225545783924
2016-03-23,10067.025647673272
2016-03-24,10073.105377376753
2016-03-28,10075.704137670517
2016-03-29,10122.739636573957
2016-03-30,10150.293000423857
2016-03-31,10168.634738400227
2016-04-01,10231.608220765816
2016-04-04,10182.587466588366
2016-04-05,10094.663015830763
2016-04-06,10170.379986137183
2016-04-07,10043.838173416354
2016-04-08,10065.954750632329
2016-04-11,10058.565822379305
2016-04-12,10170.180232321254
2016-04-13,10294.192142902231
2016-04-14,10290.049822218636
2016-04-15,10277.14652498337
2016-04-18,10350.99457573292
2016-04-19,10406.490907248502
2016-04-20,10459.969526183964
2016-04-21,10417.404032487044
2016-04-22,10417.205767621641
2016-04-25,10402.072868739697
2016-04-26,10416.117485716373
2016-04-27,10444.504838196031
2016-04-28,10346.216588764582
2016-04-29,10272.211674835718
2016-05-02,10336.868970081154
2016-05-03,10241.39508440319
2016-05-04,10166.394981229165
2016-05-05,10173.123302512151
2016-05-06,10217.91178648347
2016-05-09,10203.813437531175
2016-05-10,10322.656573532937
2016-05-11,10204.544243840817
2016-05-12,10197.179575046739
2016-05-13,10108.281543142997
2016-05-16,10185.269920450384
2016-05-17,10039.034114400522
2016-05-18,10038.8539595478
2016-05-19,10028.459298425953
2016-05-20,10121.348916791863
2016-05-23,10093.78314777893
2016-05-24,10256.835589678907
2016-05-25,10347.87477655083
2016-05-26,10339.338621989804
2016-05-27,10375.182171340202
2016-05-31,10370.883780816832
2016-06-01,10381.324563077034
2016-06-02,10431.062653235158
2016-06-03,10393.579649197985
2016-06-06,10460.241593279934
2016-06-07,10460.233686517378
2016-06-08,10500.078380941102
2016-06-09,10465.687525944046
2016-06-10,10398.506402025341
2016-06-13,10298.089416161587
2016-06-14,10212.597582986775
2016-06-15,10194.228827447236
2016-06-16,10248.932585488334
2016-06-17,10214.716691801108
2016-06-20,10294.422517423598
2016-06-21,10303.465153521303
2016-06-22,10282.74495373006
2016-06-23,10441.234431387344
2016-06-24,10070.815098806217
2016-06-27,9880.907817272426
2016-06-28,10019.971499333911
2016-06-29,10212.611873083048
2016-06-30,10371.627164651421
2016-07-01,10384.892723174467
2016-07-05,10308.420844068729
2016-07-06,10365.203273271742
2016-07-07,10357.229307458358
2016-07-08,10544.618025491312
2016-07-11,10591.455103041866
2016-07-12,10660.428335143195
2016-07-13,10671.363395218945
2016-07-14,10743.478189673528
2016-07-15,10753.89997046413
2016-07-18,10752.998196682665
2016-07-19,10757.746435214172
2016-07-20,10808.829155744283
2016-07-21,10721.894607149065
2016-07-22,10776.848896963518
2016-07-25,10763.578455059984
2016-07-26,10784.759534606128
2016-07-27,10786.814263013763
2016-07-28,10789.160512696844
2016-07-29,10784.342921638425
2016-08-01,10783.872605064142
2016-08-02,10727.766310542567
2016-08-03,10747.504448529324
2016-08-04,10751.06255497645
2016-08-05,10865.847221464835
2016-08-08,10859.402971284087
2016-08-09,10845.948218686734
2016-08-10,10816.646697243212
2016-08-11,10890.356580714093
2016-08-12,10879.403532867274
2016-08-15,10913.288015866372
2016-08-16,10857.15195622156
2016-08-17,10884.979487667817
2016-08-18,10907.407438025508
2016-08-19,10880.200673272959
2016-08-22,10874.3769239788
2016-08-23,10883.372302198044
2016-08-24,10822.183946655989
2016-08-25,10786.30966094949
2016-08-26,10770.785132986135
2016-08-29,10835.148322528376
2016-08-30,10811.203234700753
2016-08-31,10792.877579632808
2016-09-01,10794.915132671273
2016-09-02,10826.070048825908
2016-09-06,10875.634786461264
2016-09-07,10865.871062178976
2016-09-08,10855.385939802172
2016-09-09,10618.95312820621
2016-09-12,10789.96595334666
2016-09-13,10621.850928282161
2016-09-14,10585.65239307458
2016-09-15,10696.90555966687
2016-09-16,10703.728714370587
2016-09-19,10694.342292477046
2016-09-20,10697.341060702021
2016-09-21,10795.552139858957
2016-09-22,10858.24849032457
2016-09-23,10773.52557986079
2016-09-26,10678.519248199218
2016-09-27,10754.671434496022
2016-09-28,10779.725963355875
2016-09-29,10650.884322058597
2016-09-30,10757.3827825088
2016-10-03,10717.574312449422
2016-10-04,10679.369844869352
2016-10-05,10732.00662483713
2016-10-06,10623.429113104188
2016-10-07,10591.225099315072
2016-10-10,10617.597146968916
2016-10-11,10464.590197790349
2016-10-12,10466.11786113416
2016-10-13,10449.426352286337
2016-10-14,10454.295600613046
2016-10-17,10432.904766727133
2016-10-18,10514.2750757312
2016-10-19,10523.41180345897
2016-10-20,10656.75728857215
2016-10-21,10644.614283719904
