Date,Portfolio_Value
2016-01-05,10083.112185749407
2016-01-06,9992.639840118964
2016-01-07,9876.380562228467
2016-01-08,9780.561145478012
2016-01-11,9834.048296958548
2016-01-12,9866.272846180815
2016-01-13,9709.858653421647
2016-01-14,9839.845917995766
2016-01-15,9689.05616237264
2016-01-19,9758.909045276827
2016-01-20,9574.291581575422
2016-01-21,9664.389133599394
2016-01-22,9759.574011424698
2016-01-25,9734.958864452861
2016-01-26,9926.32571872962
2016-01-27,9926.76903194717
2016-01-28,9978.695448592682
2016-01-29,10195.935777998347
2016-02-01,10216.833441843533
2016-02-02,10113.010097744647
2016-02-03,10170.567669245153
2016-02-04,10156.455432279578
2016-02-05,10115.915802542422
2016-02-08,10125.414966097795
2016-02-09,10113.132089072833
2016-02-10,10040.706897426358
2016-02-11,9926.425977248064
2016-02-12,10083.053996493556
2016-02-16,10147.60786441877
2016-02-17,10233.606400682404
2016-02-18,10260.915877870877
2016-02-19,10254.418629509835
2016-02-22,10336.883579424473
2016-02-23,10279.170503684569
2016-02-24,10320.909556899369
2016-02-25,10423.534773194544
2016-02-26,10302.12485348878
2016-02-29,10244.108044588545
2016-03-01,10420.240442105853
2016-03-02,10468.457543429267
2016-03-03,10455.442177770363
2016-03-04,10488.47715810141
2016-03-07,10541.362217853737
2016-03-08,10551.79272823942
2016-03-09,10581.096348241424
2016-03-10,10598.697276537932
2016-03-11,10664.000846610897
2016-03-14,10665.711541581953
2016-03-15,10688.598299914564
2016-03-16,10705.384735605296
2016-03-17,10755.774020047818
2016-03-18,10781.998512121534
2016-03-21,10823.739424563175
2016-03-22,10808.616338213724
2016-03-23,10786.127298541329
2016-03-24,10817.372783370336
2016-03-28,10834.32755860286
2016-03-29,10886.691842518663
2016-03-30,10930.73429708787
2016-03-31,10916.675926847449
2016-04-01,11008.87374514221
2016-04-04,11018.956017378263
2016-04-05,10962.278362356672
2016-04-06,11008.820004928892
2016-04-07,10924.172213493675
2016-04-08,10944.074028415791
2016-04-11,10889.160441950893
2016-04-12,10953.726290864053
2016-04-13,10957.641870783722
2016-04-14,10948.2913790256
2016-04-15,10978.581249418492
2016-04-18,11042.045079132853
2016-04-19,11028.889784716906
2016-04-20,10945.172288581241
2016-04-21,10802.12746177921
2016-04-22,10853.447480041119
2016-04-25,10884.503051670836
2016-04-26,10822.7276631952
2016-04-27,10884.616761558502
2016-04-28,10808.981101232821
2016-04-29,10752.6848235935
2016-05-02,10829.107652021286
2016-05-03,10784.781800780302
2016-05-04,10789.120354664112
2016-05-05,10809.719856925594
2016-05-06,10859.749708173775
2016-05-09,10891.167688354693
2016-05-10,10987.721027375
2016-05-11,10885.609973329183
2016-05-12,10923.203619725395
2016-05-13,10811.908843019966
2016-05-16,10894.943502721555
2016-05-17,10770.221837585173
2016-05-18,10699.996615972017
2016-05-19,10730.537432059009
2016-05-20,10749.20188838803
2016-05-23,10728.078447064467
2016-05-24,10844.753218753205
2016-05-25,10915.091548201155
2016-05-26,10927.67644566106
2016-05-27,10948.024641729904
2016-05-31,10928.851085024251
2016-06-01,10928.78889819257
2016-06-02,10967.83744679136
2016-06-03,10980.864013339493
2016-06-06,11024.144376004488
2016-06-07,11046.793596376763
2016-06-08,11075.046279440705
2016-06-09,11090.09296676906
2016-06-10,11079.447357496192
2016-06-13,11003.25386932323
2016-06-14,11025.77883624201
2016-06-15,10998.34062676272
2016-06-16,11085.240096034759
2016-06-17,11017.7334624586
2016-06-20,11082.603404646892
2016-06-21,11100.675168269707
2016-06-22,11081.488420113697
2016-06-23,11196.813728910429
2016-06-24,10944.188225295773
2016-06-27,10852.5939529681
2016-06-28,10991.543064315576
2016-06-29,11144.374174875496
2016-06-30,11308.040385420367
2016-07-01,11321.018324613771
2016-07-05,11356.467928235592
2016-07-06,11379.972428950767
2016-07-07,11332.575782379852
2016-07-08,11419.52141378429
2016-07-11,11447.655140595085
2016-07-12,11453.255901956622
2016-07-13,11487.279432299014
2016-07-14,11532.179894757954
2016-07-15,11525.645468480674
2016-07-18,11506.877713434487
2016-07-19,11535.924052567994
2016-07-20,11533.039744680817
2016-07-21,11514.906551713328
2016-07-22,11572.677811917056
2016-07-25,11553.33397919264
2016-07-26,11438.862258649646
2016-07-27,11364.849139113563
2016-07-28,11365.162497086583
2016-07-29,11360.67100686209
2016-08-01,11377.031835944905
2016-08-02,11345.35378030435
2016-08-03,11319.220369695611
2016-08-04,11335.619608283338
2016-08-05,11487.737423864923
2016-08-08,11432.131021709736
2016-08-09,11429.196778783817
2016-08-10,11458.955290217333
2016-08-11,11522.270910774821
2016-08-12,11505.182913651226
2016-08-15,11481.805214777945
2016-08-16,11381.146315025333
2016-08-17,11413.635129534514
2016-08-18,11442.899584210825
2016-08-19,11361.326319403825
2016-08-22,11342.377533961755
2016-08-23,11347.150683048327
2016-08-24,11316.498278088884
2016-08-25,11309.469816749564
2016-08-26,11275.700993656095
2016-08-29,11354.613251154828
2016-08-30,11315.879695122017
2016-08-31,11317.280670049104
2016-09-01,11358.224877263376
2016-09-02,11384.52386869432
2016-09-06,11445.582392404505
2016-09-07,11409.887888640147
2016-09-08,11365.976301188342
2016-09-09,11132.092898303072
2016-09-12,11303.572894115137
2016-09-13,11138.556927335007
2016-09-14,11113.024267070672
2016-09-15,11222.235662540157
2016-09-16,11182.222081652591
2016-09-19,11157.469039500987
2016-09-20,11191.627231796298
2016-09-21,11262.247533769185
2016-09-22,11329.269259414237
2016-09-23,11267.051316053392
2016-09-26,11169.63992221893
2016-09-27,11260.450492851904
2016-09-28,11268.63158517196
2016-09-29,11159.482619566556
2016-09-30,11245.438356525721
2016-10-03,11190.044794837508
2016-10-04,11115.174455028433
2016-10-05,11123.21877031598
2016-10-06,11082.15814500511
2016-10-07,11078.951508128086
2016-10-10,11113.493553057306
2016-10-11,10985.331020980273
2016-10-12,11019.961916457818
2016-10-13,11047.419332070927
2016-10-14,11032.498335496175
2016-10-17,11004.768210598071
2016-10-18,10958.4592261
2016-10-19,10941.417493648147
2016-10-20,10836.187122025623
2016-10-21,10786.272429770088
2016-10-24,10823.463549396623
2016-10-25,10840.837990565711
2016-10-26,10829.847591379146
2016-10-27,10852.053209822865
2016-10-28,10805.546004284344
2016-10-31,10817.998151476982
2016-11-01,10759.398651981382
2016-11-02,10728.34112615327
2016-11-03,10726.098647983328
2016-11-04,10685.056925983954
2016-11-07,10846.471460271692
2016-11-08,10929.00567183198
2016-11-09,11007.27520204656
2016-11-10,11005.191900235417
2016-11-11,11002.51077966993
2016-11-14,10970.093907594486
2016-11-15,11040.344454694005
2016-11-16,11018.700263149996
2016-11-17,10989.4996194816
2016-11-18,10955.388943163704
2016-11-21,11001.688546425237
2016-11-22,11019.186279965184
2016-11-23,11049.466473106486
2016-11-25,11131.766156812915
2016-11-28,11141.930638642423
2016-11-29,11106.999200295128
2016-11-30,10980.48480749143
2016-12-01,10965.78683728529
2016-12-02,10992.787794909787
2016-12-05,10981.269248337001
2016-12-06,11014.027409408835
2016-12-07,11137.9224189845
2016-12-08,11122.432872903368
2016-12-09,11238.085630987829
2016-12-12,11337.972780345804
2016-12-13,11384.17662248011
2016-12-14,11305.37499928582
2016-12-15,11326.81714318893
2016-12-16,11361.57416729936
2016-12-19,11364.606208222145
2016-12-20,11374.334670557386
2016-12-21,11328.611969592796
2016-12-22,11326.93016196003
2016-12-23,11328.877798573738
2016-12-27,11332.055206355757
2016-12-28,11276.200595054175
2016-12-29,11298.461469317455
2016-12-30,11263.429376722515
2017-01-03,11294.19269746081
2017-01-04,11305.576153272683
2017-01-05,11308.601921016763
2017-01-06,11279.753136095162
2017-01-09,11239.810975683247
2017-01-10,11169.387291385092
2017-01-11,11223.488831237835
2017-01-12,11228.223363156188
2017-01-13,11207.057156048413
2017-01-17,11263.471864517278
2017-01-18,11249.261454313719
2017-01-19,11207.238743946697
2017-01-20,11314.27476307812
2017-01-23,11275.32057222632
2017-01-24,11232.510508104553
2017-01-25,11256.1417228542
2017-01-26,11224.005157294192
2017-01-27,11238.794238091703
2017-01-30,11210.075689824493
