Date,Portfolio_Value
2016-01-05,10006.923717690235
2016-01-06,9871.858199678087
2016-01-07,9671.046533662651
2016-01-08,9571.807351226073
2016-01-11,9609.690861681891
2016-01-12,9690.061157296996
2016-01-13,9474.418164145618
2016-01-14,9622.57451187211
2016-01-15,9403.911656991784
2016-01-19,9439.240553484018
2016-01-20,9329.371117725517
2016-01-21,9385.678094479948
2016-01-22,9528.087436392585
2016-01-25,9425.280233714879
2016-01-26,9573.272258195004
2016-01-27,9466.114614523134
2016-01-28,9511.278612839256
2016-01-29,9781.494055293013
2016-02-01,9791.129238556963
2016-02-02,9602.496869771932
2016-02-03,9673.934769613817
2016-02-04,9699.70551966556
2016-02-05,9553.67553506184
2016-02-08,9467.582527717097
2016-02-09,9475.333626725882
2016-02-10,9451.217555836814
2016-02-11,9368.792791710894
2016-02-12,9550.459909735799
2016-02-16,9668.3073524293
2016-02-17,9828.485134147735
2016-02-18,9791.529881318627
2016-02-19,9796.173297213389
2016-02-22,9908.546048266577
2016-02-23,9803.845913956855
2016-02-24,9831.497431093301
2016-02-25,9964.908150415684
2016-02-26,9913.606110421253
2016-02-29,9831.629619883583
2016-03-01,10067.713583373676
2016-03-02,10089.717727843097
2016-03-03,10117.150944573785
2016-03-04,10141.834518020594
2016-03-07,10171.729779891662
2016-03-08,10129.471578005841
2016-03-09,10174.407301596892
2016-03-10,10171.600396655818
2016-03-11,10291.344528162308
2016-03-14,10298.496999546793
2016-03-15,10314.273985533242
2016-03-16,10371.25219596198
2016-03-17,10454.175000724785
2016-03-18,10513.222455989775
2016-03-21,10535.555178291579
2016-03-22,10526.617923870252
2016-03-23,10461.228077176746
2016-03-24,10479.414014371376
2016-03-28,10480.518965392535
2016-03-29,10550.253995683912
2016-03-30,10612.557118675968
2016-03-31,10600.953033862677
2016-04-01,10692.563605709463
2016-04-04,10656.502321617412
2016-04-05,10560.195092032716
2016-04-06,10645.813348569796
2016-04-07,10530.457045214273
2016-04-08,10546.093008041493
2016-04-11,10515.241111936655
2016-04-12,10608.497466476978
2016-04-13,10718.284964339866
2016-04-14,10724.030161854602
2016-04-15,10711.848900227911
2016-04-18,10786.409884367951
2016-04-19,10820.602719047254
2016-04-20,10823.38847188523
2016-04-21,10763.117868202378
2016-04-22,10752.061175586221
2016-04-25,10739.727489207922
2016-04-26,10748.311212874729
2016-04-27,10780.859988898563
2016-04-28,10664.808529086484
2016-04-29,10612.296362319226
2016-05-02,10693.004310155891
2016-05-03,10605.730710632839
2016-05-04,10547.086524658265
2016-05-05,10548.902876292477
2016-05-06,10587.824594780852
2016-05-09,10584.211883456775
2016-05-10,10707.02147540929
2016-05-11,10585.260244940064
2016-05-12,10595.255897392906
2016-05-13,10495.667544735454
2016-05-16,10596.931516770781
2016-05-17,10476.617847196574
2016-05-18,10475.987047330365
2016-05-19,10480.338103902293
2016-05-20,10528.765020973955
2016-05-23,10510.779366057764
2016-05-24,10653.688061119456
2016-05-25,10744.454735107256
2016-05-26,10734.99822382547
2016-05-27,10767.234083371115
2016-05-31,10743.42138206599
2016-06-01,10742.30948106184
2016-06-02,10784.893847459636
2016-06-03,10770.966269556802
2016-06-06,10832.698560174884
2016-06-07,10846.467894913196
2016-06-08,10891.514820118204
2016-06-09,10880.80264800037
2016-06-10,10837.247395429775
2016-06-13,10760.543454890065
2016-06-14,10738.722901793706
2016-06-15,10713.769476257921
2016-06-16,10765.76489473044
2016-06-17,10723.743628861615
2016-06-20,10792.077235571891
2016-06-21,10813.040599072427
2016-06-22,10786.518923026977
2016-06-23,10932.190146132058
2016-06-24,10577.539715452582
2016-06-27,10424.964356896544
2016-06-28,10585.286645536738
2016-06-29,10763.03582274565
2016-06-30,10895.095413006557
2016-07-01,10911.63757239853
2016-07-05,10870.780341069121
2016-07-06,10918.09475152508
2016-07-07,10892.859403582424
2016-07-08,11058.566631745112
2016-07-11,11098.140564282483
2016-07-12,11157.45779177038
2016-07-13,11170.574214386124
2016-07-14,11237.538184827328
2016-07-15,11237.420894131665
2016-07-18,11234.992474688564
2016-07-19,11248.136331090216
2016-07-20,11294.4210941882
2016-07-21,11241.368039480418
2016-07-22,11279.593926093557
2016-07-25,11245.280124490862
2016-07-26,11237.287276495832
2016-07-27,11232.44004743522
2016-07-28,11229.813016328166
2016-07-29,11231.717217364516
2016-08-01,11225.269833376839
2016-08-02,11175.498784656174
2016-08-03,11195.644997049649
2016-08-04,11202.88209273349
2016-08-05,11340.334692966606
