Date,Portfolio_Value
2016-03-31,10007.712404857895
2016-04-01,10079.620111981296
2016-04-04,10053.097751426307
2016-04-05,9991.136997623194
2016-04-06,10103.061918183304
2016-04-07,9952.823821128402
2016-04-08,9983.65591425315
2016-04-11,10007.433350479872
2016-04-12,10155.07411699638
2016-04-13,10359.796276042267
2016-04-14,10366.672495959308
2016-04-15,10320.499177237427
2016-04-18,10326.459706067442
2016-04-19,10393.773159635371
2016-04-20,10404.063559441798
2016-04-21,10395.268679179933
2016-04-22,10380.988049374879
2016-04-25,10320.080689307046
2016-04-26,10376.16997503754
2016-04-27,10311.007650342013
2016-04-28,10171.519135890923
2016-04-29,10106.049157398362
2016-05-02,10111.701035441722
2016-05-03,10024.433903590052
2016-05-04,9877.639946251487
2016-05-05,9827.535348177613
2016-05-06,9854.160304937708
2016-05-09,9781.549328851672
2016-05-10,9930.780290739898
2016-05-11,9837.574184758223
2016-05-12,9768.648999243047
2016-05-13,9680.989151126361
2016-05-16,9810.052012342476
2016-05-17,9707.937126939956
2016-05-18,9727.417420135016
2016-05-19,9593.070494213802
2016-05-20,9671.239735320372
2016-05-23,9692.0564329006
2016-05-24,9822.810221207917
2016-05-25,9969.167577377862
2016-05-26,9975.780693132254
2016-05-27,9994.01155721791
2016-05-31,9974.793438766403
2016-06-01,9950.147009246537
2016-06-02,10017.303348404734
2016-06-03,10032.141309612452
2016-06-06,10181.175719877352
2016-06-07,10182.21967218483
2016-06-08,10231.38078215395
2016-06-09,10189.930348449456
2016-06-10,10064.353978102847
2016-06-13,9931.717489809073
2016-06-14,9850.983340780955
2016-06-15,9842.162518292585
2016-06-16,9857.954122796724
2016-06-17,9807.735243539644
2016-06-20,9887.646456495298
2016-06-21,9871.256341260398
2016-06-22,9860.426956930112
2016-06-23,10018.371490406766
2016-06-24,9756.8658626264
2016-06-27,9660.996416165817
2016-06-28,9782.871261772161
2016-06-29,9949.398293411554
2016-06-30,10048.867610060093
2016-07-01,10052.967692588221
2016-07-05,10040.873831692166
2016-07-06,10113.991034827075
2016-07-07,10053.513173130703
2016-07-08,10173.241462167773
2016-07-11,10191.949840618225
2016-07-12,10227.657067808197
2016-07-13,10233.495320381924
2016-07-14,10237.416396266723
2016-07-15,10243.177365155985
2016-07-18,10203.940916321242
2016-07-19,10245.678742931865
2016-07-20,10265.294704694257
2016-07-21,10248.419035439827
2016-07-22,10285.839890245552
2016-07-25,10186.984555715428
2016-07-26,10165.468091661109
2016-07-27,10152.587250831346
2016-07-28,10168.476468101486
2016-07-29,10196.025636727934
2016-08-01,10116.705153043422
2016-08-02,10088.46777129027
2016-08-03,10063.915663355714
2016-08-04,10066.858064917484
2016-08-05,10308.1882111033
2016-08-08,10263.811568306222
2016-08-09,10246.286458534576
2016-08-10,10207.79448345225
2016-08-11,10310.400684781242
2016-08-12,10315.02932205845
2016-08-15,10224.452887892247
2016-08-16,10146.650971499179
2016-08-17,10129.688251517706
2016-08-18,10179.31644614996
