Date,Portfolio_Value
2016-01-05,10002.852453173022
2016-01-06,9864.456833180573
2016-01-07,9653.985535355105
2016-01-08,9555.311416061144
2016-01-11,9588.652980167923
2016-01-12,9670.058451637962
2016-01-13,9451.733075028043
2016-01-14,9597.264541580857
2016-01-15,9368.04281093015
2016-01-19,9396.63347751424
2016-01-20,9278.310503901983
2016-01-21,9329.183384118247
2016-01-22,9454.972867441616
2016-01-25,9340.799838408971
2016-01-26,9484.865157106016
2016-01-27,9356.637720284134
2016-01-28,9391.594329523652
2016-01-29,9656.539282142623
2016-02-01,9663.083758752631
2016-02-02,9456.434832150735
2016-02-03,9531.042323236463
2016-02-04,9565.5917363321
2016-02-05,9384.728480924514
2016-02-08,9255.837950623345
2016-02-09,9276.604198354464
2016-02-10,9250.4386283693
2016-02-11,9152.348247588188
2016-02-12,9333.632252895146
2016-02-16,9455.5923001577
2016-02-17,9625.136484946124
2016-02-18,9580.981455488389
2016-02-19,9581.044084739226
2016-02-22,9697.9620482529
2016-02-23,9583.300565114141
2016-02-24,9606.426859413643
2016-02-25,9742.094489337462
2016-02-26,9702.170937652432
2016-02-29,9619.895333663468
2016-03-01,9858.725737872075
2016-03-02,9878.204653097764
2016-03-03,9905.219494295856
2016-03-04,9928.928134296979
2016-03-07,9950.164855221712
2016-03-08,9903.301191443392
2016-03-09,9939.701815112057
2016-03-10,9935.759172774899
2016-03-11,10058.753791254056
2016-03-14,10066.611111539649
2016-03-15,10078.131244865695
2016-03-16,10130.26509438018
2016-03-17,10209.841865082408
2016-03-18,10275.508933585876
2016-03-21,10293.617292785106
2016-03-22,10282.956333091792
2016-03-23,10218.461410650649
2016-03-24,10230.398410545997
2016-03-28,10229.170376130054
2016-03-29,10296.871383666261
2016-03-30,10357.167729996252
2016-03-31,10344.6511344566
2016-04-01,10434.737825959674
2016-04-04,10393.766516001953
2016-04-05,10297.598396167396
2016-04-06,10380.861997841657
2016-04-07,10260.087771688197
2016-04-08,10275.227661737845
2016-04-11,10248.817768693392
2016-04-12,10340.916069050087
2016-04-13,10454.761677857587
2016-04-14,10460.24741760795
2016-04-15,10444.071355211141
2016-04-18,10515.571925472392
2016-04-19,10548.480408752715
2016-04-20,10550.749940388117
2016-04-21,10488.879657143709
2016-04-22,10470.396819708438
2016-04-25,10457.567768255383
2016-04-26,10464.447002294264
2016-04-27,10484.18827282134
2016-04-28,10364.596228986718
2016-04-29,10311.295509451533
2016-05-02,10390.878161534365
2016-05-03,10306.29672882672
2016-05-04,10243.96479326176
2016-05-05,10240.356425766176
2016-05-06,10273.667026692236
2016-05-09,10267.846563802043
2016-05-10,10389.919486078983
2016-05-11,10269.791884015345
2016-05-12,10272.122995011556
2016-05-13,10178.581559038192
2016-05-16,10277.354979244023
2016-05-17,10158.372540199054
2016-05-18,10163.23550126604
2016-05-19,10148.346372945703
2016-05-20,10197.038864246942
2016-05-23,10179.633045491908
2016-05-24,10320.323240046178
2016-05-25,10406.934220205969
2016-05-26,10396.581163010107
2016-05-27,10428.09731141262
2016-05-31,10401.244869243174
2016-06-01,10399.447479081398
2016-06-02,10434.768083232471
2016-06-03,10411.078306591651
2016-06-06,10471.614222258835
2016-06-07,10478.48570959481
2016-06-08,10516.28887631416
2016-06-09,10506.136590581433
2016-06-10,10463.061174837503
2016-06-13,10386.085911956014
2016-06-14,10352.493832298278
2016-06-15,10328.57587473089
2016-06-16,10373.10109814363
2016-06-17,10329.62929794465
2016-06-20,10396.128983779397
2016-06-21,10418.462953895712
2016-06-22,10392.102923922726
2016-06-23,10531.154509101227
2016-06-24,10163.455626468703
2016-06-27,9996.227926666104
2016-06-28,10158.44866967082
2016-06-29,10337.969075570029
2016-06-30,10461.820829752904
2016-07-01,10477.8504984948
2016-07-05,10422.013665806286
2016-07-06,10467.414799080008
2016-07-07,10454.23573401558
2016-07-08,10620.831997864585
2016-07-11,10663.701543448971
2016-07-12,10726.996515435532
2016-07-13,10735.893420704637
2016-07-14,10810.073496252546
2016-07-15,10806.248149789793
2016-07-18,10810.00630324938
2016-07-19,10816.51002083733
2016-07-20,10860.68913451491
2016-07-21,10802.700978608495
2016-07-22,10837.087051122595
2016-07-25,10806.623367264117
2016-07-26,10790.848772818896
2016-07-27,10782.34273596146
2016-07-28,10779.843885359998
2016-07-29,10776.214792541743
2016-08-01,10769.080093005097
2016-08-02,10717.686342569797
2016-08-03,10742.545775929811
2016-08-04,10748.184802404503
2016-08-05,10874.621012224352
2016-08-08,10862.050758963804
2016-08-09,10860.921927218707
2016-08-10,10844.012885892495
2016-08-11,10916.692519634478
2016-08-12,10903.157393442756
2016-08-15,10929.665594589917
2016-08-16,10873.831180977148
2016-08-17,10874.9738070425
2016-08-18,10883.931928898048
2016-08-19,10870.415670992137
2016-08-22,10863.640671976982
2016-08-23,10883.487758929581
2016-08-24,10839.6229638094
2016-08-25,10828.159121992547
2016-08-26,10804.232428066889
2016-08-29,10859.284405660725
2016-08-30,10833.039761231294
2016-08-31,10811.549549271782
2016-09-01,10812.959605527425
2016-09-02,10846.157511755919
2016-09-06,10877.658457738957
2016-09-07,10873.275308141974
2016-09-08,10847.156468415022
2016-09-09,10623.46425248705
2016-09-12,10777.423111836468
2016-09-13,10627.136549783383
2016-09-14,10622.25886834232
2016-09-15,10731.520994222657
2016-09-16,10701.235587451487
2016-09-19,10683.115837698275
2016-09-20,10699.015680796516
2016-09-21,10789.509901738133
2016-09-22,10859.673130594463
2016-09-23,10766.11269271517
2016-09-26,10665.859271103078
