Date,Portfolio_Value
2016-01-05,9749.406793745997
2016-01-06,9558.613992099758
2016-01-07,9155.196805430884
2016-01-08,9203.607070605756
2016-01-11,9352.634096477985
2016-01-12,9488.37214354849
2016-01-13,9244.423426695348
2016-01-14,9446.606367774477
2016-01-15,9219.743584265701
2016-01-19,9175.130997828499
2016-01-20,9187.470556945807
2016-01-21,9140.959131139769
2016-01-22,9626.957725477214
2016-01-25,9439.013182884228
2016-01-26,9491.219678406711
2016-01-27,8867.584197629925
2016-01-28,8931.181556780328
2016-01-29,9239.677052468289
2016-02-01,9153.298690257076
2016-02-02,8968.20168252231
2016-02-03,9145.704781171795
2016-02-04,9169.435203917023
2016-02-05,8924.537067379464
2016-02-08,9018.510062870988
2016-02-09,9016.611223502152
2016-02-10,8948.26749012469
2016-02-11,8894.16215523337
2016-02-12,8921.689532521239
2016-02-16,9173.232158459661
2016-02-17,9313.716579757223
2016-02-18,9137.162176597127
2016-02-19,9116.27928871012
2016-02-22,9196.013161520472
2016-02-23,8988.135150724896
2016-02-24,9121.974358426565
2016-02-25,9184.623022087582
2016-02-26,9198.861420573725
2016-02-29,9177.978532686719
2016-03-01,9542.477478439803
2016-03-02,9563.360366326808
2016-03-03,9634.551634562491
2016-03-04,9777.883590718275
2016-03-07,9669.672920935638
2016-03-08,9589.938323930257
2016-03-09,9598.481652699955
2016-03-10,9603.227302731982
2016-03-11,9706.692322482593
2016-03-14,9731.371440717208
2016-03-15,9926.910616590505
2016-03-16,10058.85170911837
2016-03-17,10042.715195458422
2016-03-18,10054.105334891312
2016-03-21,10053.156639401925
2016-03-22,10130.042977354053
2016-03-23,10074.0388030939
2016-03-24,10030.374912146084
2016-03-28,9984.812906024465
2016-03-29,10221.167713792325
2016-03-30,10399.620232126228
2016-03-31,10345.514897234909
2016-04-01,10440.436588215822
2016-04-04,10547.698562509071
2016-04-05,10423.350654871458
2016-04-06,10532.510744338511
2016-04-07,10302.800425971513
2016-04-08,10314.191289599434
2016-04-11,10348.362432093132
2016-04-12,10483.151783674248
2016-04-13,10635.0263444047
2016-04-14,10640.721414121146
2016-04-15,10427.147609414096
2016-04-18,10202.183665274155
2016-04-19,10148.078330382838
2016-04-20,10168.960494074812
2016-04-21,10058.851709118371
2016-04-22,10031.324331830503
2016-04-25,9974.371462080962
2016-04-26,9905.078309019083
2016-04-27,9285.239782784938
2016-04-28,9001.424129526622
2016-04-29,8897.959109776013
2016-05-02,8888.467085516928
2016-05-03,9034.646576530935
2016-05-04,8940.67430523444
2016-05-05,8850.498264285558
2016-05-06,8801.139303621298
2016-05-09,8807.78379302216
2016-05-10,8867.584197629923
2016-05-11,8781.20583541871
2016-05-12,8575.22521560191
2016-05-13,8592.311148946274
2016-05-16,8911.248088577737
2016-05-17,8874.228687030783
2016-05-18,8975.794867412556
2016-05-19,8941.623000723826
2016-05-20,9038.443531073573
2016-05-23,9153.298690257074
2016-05-24,9292.833691870219
2016-05-25,9456.09911622859
2016-05-26,9531.087339006912
2016-05-27,9525.391545095437
2016-05-31,9478.880119289399
2016-06-01,9345.989607077117
2016-06-02,9275.747758525851
2016-06-03,9294.731807044021
2016-06-06,9362.126120737064
2016-06-07,9400.094941968435
2016-06-08,9391.552337393767
2016-06-09,9458.94665108681
2016-06-10,9381.110893450264
2016-06-13,9239.677052468285
