Date,Portfolio_Value
2016-01-05,9749.406793745997
2016-01-06,9847.024989427722
2016-01-07,10076.349814788913
2016-01-08,9845.475756962393
2016-01-11,9950.841297139765
2016-01-12,9857.871389938527
2016-01-13,9594.4575394951
2016-01-14,9771.100185852103
2016-01-15,9596.007363044928
2016-01-19,9693.625558726653
2016-01-20,9427.112652268068
2016-01-21,9588.260018549281
2016-01-22,9713.768536198431
2016-01-25,9711.703093291982
2016-01-26,9795.886375051516
2016-01-27,9954.244497635373
2016-01-28,9950.183933662276
2016-01-29,10145.087132004008
2016-02-01,10305.47514933772
2016-02-02,10132.905440084718
2016-02-03,10043.487935519968
2016-02-04,10005.790405781083
2016-02-05,10112.931709509014
2016-02-08,10067.29761870759
2016-02-09,9950.235992087544
2016-02-10,9916.505986007807
2016-02-11,9799.444359387762
2016-02-12,9942.299431025003
2016-02-16,9968.0928760422
2016-02-17,9983.965241295158
2016-02-18,10106.978910276048
2016-02-19,10091.106545023087
2016-02-22,10132.772355293242
2016-02-23,10045.472454221663
2016-02-24,10083.169983960548
2016-02-25,10140.708916355785
2016-02-26,10122.85203240113
2016-02-29,10065.313100005895
2016-03-01,10210.151933472709
2016-03-02,10341.10216351614
2016-03-03,10295.468072714713
2016-03-04,10279.595707461753
2016-03-07,10358.959047470793
2016-03-08,10408.561418803489
2016-03-09,10384.752492487989
2016-03-10,10380.78421195672
2016-03-11,10422.450022226874
2016-03-14,10424.43454092857
2016-03-15,10450.227229073646
2016-03-16,10557.368532801576
2016-03-17,10640.70091021401
2016-03-18,10563.321332034544
2016-03-21,10603.002623603003
2016-03-22,10557.368532801578
2016-03-23,10497.845838576768
2016-03-24,10626.812306790624
2016-03-28,10595.066819412585
2016-03-29,10724.03253075432
2016-03-30,10722.048768924746
2016-03-31,10729.985329987287
2016-04-01,10716.09596969178
2016-04-04,10797.443828402516
2016-04-05,10731.969091816862
2016-04-06,10618.875745728086
2016-04-07,10317.293237200643
2016-04-08,10284.581148772975
2016-04-11,10172.235267555838
2016-04-12,10260.163978413895
2016-04-13,10294.358270031014
2016-04-14,10283.951483730018
2016-04-15,10299.562159451723
2016-04-18,10309.96993829314
2016-04-19,10458.27731289185
2016-04-20,10373.715846751078
2016-04-21,10233.214802553637
2016-04-22,10188.982238747829
