Date,Best_Stock,Allocation,Capital
2017-12-04,AAPL,100,9926.921953949233
2017-12-05,DIS,100,9656.72810952879
2017-12-06,DIS,100,9498.214195070022
2017-12-07,BA,100,9624.507039624777
2017-12-08,BA,100,9758.649827900063
2017-12-11,BA,100,9665.125498414372
2017-12-12,BA,100,9896.547797586243
2017-12-13,BA,100,9961.4004576309
2017-12-14,BA,100,10031.032250078662
2017-12-15,BA,100,10033.08015206308
2017-12-18,BA,100,10108.173363689019
2017-12-19,BA,100,10146.060592059926
2017-12-20,BA,100,10168.246891330571
2017-12-21,BA,100,10070.285093658913
2017-12-22,CAT,100,10142.569254577786
2017-12-26,CAT,100,10187.502786184788
2017-12-27,CAT,100,10257.833401700314
2017-12-28,CAT,100,10316.441751130747
2017-12-29,CAT,100,10261.740492507008
2018-01-02,CAT,100,10226.574687916742
2018-01-03,CAT,100,10242.204044808528
2018-01-04,CAT,100,10382.865275839578
2018-01-05,CAT,100,10546.970045375803
2018-01-08,CAT,100,10812.011306301663
2018-01-09,CAT,100,10838.059240789633
2018-01-10,CAT,100,10801.591735040474
2018-01-11,BA,100,11066.689937195371
2018-01-12,BA,100,11339.54585087569
2018-01-16,BA,100,11304.132314622055
2018-01-17,BA,100,11838.714496935008
2018-01-18,BA,100,11472.77016208458
2018-01-19,BA,100,11390.81241524589
2018-01-22,BA,100,11399.918488466721
2018-01-23,BA,100,11318.634922475736
2018-01-24,BA,100,11288.280315789229
2018-01-25,BA,100,11572.265874517228
2018-01-26,BA,100,11575.976442388948
2018-01-29,BA,100,11495.030481463682
2018-01-30,BA,100,11390.137205114448
2018-01-31,BA,100,11952.038636373632
