Date,Portfolio_Value
2016-01-05,10002.866503109635
2016-01-06,9864.481895860663
2016-01-07,9654.041493925883
2016-01-08,9555.366186283467
2016-01-11,9588.723137959016
2016-01-12,9670.125770006074
2016-01-13,9451.808441091089
2016-01-14,9597.350103984374
2016-01-15,9368.1602590127
2016-01-19,9396.772060137411
2016-01-20,9278.477827038541
2016-01-21,9329.36780440758
2016-01-22,9455.21798256924
2016-01-25,9341.078554823525
2016-01-26,9485.158798796096
2016-01-27,9356.99755790445
2016-01-28,9391.991519822428
2016-01-29,9656.95496083172
2016-02-01,9663.507688204043
2016-02-02,9456.914961124725
2016-02-03,9531.514963728465
2016-02-04,9566.036913740058
2016-02-05,9385.28474224992
2016-02-08,9256.528949812933
2016-02-09,9277.254483174585
2016-02-10,9251.096078382854
2016-02-11,9153.05766957598
2016-02-12,9334.345729528595
2016-02-16,9456.294190553208
2016-02-17,9625.808628133229
2016-02-18,9581.674284132205
2016-02-19,9581.75154893069
2016-02-22,9698.653789300615
2016-02-23,9584.020816777273
2016-02-24,9607.16335265876
2016-02-25,9742.82258146297
2016-02-26,9702.861252898605
2016-02-29,9620.585398117399
2016-03-01,9859.407042445053
2016-03-02,9878.895009859189
2016-03-03,9905.910717188613
2016-03-04,9929.62205107669
2016-03-07,9950.887297862571
2016-03-08,9904.037895679749
2016-03-09,9940.470662450542
2016-03-10,9936.531371736251
2016-03-11,10059.513756157423
2016-03-14,10067.366842387646
2016-03-15,10078.903133531241
2016-03-16,10131.05469298381
2016-03-17,10210.642089771443
2016-03-18,10276.279412669686
2016-03-21,10294.401192366517
2016-03-22,10283.747459915623
2016-03-23,10219.248839957516
2016-03-24,10231.210288580418
2016-03-28,10229.991337502226
2016-03-29,10297.699185702875
2016-03-30,10358.00453749106
2016-03-31,10345.489458591725
2016-04-01,10435.57877738965
2016-04-04,10394.62415830634
2016-04-05,10298.455558459778
2016-04-06,10381.726097508355
2016-04-07,10260.972580494383
2016-04-08,10276.113469472923
2016-04-11,10249.685851993567
2016-04-12,10341.786945772603
2016-04-13,10455.611420488553
2016-04-14,10461.096629167165
2016-04-15,10444.935957015026
2016-04-18,10516.445486664803
2016-04-19,10549.357611024954
2016-04-20,10551.622232028467
2016-04-21,10489.74934316161
2016-04-22,10471.292738783524
2016-04-25,10458.466272452384
2016-04-26,10465.347634375776
2016-04-27,10485.132872817543
2016-04-28,10365.553356026023
2016-04-29,10312.257170652512
2016-05-02,10391.842332737177
2016-05-03,10307.254956751729
2016-05-04,10244.937315246874
2016-05-05,10241.345980358079
2016-05-06,10274.676530709357
2016-05-09,10268.861969256952
2016-05-10,10390.934901450666
2016-05-11,10270.804417709329
2016-05-12,10273.1624224527
2016-05-13,10179.600232137827
2016-05-16,10278.384749835104
2016-05-17,10159.40007210963
2016-05-18,10164.239007062597
2016-05-19,10149.420755368412
2016-05-20,10198.111011930212
2016-05-23,10180.703663909186
2016-05-24,10321.400604704586
2016-05-25,10408.024401498227
2016-05-26,10397.67512399852
2016-05-27,10429.193218004211
2016-05-31,10402.353598562178
2016-06-01,10400.556450489992
2016-06-02,10435.901448583307
2016-06-03,10412.251599333393
2016-06-06,10472.78759460344
2016-06-07,10479.687096657877
2016-06-08,10517.515750242204
2016-06-09,10507.36455721514
2016-06-10,10464.29072168301
2016-06-13,10387.31665714372
2016-06-14,10353.770972251557
2016-06-15,10329.848965381785
2016-06-16,10374.40132048931
2016-06-17,10330.935696232911
2016-06-20,10397.437580859023
2016-06-21,10419.769537912087
2016-06-22,10393.407932558033
2016-06-23,10532.479380610066
2016-06-24,10164.828292365984
2016-06-27,9997.650778823378
2016-06-28,10159.868207462456
2016-06-29,10339.3778829865
2016-06-30,10463.25664787449
2016-07-01,10479.28857641522
2016-07-05,10423.506359996854
2016-07-06,10468.914081392179
2016-07-07,10455.690266986341
2016-07-08,10622.277315541396
2016-07-11,10665.131285542597
2016-07-12,10728.408523961609
2016-07-13,10737.322232599465
2016-07-14,10811.46822290751
2016-07-15,10807.657765380573
2016-07-18,10811.389176967969
2016-07-19,10817.917101479949
2016-07-20,10862.102650500821
2016-07-21,10804.137879857624
2016-07-22,10838.53331756312
2016-07-25,10808.052502253578
2016-07-26,10792.30388405073
2016-07-27,10783.80833217719
2016-07-28,10781.310023779992
2016-07-29,10777.703355630856
2016-08-01,10770.568041733228
2016-08-02,10719.184245995102
2016-08-03,10744.025430528627
2016-08-04,10749.670025312553
2016-08-05,10876.132742317492
2016-08-08,10863.544787506438
2016-08-09,10862.40366033889
2016-08-10,10845.504160889941
2016-08-11,10918.184333734665
2016-08-12,10904.647500808864
2016-08-15,10931.14464981379
2016-08-16,10875.290411212909
2016-08-17,10876.44595597628
2016-08-18,10885.407183301228
2016-08-19,10871.869600807207
2016-08-22,10865.09533821386
2016-08-23,10884.946010055779
2016-08-24,10841.069432160615
2016-08-25,10829.606005884372
2016-08-26,10805.692178995872
2016-08-29,10860.75904970061
2016-08-30,10834.508980636156
2016-08-31,10813.011506851795
