Date,Portfolio_Value
2016-01-05,9993.919430483058
2016-01-06,9856.359676315149
2016-01-07,9668.99092198116
2016-01-08,9582.339029702727
2016-01-11,9628.979265506645
2016-01-12,9700.458427140691
2016-01-13,9489.954693527872
2016-01-14,9615.973529257133
2016-01-15,9395.024395196497
2016-01-19,9428.844454411825
2016-01-20,9277.55664188474
2016-01-21,9352.249708967238
2016-01-22,9469.01767277184
2016-01-25,9362.340558729058
2016-01-26,9527.373712806053
2016-01-27,9422.178081305638
2016-01-28,9474.037236486833
2016-01-29,9710.826926493768
2016-02-01,9714.339297351193
2016-02-02,9527.244403447492
2016-02-03,9613.240852905765
2016-02-04,9640.912718627686
2016-02-05,9504.420963572675
2016-02-08,9402.76630397071
2016-02-09,9417.755267565155
2016-02-10,9357.058602242027
2016-02-11,9253.58604961321
2016-02-12,9425.403888889814
2016-02-16,9539.351582159934
2016-02-17,9710.74464896353
2016-02-18,9660.190451907401
2016-02-19,9650.425537226693
2016-02-22,9772.387954436812
2016-02-23,9640.598021170035
2016-02-24,9675.136951139877
2016-02-25,9793.255260792937
2016-02-26,9772.835335096364
2016-02-29,9696.897159968701
2016-03-01,9946.546550846379
2016-03-02,9965.42042447529
2016-03-03,10010.885001467368
2016-03-04,10037.07739520579
2016-03-07,10054.346820322626
2016-03-08,9982.14295266134
2016-03-09,10016.018677173764
2016-03-10,10015.842728294434
2016-03-11,10152.77781752121
2016-03-14,10150.539359397417
2016-03-15,10167.825496200065
2016-03-16,10226.139787523276
2016-03-17,10317.709586184514
2016-03-18,10393.145081826338
2016-03-21,10396.436066395145
2016-03-22,10383.293679865908
2016-03-23,10317.223636150264
2016-03-24,10329.185308226946
2016-03-28,10329.450786596235
2016-03-29,10419.57999819825
2016-03-30,10485.167471858931
2016-03-31,10470.743976943677
2016-04-01,10571.277336668589
2016-04-04,10515.474430176786
2016-04-05,10417.901788371675
2016-04-06,10504.455823036427
2016-04-07,10377.809449839278
2016-04-08,10385.424957990563
2016-04-11,10351.981673546077
2016-04-12,10453.56269365853
2016-04-13,10580.68486019182
2016-04-14,10594.129319503458
2016-04-15,10568.584254718342
2016-04-18,10638.028348681511
2016-04-19,10673.453195119904
2016-04-20,10691.844937721062
2016-04-21,10643.693186943894
2016-04-22,10627.827520557503
2016-04-25,10604.575403826604
2016-04-26,10613.181365341195
2016-04-27,10628.768732104996
2016-04-28,10506.091053687183
2016-04-29,10456.890266960105
2016-05-02,10553.091006598184
2016-05-03,10449.887852613998
2016-05-04,10376.33658754314
2016-05-05,10355.282597557147
2016-05-06,10389.948727162846
2016-05-09,10386.900193915315
2016-05-10,10510.26710855827
2016-05-11,10380.943130038988
2016-05-12,10386.142682527898
2016-05-13,10298.271361714289
2016-05-16,10400.860044554765
2016-05-17,10263.206676562324
2016-05-18,10261.394310258664
2016-05-19,10228.45280425071
2016-05-20,10269.677559537851
2016-05-23,10254.74506759769
2016-05-24,10404.708503128508
2016-05-25,10495.259309945626
2016-05-26,10482.014353852073
2016-05-27,10512.142967645892
2016-05-31,10508.833373737643
2016-06-01,10509.021463443167
2016-06-02,10543.352208867951
2016-06-03,10525.909895087052
2016-06-06,10583.498230086541
2016-06-07,10596.603127854682
2016-06-08,10630.204703092892
2016-06-09,10622.103265137537
2016-06-10,10610.53611023588
2016-06-13,10541.393453534938
2016-06-14,10526.112581197422
2016-06-15,10488.845206612052
2016-06-16,10532.992059543174
2016-06-17,10489.404443536694
2016-06-20,10552.705334909846
2016-06-21,10584.81197314242
2016-06-22,10549.999402030542
2016-06-23,10698.624731078447
2016-06-24,10286.639107397132
2016-06-27,10100.169309014806
2016-06-28,10285.811299675715
2016-06-29,10473.169719475482
2016-06-30,10601.229189219637
2016-07-01,10616.443776285578
2016-07-05,10546.703732224643
2016-07-06,10599.425673668593
2016-07-07,10591.592093074241
2016-07-08,10786.927398430307
2016-07-11,10834.77902800851
2016-07-12,10910.840152609839
2016-07-13,10906.822251548212
2016-07-14,10978.920789920288
2016-07-15,10988.99110557595
2016-07-18,10976.611868474562
2016-07-19,10982.098719859016
2016-07-20,11047.749315376408
2016-07-21,10981.476788101912
2016-07-22,11015.738243044634
2016-07-25,10978.274723397883
2016-07-26,11014.335873833727
2016-07-27,11000.920677349635
2016-07-28,10993.45510516245
2016-07-29,10986.056571216106
2016-08-01,10970.539708874869
2016-08-02,10928.141825401855
2016-08-03,10956.457319410792
2016-08-04,10963.304650404325
2016-08-05,11094.510210044327
2016-08-08,11086.293283957797
2016-08-09,11077.245916420237
2016-08-10,11046.230267734987
2016-08-11,11137.205585614945
2016-08-12,11111.923777407264
2016-08-15,11160.189950383836
2016-08-16,11117.063632625026
2016-08-17,11131.368547585771
2016-08-18,11135.437823119537
2016-08-19,11149.876670450436
2016-08-22,11140.54556193812
2016-08-23,11172.673999717392
2016-08-24,11125.283374303757
2016-08-25,11101.432218062075
2016-08-26,11084.527524402723
2016-08-29,11141.238527584575
2016-08-30,11114.789168265013
2016-08-31,11098.534483972378
2016-09-01,11116.459819079937
2016-09-02,11149.960996349002
2016-09-06,11173.177672482781
2016-09-07,11163.95358409375
2016-09-08,11133.563425603747
2016-09-09,10908.225097854
2016-09-12,11063.708161692362
2016-09-13,10909.815894981602
2016-09-14,10907.03593261379
2016-09-15,11033.987550726768
2016-09-16,11010.863120513997
2016-09-19,10987.23004764712
2016-09-20,10991.377844965502
2016-09-21,11098.272862399686
2016-09-22,11171.61404240077
2016-09-23,11076.358890813231
2016-09-26,10975.662756571066
2016-09-27,11053.895488653094
2016-09-28,11121.217940339657
2016-09-29,11016.463428465302
2016-09-30,11119.163836348956
2016-10-03,11079.873731561813
2016-10-04,11048.25983916146
2016-10-05,11095.119304749227
2016-10-06,11074.970037502522
2016-10-07,11049.900442199672
2016-10-10,11122.044396178782
2016-10-11,10982.993531124213
2016-10-12,10980.292053800062
2016-10-13,10937.293812381115
2016-10-14,10964.589177381744
2016-10-17,10935.494959870874
2016-10-18,10942.387016505269
2016-10-19,10986.847446629072
2016-10-20,11021.078244154542
2016-10-21,11022.856123637308
2016-10-24,11081.749337815363
2016-10-25,11043.041592678248
2016-10-26,11086.045011677941
2016-10-27,11068.555071266774
2016-10-28,11030.12470652749
2016-10-31,11016.229253355858
2016-11-01,10968.993784479399
2016-11-02,10907.688398770762
2016-11-03,10873.925872910684
2016-11-04,10845.736631871578
2016-11-07,11074.945107023159
2016-11-08,11094.386983469041
2016-11-09,11273.246156745465
2016-11-10,11328.300534750217
2016-11-11,11353.57467970766
2016-11-14,11369.928854005857
2016-11-15,11437.667383819802
