Date,Portfolio_Value
2016-01-05,10116.524881834437
2016-01-06,9966.040919864034
2016-01-07,9610.21121369979
2016-01-08,9508.877944200847
2016-01-11,9552.711904380369
2016-01-12,9662.067469116882
2016-01-13,9353.080339129803
2016-01-14,9563.647014553928
2016-01-15,9290.506871702528
2016-01-19,9438.824721132814
2016-01-20,9240.218360031417
2016-01-21,9426.11690623982
2016-01-22,9585.084699750028
2016-01-25,9492.268292200628
2016-01-26,9677.939780941771
2016-01-27,9622.440424836557
2016-01-28,9819.003583778593
2016-01-29,10144.102682900526
2016-02-01,10227.99596264778
2016-02-02,9995.656871165247
2016-02-03,9980.586759154958
2016-02-04,10008.956450681024
2016-02-05,9573.298223527061
2016-02-08,9481.578101950749
2016-02-09,9583.19232270071
2016-02-10,9545.256294991554
2016-02-11,9402.437646855424
2016-02-12,9667.38058256907
2016-02-16,9868.80961980719
2016-02-17,9988.839327833854
2016-02-18,9812.724042315052
2016-02-19,9783.481435067322
2016-02-22,9967.66860481919
2016-02-23,9828.190383991247
2016-02-24,9861.257581791535
2016-02-25,10068.245878383947
2016-02-26,9914.155060223591
2016-02-29,9882.737140171632
2016-03-01,10183.146385860637
2016-03-02,10175.954677469555
2016-03-03,10151.706540266168
2016-03-04,10234.424715409898
2016-03-07,10287.304166294083
2016-03-08,10282.220512100992
2016-03-09,10388.522477315362
2016-03-10,10400.610427912521
2016-03-11,10604.227124754954
2016-03-14,10695.848159075429
2016-03-15,10732.323034571737
2016-03-16,10811.684266298918
2016-03-17,10898.393034069804
2016-03-18,10971.833452212113
2016-03-21,10990.76053925855
2016-03-22,10973.586695386712
2016-03-23,10914.255699418578
2016-03-24,10917.014059104156
2016-03-28,10924.403942655974
2016-03-29,11053.20792049154
2016-03-30,11247.867014022999
2016-03-31,11219.646950341381
2016-04-01,11409.357504640739
2016-04-04,11403.572197476135
2016-04-05,11308.179310206275
2016-04-06,11391.983636191339
2016-04-07,11320.543845586093
2016-04-08,11340.461362814569
2016-04-11,11278.254405703241
2016-04-12,11401.248594742709
2016-04-13,11476.044181318553
2016-04-14,11508.877577252375
2016-04-15,11548.731631740782
2016-04-18,11685.363654752566
2016-04-19,11741.692886245295
2016-04-20,11580.400160616724
2016-04-21,11297.07535671227
2016-04-22,11300.9022603881
2016-04-25,11392.06116481356
2016-04-26,11423.234112774186
2016-04-27,11512.300303543638
2016-04-28,11400.772246490478
2016-04-29,11273.176326844134
2016-05-02,11459.346098547954
2016-05-03,11363.445486285053
2016-05-04,11338.717979638088
2016-05-05,11295.591506690349
2016-05-06,11439.844330220356
2016-05-09,11390.928342521023
2016-05-10,11582.731639921405
2016-05-11,11310.728758259213
2016-05-12,11380.81462439893
2016-05-13,11152.875669337425
2016-05-16,11302.94588070275
2016-05-17,11060.62423611208
2016-05-18,10919.203154796318
2016-05-19,10893.812968369186
2016-05-20,10748.10771155802
2016-05-23,10768.626260800404
2016-05-24,10973.491354060225
2016-05-25,11008.094926967522
2016-05-26,11038.560894897179
2016-05-27,11019.24719047304
2016-05-31,10930.32358203403
2016-06-01,10925.497991213068
2016-06-02,10940.878476067544
2016-06-03,10996.786070783945
2016-06-06,11119.730403180693
2016-06-07,11124.217533381874
2016-06-08,11209.007357829403
2016-06-09,11226.668088192944
2016-06-10,11146.832881043329
2016-06-13,11067.993816269258
2016-06-14,11005.20767019451
2016-06-15,10992.545791689525
2016-06-16,11044.958576089812
2016-06-17,10995.08962959868
2016-06-20,11132.710343167235
2016-06-21,11099.226538144047
2016-06-22,10935.084293028482
2016-06-23,11112.390822144695
2016-06-24,10605.999428650975
2016-06-27,10249.416155100833
2016-06-28,10538.613573650819
2016-06-29,10754.517771343955
2016-06-30,10943.96151814644
2016-07-01,10973.70418026093
2016-07-05,10932.232876547012
2016-07-06,10958.560875018062
2016-07-07,10967.373565166115
2016-07-08,11181.84317303777
2016-07-11,11268.215749634075
2016-07-12,11362.855405068558
2016-07-13,11402.607729528288
2016-07-14,11525.717427540558
2016-07-15,11521.541807760252
2016-07-18,11512.253607356339
2016-07-19,11702.372171868474
2016-07-20,11685.202725893483
2016-07-21,11734.553364765155
2016-07-22,11819.481442023374
2016-07-25,11716.480996208265
2016-07-26,11402.818488072757
2016-07-27,11199.901324290326
2016-07-28,11194.854569485233
2016-07-29,11058.22297001038
2016-08-01,11064.529292367632
2016-08-02,11001.354763360985
2016-08-03,11021.103160749662
2016-08-04,11067.03114954929
2016-08-05,11211.254862593556
2016-08-08,11151.11732278337
2016-08-09,11138.455909274988
2016-08-10,11167.399979585864
2016-08-11,11271.011512622312
2016-08-12,11284.703663324453
2016-08-15,11257.472068209216
2016-08-16,11160.317676148616
2016-08-17,11115.813195860614
2016-08-18,11106.995310131399
2016-08-19,10946.027162058386
2016-08-22,10960.575955701226
2016-08-23,10965.983273732112
2016-08-24,10897.490442027118
2016-08-25,10917.337973436106
2016-08-26,10819.716643960823
2016-08-29,10938.099659166379
2016-08-30,10890.604033772732
2016-08-31,10897.083709454511
2016-09-01,10866.440545064372
2016-09-02,10927.553039076378
2016-09-06,11056.6726793068
2016-09-07,11045.783913964333
2016-09-08,10973.144556377856
2016-09-09,10601.777711519171
2016-09-12,10861.701289968167
2016-09-13,10601.558756978278
2016-09-14,10655.520627053344
2016-09-15,10813.218007514723
2016-09-16,10725.771449551887
2016-09-19,10708.08934892478
2016-09-20,10812.322332796726
2016-09-21,10947.367288307865
2016-09-22,11034.028686225614
2016-09-23,10920.912502251203
2016-09-26,10788.70599349805
2016-09-27,10883.012584895761
2016-09-28,10864.696907920352
2016-09-29,10781.12954052236
2016-09-30,10924.478747788458
2016-10-03,10830.26495332403
2016-10-04,10705.984581581686
2016-10-05,10738.016354893693
2016-10-06,10753.575645641446
2016-10-07,10634.852213634142
2016-10-10,10735.729328447173
2016-10-11,10556.286504251775
2016-10-12,10657.748086653095
2016-10-13,10690.75800264213
2016-10-14,10636.968722276684
2016-10-17,10477.645907476452
2016-10-18,10422.412095199956
2016-10-19,10453.662323131439
2016-10-20,10377.440830466738
2016-10-21,10612.781952254187
2016-10-24,10639.959482388122
