Date,Portfolio_Value
2016-01-11,9876.703245022756
2016-01-12,9909.124459586057
2016-01-13,9710.957806846454
2016-01-14,9856.605341181337
2016-01-15,9660.150692695277
2016-01-19,9655.069529046903
2016-01-20,9401.033312243504
2016-01-21,9357.000652258486
2016-01-22,9644.908493845172
2016-01-25,9426.437192342848
2016-01-26,9666.925146861435
2016-01-27,9660.150692695275
2016-01-28,9700.796125597215
2016-01-29,10076.769933201447
2016-02-01,9968.381250732933
2016-02-02,9658.456756129983
2016-02-03,9722.812778613477
2016-02-04,9890.476965964623
2016-02-05,9780.394346930814
2016-02-08,9575.471953760809
2016-02-09,9517.890385443472
2016-02-10,9402.727248808797
2016-02-11,8987.801298820412
2016-02-12,9736.361686945796
2016-02-16,9882.00857523317
2016-02-17,9953.139051882825
2016-02-18,9790.556028180052
2016-02-19,9792.249318697837
2016-02-22,9919.267427099536
2016-02-23,9504.341477111151
2016-02-24,9507.72870419423
2016-02-25,9655.069529046901
2016-02-26,9744.82943162974
2016-02-29,9534.82587481136
2016-03-01,10025.962819050266
2016-03-02,10120.802593186463
2016-03-03,10154.67421796975
2016-03-04,10169.916416819853
2016-03-07,10151.286990886669
2016-03-08,9954.832342400608
2016-03-09,10012.413910717945
2016-03-10,9926.041881265694
2016-03-11,10049.672762584312
2016-03-14,10012.413910717945
2016-03-15,10025.962819050264
2016-03-16,9978.542285934658
2016-03-17,9949.751824799743
2016-03-18,10242.740183987293
2016-03-21,10239.352956904213
2016-03-22,10202.094751085353
2016-03-23,10151.286990886667
2016-03-24,10073.38270611836
2016-03-28,10059.83444383355
2016-03-29,9997.17171186784
2016-03-30,10112.334848502516
2016-03-31,10029.350046133344
2016-04-01,10139.432019119644
2016-04-04,10025.962819050263
2016-04-05,9883.70251179846
2016-04-06,9959.91350604898
2016-04-07,9707.57057976337
2016-04-08,9778.701056413025
2016-04-11,9856.605341181332
2016-04-12,10039.511081335075
2016-04-13,10464.598712572697
2016-04-14,10600.084565658342
2016-04-15,10478.14697485751
2016-04-18,10545.890224424083
2016-04-19,10723.715446976961
2016-04-20,10879.524016513573
2016-04-21,10771.135334045057
2016-04-22,10833.798066010768
2016-04-25,10771.135334045057
2016-04-26,10827.023611844608
2016-04-27,10857.508009544816
2016-04-28,10771.135334045057
2016-04-29,10703.39273052599
2016-05-02,10803.313668310559
2016-05-03,10595.004048057473
2016-05-04,10427.339860706326
2016-05-05,10371.452228954282
2016-05-06,10432.420378307192
2016-05-09,10366.37106530591
2016-05-10,10506.938082039927
2016-05-11,10467.985939655775
2016-05-12,10461.211485489615
2016-05-13,10364.677774788126
2016-05-16,10442.582059556433
2016-05-17,10442.582059556433
2016-05-18,10845.653037777793
2016-05-19,10735.570418743984
2016-05-20,10755.893135194954
2016-05-23,10747.425390511009
2016-05-24,10930.33177671226
2016-05-25,11096.301381450605
2016-05-26,11013.316579081433
2016-05-27,11081.059828648009
2016-05-31,11053.962011983373
2016-06-01,11125.093134680536
2016-06-02,11145.415205083998
2016-06-03,10947.267266080153
2016-06-06,11055.655948548669
2016-06-07,11018.397096682302
2016-06-08,11050.575430947803
2016-06-09,10965.896692013337
2016-06-10,10811.781412994509
2016-06-13,10715.247702293018
2016-06-14,10513.712536206092
2016-06-15,10495.08311027291
2016-06-16,10537.422479740142
2016-06-17,10547.583514941873
2016-06-20,10562.825713791975
2016-06-21,10661.053361058759
