Date,Portfolio_Value
2016-03-31,9987.91504022533
2016-04-01,10074.89508520632
2016-04-04,10035.33667404044
2016-04-05,9942.484919254199
2016-04-06,10022.877169186691
2016-04-07,9906.267851560526
2016-04-08,9920.885641331179
2016-04-11,9895.386495490406
2016-04-12,9984.30877883816
2016-04-13,10094.228413023267
2016-04-14,10099.524976614177
2016-04-15,10083.906746979872
2016-04-18,10152.941614547162
2016-04-19,10184.715246237045
2016-04-20,10186.906512898518
2016-04-21,10127.16983115567
2016-04-22,10109.324375798467
2016-04-25,10096.937735176729
2016-04-26,10103.579738297869
2016-04-27,10122.640229584402
2016-04-28,10007.1723266284
2016-04-29,9955.709686527656
2016-05-02,10032.547924699995
2016-05-03,9950.8832892392
2016-05-04,9890.700875291772
2016-05-05,9887.216942628276
2016-05-06,9919.378824905789
2016-05-09,9913.759081128408
2016-05-10,10031.62230924182
2016-05-11,9915.637316823742
2016-05-12,9917.888039277004
2016-05-13,9827.572386955906
2016-05-16,9922.939598128673
2016-05-17,9808.06027769402
2016-05-18,9812.7555391726
2016-05-19,9798.379863593635
2016-05-20,9845.393190567394
2016-05-23,9828.587612817964
2016-05-24,9964.426095134713
2016-05-25,10048.050288946839
2016-05-26,10038.054257728885
2016-05-27,10068.483569316873
2016-05-31,10042.5571356919
2016-06-01,10040.82172866883
2016-06-02,10074.924299054726
2016-06-03,10052.051466193083
2016-06-06,10110.499796127782
2016-06-07,10117.134319691664
2016-06-08,10153.633841283716
2016-06-09,10143.831657909468
2016-06-10,10102.241701208106
2016-06-13,10027.920936218894
2016-06-14,9995.487282025531
2016-06-15,9972.394137074218
2016-06-16,10015.383904714832
2016-06-17,9973.411232907
2016-06-20,10037.61767193391
2016-06-21,10059.181453363875
2016-06-22,10033.730451062695
2016-06-23,10167.986831574697
2016-06-24,9803.661759380318
2016-06-27,9639.377934370268
2016-06-28,9779.14768863479
2016-06-29,9960.157802184065
2016-06-30,10083.005176479923
2016-07-01,10082.97667594378
2016-07-05,10014.538416592784
2016-07-06,10072.561668543336
2016-07-07,10047.833683768555
2016-07-08,10210.214483922304
2016-07-11,10250.253785044371
2016-07-12,10301.824425154078
2016-07-13,10307.279815241154
2016-07-14,10355.31618757357
2016-07-15,10363.464321059271
2016-07-18,10345.464195469367
2016-07-19,10364.463906007186
2016-07-20,10397.820747530317
2016-07-21,10353.064201336172
2016-07-22,10384.324363407075
2016-07-25,10330.759252297465
2016-07-26,10334.100487011103
2016-07-27,10330.35734031259
2016-07-28,10324.233046523694
2016-07-29,10332.620231363662
2016-08-01,10291.283041317243
2016-08-02,10250.864996857448
2016-08-03,10262.081455878986
2016-08-04,10267.739522140182
2016-08-05,10440.666677219471
2016-08-08,10414.834790864506
2016-08-09,10401.917490079579
2016-08-10,10370.130644276156
2016-08-11,10452.369092629755
2016-08-12,10445.977566687481
2016-08-15,10422.452895851351
2016-08-16,10362.117660989186
