Date,Portfolio_Value
2016-02-17,10177.329982284082
2016-02-18,10138.14885258233
2016-02-19,10139.23631199828
2016-02-22,10252.398521276415
2016-02-23,10142.603529622374
2016-02-24,10160.436620281913
2016-02-25,10290.932558561248
2016-02-26,10253.488701922073
2016-02-29,10156.166162489368
2016-03-01,10404.42090721968
2016-03-02,10415.278253585017
2016-03-03,10442.55292283349
2016-03-04,10467.857974024171
2016-03-07,10496.466566063818
2016-03-08,10439.109006549763
2016-03-09,10461.788303178762
2016-03-10,10460.393584914505
2016-03-11,10599.869036978651
2016-03-14,10612.693672349296
2016-03-15,10616.593578692013
2016-03-16,10666.416485344662
2016-03-17,10753.42004969857
2016-03-18,10836.691455513921
2016-03-21,10854.682577586844
2016-03-22,10844.155676547636
2016-03-23,10781.358843060483
2016-03-24,10790.275088254622
2016-03-28,10799.414970508918
2016-03-29,10854.365050098204
2016-03-30,10907.541080005793
2016-03-31,10901.55554318001
2016-04-01,11003.236884327314
2016-04-04,10961.492844462862
2016-04-05,10863.53986813976
2016-04-06,10953.184481967022
2016-04-07,10834.756333044465
2016-04-08,10845.34489394737
2016-04-11,10825.777899747918
2016-04-12,10923.399158169825
2016-04-13,11037.961672236732
2016-04-14,11044.742384397161
2016-04-15,11038.540149646971
2016-04-18,11120.350183077495
2016-04-19,11148.00612862229
2016-04-20,11168.080576136645
2016-04-21,11108.54058239453
2016-04-22,11103.006673656588
2016-04-25,11090.850604406693
2016-04-26,11100.928150385223
2016-04-27,11138.58547949124
2016-04-28,11021.790020370754
2016-04-29,10978.421230292077
2016-05-02,11062.029380279964
2016-05-03,10969.892064016423
2016-05-04,10905.703897794912
2016-05-05,10920.078697674979
2016-05-06,10951.209941684909
2016-05-09,10948.94960025108
2016-05-10,11082.14642304284
2016-05-11,10945.992407914788
2016-05-12,10950.512962724575
2016-05-13,10844.061385938316
2016-05-16,10937.476031418755
2016-05-17,10807.176621949531
2016-05-18,10812.020506870125
2016-05-19,10757.794426451432
2016-05-20,10799.19714407455
2016-05-23,10782.084691066555
2016-05-24,10923.435486586406
2016-05-25,11017.600751266857
2016-05-26,11000.931266433345
2016-05-27,11032.38913004058
2016-05-31,10997.062670239484
2016-06-01,11002.080249651506
2016-06-02,11041.153138439882
2016-06-03,11015.442976182103
2016-06-06,11081.219468157859
2016-06-07,11082.10181088289
2016-06-08,11120.60641886881
2016-06-09,11102.898464757678
2016-06-10,11039.128167368419
2016-06-13,10963.259890979876
2016-06-14,10927.867185242667
2016-06-15,10906.69134401554
2016-06-16,10951.24924744693
2016-06-17,10907.700135882129
2016-06-20,10993.792096288047
2016-06-21,11002.339406762949
2016-06-22,10972.410209950456
2016-06-23,11123.248316725543
2016-06-24,10734.533514994415
2016-06-27,10566.026215624275
2016-06-28,10744.646500988061
2016-06-29,10922.041552676592
2016-06-30,11057.375589261586
2016-07-01,11077.827599394072
2016-07-05,11023.364956074116
2016-07-06,11069.554172685492
2016-07-07,11052.487772488468
2016-07-08,11227.636224953187
2016-07-11,11269.639277863978
2016-07-12,11334.520605320615
2016-07-13,11341.40356368545
2016-07-14,11428.65996229354
2016-07-15,11427.920988355947
2016-07-18,11432.04485190349
2016-07-19,11447.685727915261
2016-07-20,11479.088158472656
2016-07-21,11428.164762515933
2016-07-22,11461.26071036295
2016-07-25,11429.671635462173
2016-07-26,11412.314167733595
2016-07-27,11397.660697924372
2016-07-28,11394.715791139843
2016-07-29,11387.55458703754
2016-08-01,11381.950326508075
2016-08-02,11330.970360987929
2016-08-03,11355.344335430986
2016-08-04,11351.758386963824
2016-08-05,11465.061764034781
2016-08-08,11444.197783735613
2016-08-09,11444.737267524884
2016-08-10,11431.88734872882
2016-08-11,11511.646687463533
2016-08-12,11495.312658220257
2016-08-15,11519.167726172791
2016-08-16,11454.1189870639
2016-08-17,11462.976949920621
2016-08-18,11473.657224268245
2016-08-19,11449.523870560159
2016-08-22,11444.063162901317
2016-08-23,11458.045473417953
2016-08-24,11400.468606800421
2016-08-25,11387.845462482292
2016-08-26,11365.365656001613
2016-08-29,11424.412522902865
2016-08-30,11399.612115757598
2016-08-31,11370.568863297687
2016-09-01,11366.626409728151
2016-09-02,11401.386773714168
2016-09-06,11431.965095862248
2016-09-07,11421.993861925446
2016-09-08,11406.210793657909
2016-09-09,11170.706770897248
2016-09-12,11331.639695455886
2016-09-13,11161.810742839103
2016-09-14,11148.341568205287
2016-09-15,11253.052414366519
2016-09-16,11213.606813151782
2016-09-19,11207.355188082423
2016-09-20,11229.186541531326
2016-09-21,11326.132446765447
2016-09-22,11398.413438082825
2016-09-23,11301.248713965851
2016-09-26,11195.023799606892
2016-09-27,11262.700070080391
2016-09-28,11312.76245295081
2016-09-29,11184.124986503002
2016-09-30,11284.931980538442
2016-10-03,11246.208145485214
2016-10-04,11209.037908493006
2016-10-05,11249.002088049978
2016-10-06,11248.207520990209
2016-10-07,11206.836833841458
2016-10-10,11267.439163646442
2016-10-11,11115.75987674744
2016-10-12,11129.96746506567
2016-10-13,11104.293591206386
2016-10-14,11130.001888621455
2016-10-17,11094.603812457384
2016-10-18,11134.883374533698
