Date,Portfolio_Value
2016-01-05,10044.32329179286
2016-01-06,9945.248575940814
2016-01-07,9685.830261833135
2016-01-08,9546.343922686407
2016-01-11,9539.825469765721
2016-01-12,9706.687520942041
2016-01-13,9431.62551657048
2016-01-14,9525.485669001231
2016-01-15,9237.387753364574
2016-01-19,9229.56640552077
2016-01-20,9168.296528540906
2016-01-21,9061.40046484506
2016-01-22,9327.337231873425
2016-01-25,9114.847999404847
2016-01-26,9108.330541060437
2016-01-27,8790.249134395399
2016-01-28,8563.42109573861
2016-01-29,8872.37627048417
2016-02-01,8921.91412569833
2016-02-02,8410.897850750507
2016-02-03,8517.793914446354
2016-02-04,8760.265643367027
2016-02-05,7627.427847718051
2016-02-08,7046.017453023447
2016-02-09,7473.60220509497
2016-02-10,7660.018123168934
2016-02-11,7722.591889648192
2016-02-12,7779.950595418018
2016-02-16,7785.165158839316
2016-02-17,8276.626572313215
2016-02-18,8043.280080735734
2016-02-19,8100.6387865055585
2016-02-22,8340.503233715588
2016-02-23,8199.713502357601
2016-02-24,8150.176144431582
2016-02-25,9049.667448503078
2016-02-26,9088.77617687465
2016-02-29,8831.964647189485
2016-03-01,9127.883910669947
2016-03-02,9181.33243980601
2016-03-03,9229.566405520778
2016-03-04,9263.45957589478
2016-03-07,9189.153787649815
2016-03-08,9101.812088139754
2016-03-09,9260.852791472267
2016-03-10,9216.529499679402
2016-03-11,9337.76536413974
2016-03-14,9414.678931383487
2016-03-15,9346.890601482937
2016-03-16,9481.16337178465
2016-03-17,9479.859482285257
2016-03-18,9470.734244942061
2016-03-21,9418.589605305393
2016-03-22,9496.806067472258
2016-03-23,9357.319728325529
2016-03-24,9443.358532912473
2016-03-28,9379.480876933821
2016-03-29,9425.108058226082
2016-03-30,9685.830261833149
2016-03-31,9624.560384853283
2016-04-01,9872.246677195253
2016-04-04,9867.03211377396
2016-04-05,9722.331211205934
2016-04-06,9852.692313009467
2016-04-07,9818.79814805919
2016-04-08,9757.528271079325
2016-04-11,9667.579787146757
2016-04-12,9681.91859333497
2016-04-13,9900.92528414796
2016-04-14,9926.998101254434
2016-04-15,9947.855360363332
2016-04-18,10073.001898745568
2016-04-19,9932.212664675722
2016-04-20,9925.694211755035
2016-04-21,10057.35920305796
2016-04-22,9970.0175035479
2016-04-25,9973.928177469801
2016-04-26,9934.81944909823
2016-04-27,9867.032113773947
2016-04-28,9826.619495902978
2016-04-29,9881.371914538431
2016-05-02,10070.395114323044
2016-05-03,9764.046724
2016-05-04,9645.41764396217
2016-05-05,9621.952605854482
2016-05-06,9679.311808912444
2016-05-09,9727.54577462721
2016-05-10,9897.014610226037
2016-05-11,9880.068025039036
2016-05-12,9893.103936304131
2016-05-13,9955.67770278339
2016-05-16,10078.216462166847
2016-05-17,10007.821347843785
2016-05-18,10151.219355488693
2016-05-19,10570.981267851994
2016-05-20,10561.856030508798
2016-05-23,10654.41328801643
2016-05-24,10787.381174242475
2016-05-25,10894.277237938322
2016-05-26,10865.59763640934
2016-05-27,10920.349060468518
2016-05-31,10912.527712624715
2016-06-01,10878.633547674437
2016-06-02,10851.257835644847
2016-06-03,10761.309351712278
2016-06-06,10797.810301085063
2016-06-07,10838.22192437975
2016-06-08,10865.597636409339
2016-06-09,10784.774389819966
2016-06-10,10667.44919928153
2016-06-13,10623.125907488662
2016-06-14,10570.981267851994
2016-06-15,10688.306458390427
2016-06-16,10642.680271674446
2016-06-17,10494.068695184518
2016-06-20,10587.928847615265
2016-06-21,10641.37638217505
2016-06-22,10509.712385448402
2016-06-23,10726.111297262603
2016-06-24,10228.131928156155
2016-06-27,9916.568974411812
2016-06-28,10109.503842694605
2016-06-29,10298.527042479218
2016-06-30,10351.97557161528
2016-07-01,10406.726995674459
2016-07-05,10255.507640185746
2016-07-06,10233.346491577453
2016-07-07,10267.24065652773
2016-07-08,10544.909445321795
2016-07-11,10645.28805067323
2016-07-12,10680.485110546622
2016-07-13,10602.268648379757
2016-07-14,10632.251144831858
2016-07-15,10611.393885722957
2016-07-18,10641.376382175056
2016-07-19,10607.483211801058
2016-07-20,10707.860822576215
2016-07-21,10650.50161951825
2016-07-22,10761.309351712274
2016-07-25,10714.3792754969
2016-07-26,10658.32396193833
2016-07-27,10624.429796988063
2016-07-28,10732.629750183301
2016-07-29,10663.538525359634
2016-08-01,10561.856030508809
2016-08-02,10494.068695184531
2016-08-03,10482.33667341883
2016-08-04,10501.89004302834
2016-08-05,10602.268648379777
2016-08-08,10581.4103946946
2016-08-09,10582.714284193993
2016-08-10,10460.174530234262
2016-08-11,10621.823012565563
2016-08-12,10641.37638217507
2016-08-15,10288.09791563665
2016-08-16,10162.95137725441
2016-08-17,9949.159249862718
2016-08-18,10026.072817106466
2016-08-19,10100.37860535143
2016-08-22,10070.395114323053
2016-08-23,10170.772725098212
2016-08-24,10144.700902568014
2016-08-25,10449.746397967945
2016-08-26,10432.798818204668
2016-08-29,10418.459017440178
2016-08-30,10406.726995674471
2016-08-31,10353.27846653841
2016-09-01,9895.711715302928
2016-09-02,9790.118546530199
2016-09-06,9831.834059324277
2016-09-07,9778.386524764494
2016-09-08,9761.438945001213
2016-09-09,9672.793355991756
2016-09-12,9693.651609676937
2016-09-13,9524.181779501836
2016-09-14,9623.256495353882
2016-09-15,9645.41764396218
2016-09-16,9554.165270530217
2016-09-19,9516.360431658037
2016-09-20,9504.628409892332
2016-09-21,9670.186571569257
2016-09-22,9723.63410612904
2016-09-23,9176.117876384711
2016-09-26,9150.046053854516
2016-09-27,9131.795579168123
2016-09-28,9336.46246921662
2016-09-29,9281.710050581163
2016-09-30,9298.65763034444
2016-10-03,9193.064461571708
2016-10-04,9468.126465943264
2016-10-05,8919.306346699545
2016-10-06,9289.532393001244
2016-10-07,9243.906206285263
2016-10-10,9790.1185465302
2016-10-11,9440.75075391368
2016-10-12,9415.982820882879
2016-10-13,9207.404262336204
2016-10-14,9681.918593334962
2016-10-17,9494.199283049742
2016-10-18,9486.376940629661
2016-10-19,9492.895393550349
2016-10-20,9462.911902521973
2016-10-21,9646.721533461568
2016-10-24,9784.903983108907
2016-10-25,9784.903983108907
2016-10-26,9770.564182344413
2016-10-27,9743.188470314823
2016-10-28,9794.029220452097
2016-10-31,9797.940888950277
2016-11-01,9835.744733246176
2016-11-02,9777.082635265098
2016-11-03,9664.972008147955
2016-11-04,9694.955499176327
2016-11-07,9946.552465440198
2016-11-08,9979.142740891082
2016-11-09,9894.40782580353
2016-11-10,9598.487567746792
2016-11-11,9723.634106129033
2016-11-14,9485.074045706537
2016-11-15,9649.328317884072
2016-11-16,9556.77205495272
2016-11-17,9801.85156287218
2016-11-18,10138.182449647324
2016-11-21,9926.99810125442
2016-11-22,9851.388423510063
2016-11-23,9640.20308054088
2016-11-25,9611.524473588175
2016-11-28,9507.235194314837
2016-11-29,9507.235194314837
2016-11-30,9385.9993298545
2016-12-01,8924.520910120838
2016-12-02,8918.003451776429
2016-12-05,9229.566405520769
2016-12-06,9206.101367413083
2016-12-07,9357.31972832552
2016-12-08,9367.74885516811
2016-12-09,9277.799376659266
2016-12-12,9174.813986885321
2016-12-13,9335.15857971723
2016-12-14,9298.657630344445
2016-12-15,9155.260617275815
2016-12-16,9107.02665156105
2016-12-19,9061.400464845068
2016-12-20,9107.026651561051
2016-12-21,9139.616927011934
2016-12-22,9112.241214982345
2016-12-23,9108.330541060443
2016-12-27,9105.722762061658
2016-12-28,9006.648046209615
2016-12-29,9014.470388629696
2016-12-30,8924.520910120847
2017-01-03,9195.672240570502
2017-01-04,9490.288609127845
2017-01-05,9488.984719628454
2017-01-06,9620.649710931382
2017-01-09,9641.506970040284
2017-01-10,9644.114749039069
2017-01-11,9877.460246040271
2017-01-12,9804.4583472947
2017-01-13,9860.51366085327
2017-01-17,9779.689419687622
2017-01-18,9878.764135539664
2017-01-19,9851.388423510074
2017-01-20,9911.354410990547
2017-01-23,9928.301990753824
2017-01-24,10052.14463963667
2017-01-25,10229.43581765558
2017-01-26,10161.647487755026
2017-01-27,10195.541652705302
2017-01-30,10260.722203607069
2017-01-31,10311.562953744346
2017-02-01,10243.775618420079
2017-02-02,10445.834729469789
2017-02-03,10456.263856312376
2017-02-06,10396.297868831907
2017-02-07,10456.26385631238
2017-02-08,10520.140517714755
2017-02-09,10563.159920008227
2017-02-10,10512.31916987095
2017-02-13,10547.51722432062
2017-02-14,10548.820119243737
2017-02-15,10646.590945596388
2017-02-16,10535.78420797864
2017-02-17,10620.519123066193
2017-02-21,10713.07538599755
2017-02-22,10700.039474732452
2017-02-23,10698.735585233058
2017-02-24,10660.930746360882
2017-02-27,10629.644360409393
2017-02-28,10604.875432802313
2017-03-01,10925.563623889853
2017-03-02,10776.952047399927
2017-03-03,10718.28994941885
2017-03-06,10754.790898791636
2017-03-07,10816.060775771502
2017-03-08,10882.54521617266
2017-03-09,10856.472399066188
2017-03-10,10886.455890094563
2017-03-13,10899.491801359662
2017-03-14,10886.455890094563
2017-03-15,10882.545216172663
2017-03-16,10887.758785017679
2017-03-17,10823.882123615303
2017-03-20,10806.935538428304
2017-03-21,10630.948249908788
2017-03-22,10673.966657625984
2017-03-23,10627.036581410608
2017-03-24,10638.76959775259
2017-03-27,10638.76959775259
2017-03-28,10707.86082257626
2017-03-29,10739.147208527751
2017-03-30,10762.612246635439
2017-03-31,10753.487009292243
2017-04-03,10730.021971184555
2017-04-04,10816.060775771502
2017-04-05,11125.015950517058
2017-04-06,11080.69365330047
2017-04-07,10999.86941213482
2017-04-10,10981.618937448427
2017-04-11,10932.082076810542
2017-04-12,10868.205415408169
2017-04-13,10836.9180348804
2017-04-17,10976.404374027132
2017-04-18,10912.527712624757
2017-04-19,10885.152000595166
2017-04-20,10956.851004417622
2017-04-21,10922.956839467344
2017-04-24,10972.493700105228
2017-04-25,11048.103377849586
2017-04-26,11074.175200379783
2017-04-27,11191.500390918216
2017-04-28,11226.698445367885
2017-05-01,11297.09355969095
2017-05-02,11353.147878673244
2017-05-03,11282.75375892646
2017-05-04,11278.842090428281
2017-05-05,11337.505182985642
2017-05-08,11323.165382221156
2017-05-09,11358.362442094549
2017-05-10,11381.827480202235
2017-05-11,11433.972119838905
2017-05-12,11607.352623935913
2017-05-15,11706.427339787953
2017-05-16,11699.908886867266
2017-05-17,11450.918705025899
2017-05-18,11439.186683260197
2017-05-19,11393.560496544216
2017-05-22,11594.316712670812
2017-05-23,11535.653620113455
2017-05-24,11680.354522681479
2017-05-25,11898.057323995074
2017-05-26,11840.699115513386
2017-05-30,11844.609789435286
2017-05-31,11685.56908610277
2017-06-01,11739.017615238832
2017-06-02,11844.609789435288
2017-06-05,11912.397124759562
2017-06-06,11875.896175386779
2017-06-07,11913.701014258957
2017-06-08,11895.450539572565
2017-06-09,11376.612916780934
2017-06-12,11234.519793211692
2017-06-13,11376.61291678093
2017-06-14,11363.57700551583
2017-06-15,11246.251814977395
2017-06-16,11211.054755104002
2017-06-19,11411.8109712306
2017-06-20,11330.986730064948
2017-06-21,11414.417755653109
2017-06-22,11533.046835690935
2017-06-23,11552.60119987672
2017-06-26,11486.11675947556
2017-06-27,11430.061445916988
2017-06-28,11483.508980476776
2017-06-29,11315.34403437734
2017-06-30,11289.271217270867
2017-07-03,11224.090666369098
2017-07-05,11406.5964078093
2017-07-06,11321.861492721748
2017-07-07,11461.34783186848
2017-07-10,11536.957509612836
2017-07-11,11517.403145427052
2017-07-12,11784.643801954808
2017-07-13,11676.44384875957
2017-07-14,11732.499162318143
2017-07-17,11639.942899386788
2017-07-18,11637.335120388001
2017-07-19,11675.13995926018
2017-07-20,11802.894276641202
2017-07-21,11692.087539023454
2017-07-24,11689.47976002467
2017-07-25,11814.62629840691
2017-07-26,11871.985501464875
2017-07-27,11798.983602719303
2017-07-28,11813.323403483793
2017-07-31,11836.78844159148
2017-08-01,11891.539865650659
2017-08-02,11718.15936155366
2017-08-03,11778.125349034131
2017-08-04,11791.16126029923
2017-08-07,11797.67971321992
2017-08-08,11766.393327268432
2017-08-09,11748.14285258204
2017-08-10,11423.542992996317
2017-08-11,11509.581797583263
2017-08-14,11765.08943776904
2017-08-15,11823.751535750122
2017-08-16,12024.507751876716
2017-08-17,11847.216573857804
2017-08-18,11831.573878170197
2017-08-21,11961.934979973728
2017-08-22,12117.064014808067
2017-08-23,12132.707705071953
2017-08-24,12273.497933718074
2017-08-25,12266.979480797387
2017-08-28,12209.621272315702
2017-08-29,12231.782420923997
2017-08-30,12366.054196649433
2017-08-31,12448.1813327382
2017-09-01,12515.969662638754
2017-09-05,12538.130811247045
2017-09-06,12491.20073503167
2017-09-07,12609.829815069497
2017-09-08,12570.721086697924
2017-09-11,12737.583137874244
2017-09-12,12625.472510757103
2017-09-13,12463.825023002079
2017-09-14,12423.413399707391
2017-09-15,12336.070705621056
2017-09-18,12480.77160818908
2017-09-19,12429.930858051805
2017-09-20,12411.680383365408
2017-09-21,12366.054196649424
2017-09-22,12376.483323492012
2017-09-25,12054.491242905078
2017-09-26,12037.543663141803
2017-09-27,12150.958179758338
2017-09-28,12071.43782809208
2017-09-29,12178.333891787928
2017-10-02,12246.122221688482
2017-10-03,12431.234747551192
2017-10-04,12452.092006660092
2017-10-05,12479.468713265962
2017-10-06,12556.381285933434
2017-10-09,12549.862833012747
2017-10-10,12435.145421473097
2017-10-11,12515.969662638749
2017-10-12,12611.132709992611
2017-10-13,12637.205527099084
2017-10-16,12664.581239128674
2017-10-17,12608.525925570106
2017-10-18,12572.024976197321
2017-10-19,12669.795802549967
2017-10-20,12892.713167284855
2017-10-23,12832.747179804383
2017-10-24,12861.426781333363
2017-10-25,12982.66165121742
2017-10-26,13042.628633274171
2017-10-27,13127.362553785453
2017-10-30,13127.362553785457
2017-10-31,13341.154681177151
2017-11-01,13290.313931039873
2017-11-02,13375.048846127425
2017-11-03,13389.388646891917
2017-11-06,13351.58380801974
2017-11-07,13390.692536391312
2017-11-08,13691.826363293065
2017-11-09,13505.40994793096
2017-11-10,13719.202075322653
2017-11-13,13789.597189645712
2017-11-14,13848.260282203066
2017-11-15,13743.971002929726
2017-11-16,13952.548566900125
2017-11-17,14024.247570722577
2017-11-20,13996.871858692988
2017-11-21,14183.288274055094
2017-11-22,13926.476744369931
2017-11-24,13968.19225716401
2017-11-27,13893.886468919047
2017-11-28,13878.242778655162
2017-11-29,13496.284710587755
2017-11-30,13599.270100361702
2017-12-01,13535.393438959329
2017-12-04,13016.555816167704
2017-12-05,13126.059658862334
2017-12-06,13416.764358921497
2017-12-07,13566.679824910814
2017-12-08,13484.552688822048
2017-12-11,13627.949701890682
2017-12-12,13514.535185274146
2017-12-13,13549.733239723815
2017-12-14,13588.84097351911
2017-12-15,13750.489455850413
2017-12-18,13698.344816213747
2017-12-19,13591.4487525179
2017-12-20,13478.034235901367
2017-12-21,13508.017726929742
2017-12-22,13378.959520049324
2017-12-26,13367.227498283613
2017-12-27,13381.567299048103
2017-12-28,13399.817773734496
2017-12-29,13326.815874988924
2018-01-02,13611.003116703683
2018-01-03,13725.720528243332
2018-01-04,13906.92238018414
2018-01-05,14092.034906046854
2018-01-08,14191.109621898895
2018-01-09,14228.914460771073
2018-01-10,14183.288274055092
2018-01-11,14222.396007850384
2018-01-12,14371.007584340312
2018-01-16,14195.020295820797
2018-01-17,14344.935761810117
2018-01-18,14570.459910967513
2018-01-19,14591.318164652692
2018-01-22,14716.46470303493
2018-01-23,14762.09088975091
2018-01-24,14711.250139613632
2018-01-25,14595.228838574587
2018-01-26,14822.056877231378
2018-01-29,14769.913232170984
2018-01-30,14630.426893024254
2018-01-31,14849.43358383724
2018-02-01,14696.910338849137
2018-02-02,14441.402698663358
2018-02-05,14033.372808065755
2018-02-06,14283.66588483024
2018-02-07,14346.239651309492
2018-02-08,13561.465261489502
2018-02-09,13946.031108555691
2018-02-12,14150.697998604197
2018-02-13,14038.58737148706
2018-02-14,14211.96688100779
2018-02-15,14746.448194063305
2018-02-16,14712.55402911303
2018-02-20,14906.791792318936
2018-02-21,14923.739372082213
2018-02-22,14730.804503799425
2018-02-23,14986.3121439852
2018-02-26,15206.622724297582
2018-02-27,15183.157686189896
2018-02-28,15154.478084660914
2018-03-01,15569.026428179195
2018-03-02,15893.625293188636
2018-03-05,15969.23497093299
2018-03-06,16227.350390117546
2018-03-07,16338.15712773529
2018-03-08,16472.428903460728
2018-03-09,16609.308458184954
2018-03-12,16527.180327519913
2018-03-13,16520.6628691755
2018-03-14,16684.91714135303
2018-03-15,16584.539530577873
2018-03-16,16421.588153323457
2018-03-19,16292.530941019315
2018-03-20,16310.781415705707
2018-03-21,15864.94569165965
2018-03-22,15387.824576238381
2018-03-23,14917.220919161522
2018-03-26,15509.060440698724
2018-03-27,14836.396677995876
2018-03-28,14715.160813535536
2018-03-29,15160.996537581592
2018-04-02,15030.635435778058
2018-04-03,15185.764470612397
2018-04-04,15575.544881099886
2018-04-05,15518.185678041924
2018-04-06,15134.923720475123
2018-04-09,15277.017838620639
2018-04-10,15576.847776023003
2018-04-11,15533.82936830581
2018-04-12,15825.837957864365
2018-04-13,15514.275004120025
2018-04-16,15566.419643756693
2018-04-17,16080.041708550747
2018-04-18,16224.74261111877
2018-04-19,16172.597971482097
2018-04-20,16010.950483727063
2018-04-23,15889.714619266728
2018-04-24,15366.9663225532
2018-04-25,15293.96442380763
2018-04-26,15751.532169619388
2018-04-27,15672.011817953127
2018-04-30,15772.38942872829
2018-05-01,16048.755322599243
2018-05-02,16010.950483727074
2018-05-03,16218.225152774354
2018-05-04,16310.781415705718
2018-05-07,16551.949255127005
2018-05-08,16783.99185720509
2018-05-09,16911.74518000984
2018-05-10,17027.766481048882
2018-05-11,17029.071365124553
2018-05-14,16645.809407557757
2018-05-15,16703.168610615718
2018-05-16,16786.59963620388
2018-05-17,16432.017280166063
2018-05-18,16550.64536562761
2018-05-21,16473.732792960138
2018-05-22,16352.4969284998
2018-05-23,16697.953052618144
2018-05-24,16782.688962281973
2018-05-25,16681.006467431143
2018-05-29,16540.216238785022
2018-05-30,16855.690861027542
2018-05-31,16859.601534949445
2018-06-01,17014.731564360063
2018-06-04,17292.399358577855
2018-06-05,17484.03033736126
2018-06-06,17670.44774729964
2018-06-07,17326.294518104416
2018-06-08,17407.117764693787
2018-06-11,17465.779862674866
2018-06-12,17763.003015654715
2018-06-13,17794.29039618248
2018-06-14,18043.28057802384
2018-06-15,18043.280578023838
2018-06-18,18224.482429964643
2018-06-19,18187.981480591854
2018-06-20,18112.3718028475
2018-06-21,17974.189353200163
2018-06-22,17600.051638400284
2018-06-25,17362.79546747718
2018-06-26,17661.32151538015
2018-06-27,17366.706141399085
2018-06-28,17614.391439164778
2018-06-29,17781.253490341092
2018-07-02,18306.60857147713
2018-07-03,17968.973795202586
2018-07-05,18220.571756042733
2018-07-06,18433.058999358756
2018-07-09,18479.989075574136
2018-07-10,18569.938554082986
2018-07-11,18934.950036963386
2018-07-12,19314.301320608283
2018-07-13,19242.60231678583
2018-07-16,19157.868396274553
2018-07-17,19165.689744118354
2018-07-18,19272.58481323792
2018-07-19,19183.940218804746
2018-07-20,19146.13438535629
2018-07-23,19236.083863865137
2018-07-24,19032.720863316037
2018-07-25,19406.856588963357
2018-07-26,19237.388747940808
2018-07-27,18760.266637943263
2018-07-30,17993.74272280967
2018-07-31,17879.024316693743
2018-08-01,17948.115541517425
2018-08-02,18399.16582898478
2018-08-03,18386.128923143406
2018-08-06,18603.833713609558
2018-08-07,18829.357862766956
2018-08-08,18924.52091012082
2018-08-09,19009.25681978465
2018-08-10,18968.843207337406
2018-08-13,18830.66075769007
2018-08-14,19107.0276461373
2018-08-15,18907.573330357547
2018-08-16,18997.522808866397
2018-08-17,18904.967540511323
2018-08-20,18994.917019020166
2018-08-21,18971.4509863362
2018-08-22,19092.687845372817
2018-08-23,19271.281918314842
2018-08-24,19853.99620250884
2018-08-27,19773.170966766913
2018-08-28,19943.94568101769
2018-08-29,20179.89895701768
2018-08-30,19833.13794882367
2018-08-31,19903.532068570454
2018-09-04,19972.625282546676
2018-09-05,19378.176987434417
2018-09-06,19401.64302011838
2018-09-07,19610.219589512497
2018-09-10,19726.242879704092
2018-09-11,19924.39032225563
2018-09-12,20254.203750686356
2018-09-13,20620.51812848988
2018-09-14,20530.570639133584
2018-09-17,20195.541652705273
2018-09-18,20336.331881351398
2018-09-19,19932.211670099423
2018-09-20,20271.15133044963
2018-09-21,20273.75910944841
2018-09-24,20698.735585233015
2018-09-25,20710.46760699872
2018-09-26,20640.073487251935
2018-09-27,20913.830607547825
2018-09-28,20731.3258606839
