Date,Portfolio_Value
2016-01-05,10030.127683408942
2016-01-06,9930.839611619189
2016-01-07,9702.876875902137
2016-01-08,9578.439120992069
2016-01-11,9594.756855174592
2016-01-12,9714.581521930955
2016-01-13,9460.90407330958
2016-01-14,9575.498080773063
2016-01-15,9304.617398658382
2016-01-19,9321.91970040891
2016-01-20,9227.046293786489
2016-01-21,9199.250456734466
2016-01-22,9418.781010156868
2016-01-25,9253.885342628399
2016-01-26,9310.400011389238
2016-01-27,9085.966187610225
2016-01-28,8987.365046881849
2016-01-29,9278.109762876715
2016-02-01,9309.262837113101
2016-02-02,8933.299825644799
2016-02-03,9019.618794071654
2016-02-04,9178.951710459269
2016-02-05,8450.567567859809
2016-02-08,8057.842690416663
2016-02-09,8324.006494222356
2016-02-10,8423.856405289393
2016-02-11,8463.966263129705
2016-02-12,8565.236428501621
2016-02-16,8626.960930927171
2016-02-17,8984.506252576557
2016-02-18,8816.754499335748
2016-02-19,8855.544917788056
2016-02-22,9035.438745831272
2016-02-23,8909.650964691282
2016-02-24,8894.603658330609
2016-02-25,9479.54457594876
2016-02-26,9475.870506364698
2016-02-29,9300.320611765557
2016-03-01,9570.12661749089
2016-03-02,9600.389525630128
2016-03-03,9640.07322483829
2016-03-04,9672.432491351461
2016-03-07,9643.044116744104
2016-03-08,9568.776360138496
2016-03-09,9672.733310299884
2016-03-10,9643.01989049061
2016-03-11,9766.682054321494
2016-03-14,9816.69945021422
2016-03-15,9784.300159748389
2016-03-16,9883.240563198924
2016-03-17,9918.657409756572
2016-03-18,9931.969094369264
2016-03-21,9913.639236987132
2016-03-22,9957.365479542506
2016-03-23,9839.722229530857
2016-03-24,9895.375086167121
2016-03-28,9860.290113270594
2016-03-29,9915.791141102389
2016-03-30,10101.835404167363
2016-03-31,10062.880985072443
2016-04-01,10247.001391850366
2016-04-04,10217.27362443916
2016-04-05,10091.068938360235
2016-04-06,10204.921070260734
2016-04-07,10136.182808945148
2016-04-08,10103.026234039593
2016-04-11,10037.952723384955
2016-04-12,10087.800511691137
2016-04-13,10270.284957895856
2016-04-14,10283.47168045596
2016-04-15,10287.336628018067
2016-04-18,10395.057735221928
2016-04-19,10330.39878486324
2016-04-20,10325.672814854037
2016-04-21,10369.226865359351
2016-04-22,10309.840944109064
2016-04-25,10314.56680282104
2016-04-26,10304.343607249883
2016-04-27,10273.677022522335
2016-04-28,10197.275483040092
2016-04-29,10189.685702751482
2016-05-02,10329.227414609457
2016-05-03,10120.636330764632
2016-05-04,10022.281560824938
2016-05-05,10001.53175914318
2016-05-06,10057.313391843203
2016-05-09,10080.356777111294
2016-05-10,10231.124389046796
2016-05-11,10146.206879719952
2016-05-12,10154.22408016179
2016-05-13,10136.744244272846
2016-05-16,10249.910113177217
2016-05-17,10161.668587158743
2016-05-18,10222.133115503208
2016-05-19,10485.431273104237
2016-05-20,10497.72073609703
2016-05-23,10541.352228321855
2016-05-24,10675.886522228595
2016-05-25,10770.182213916074
2016-05-26,10751.2454580582
2016-05-27,10788.312897205575
2016-05-31,10772.69895636886
2016-06-01,10746.137404229336
2016-06-02,10748.551744097358
2016-06-03,10695.464980578672
2016-06-06,10741.003572950101
2016-06-07,10756.00716155058
2016-06-08,10787.892636998484
2016-06-09,10745.434443358103
2016-06-10,10659.574256136308
2016-06-13,10605.30075151864
2016-06-14,10571.152694560655
2016-06-15,10623.674930098146
2016-06-16,10610.617168981356
2016-06-17,10519.181928790507
2016-06-20,10598.079625563345
2016-06-21,10630.750320244995
2016-06-22,10542.968347295655
2016-06-23,10715.347918106774
2016-06-24,10277.59078627878
2016-06-27,10034.110604490179
2016-06-28,10217.901580665335
2016-06-29,10394.136139503382
2016-06-30,10478.403295351105
2016-07-01,10520.30469855991
2016-07-05,10408.849858991407
2016-07-06,10427.395174146135
2016-07-07,10445.972548866683
2016-07-08,10672.716541269321
2016-07-11,10745.288223325297
2016-07-12,10798.902822201466
2016-07-13,10762.310945744399
2016-07-14,10810.409535836927
2016-07-15,10795.792836454779
2016-07-18,10815.289682126078
2016-07-19,10805.574945387092
2016-07-20,10880.293068419258
2016-07-21,10833.164550051359
2016-07-22,10896.784348610196
2016-07-25,10862.561822634849
2016-07-26,10820.644031619415
2016-07-27,10787.699380276843
2016-07-28,10842.379584312408
2016-07-29,10794.411372452147
2016-08-01,10745.49317735178
2016-08-02,10682.759869124606
2016-08-03,10688.36446346084
2016-08-04,10703.557457818668
2016-08-05,10804.587456428366
