Date,Capital
2016-01-04,10000.0
2016-01-05,10021.276303889566
2016-01-06,9888.878086991608
2016-01-07,9709.907365285866
2016-01-08,9617.829096143523
2016-01-11,9649.160861352098
2016-01-12,9725.375869818978
2016-01-13,9528.262214961262
2016-01-14,9697.570364278035
2016-01-15,9487.733533988327
2016-01-19,9504.53070821884
2016-01-20,9428.27481083861
2016-01-21,9452.01707116112
2016-01-22,9517.853264615425
2016-01-25,9417.962725950325
2016-01-26,9566.612749453001
2016-01-27,9428.655327455492
2016-01-28,9444.38201146945
2016-01-29,9710.888528790609
2016-02-01,9713.857367977473
2016-02-02,9549.252360422548
2016-02-03,9616.79799543941
2016-02-04,9619.190187446125
2016-02-05,9508.620730795323
2016-02-08,9454.977190986896
2016-02-09,9466.52752069275
2016-02-10,9436.423425705429
2016-02-11,9310.575912260898
2016-02-12,9490.682933867527
2016-02-16,9590.182103522577
2016-02-17,9727.600637476738
2016-02-18,9753.01039821197
2016-02-19,9745.423846716705
2016-02-22,9837.99788293061
2016-02-23,9751.444014719802
2016-02-24,9775.16184964812
2016-02-25,9870.75379287695
2016-02-26,9801.712451350382
2016-02-29,9712.944768015186
2016-03-01,9946.222401986932
2016-03-02,9988.768741397735
2016-03-03,9999.255814032176
2016-03-04,10020.314049317962
2016-03-07,10051.046325218604
2016-03-08,10014.760343812331
2016-03-09,10035.344753261288
2016-03-10,10042.671215603128
2016-03-11,10141.140274481353
2016-03-14,10129.636680238513
2016-03-15,10144.277172622293
2016-03-16,10175.886835153797
2016-03-17,10256.84720663107
2016-03-18,10313.80641771601
2016-03-21,10341.44419740106
2016-03-22,10335.798154512857
2016-03-23,10311.146486332158
2016-03-24,10321.814817461755
2016-03-28,10324.055334515117
2016-03-29,10392.147239095373
2016-03-30,10424.334693208868
2016-03-31,10410.235749404517
2016-04-01,10510.478505917248
2016-04-04,10490.146759908857
2016-04-05,10414.635424567567
2016-04-06,10498.795594891955
2016-04-07,10391.159030103207
2016-04-08,10407.303320233355
2016-04-11,10380.235098579333
2016-04-12,10452.106232591037
2016-04-13,10523.07223059616
2016-04-14,10522.576589028984
2016-04-15,10527.605289472996
2016-04-18,10585.1152563556
2016-04-19,10602.348956671158
2016-04-20,10578.843974910633
2016-04-21,10493.288939270686
2016-04-22,10489.476715834722
2016-04-25,10477.084564596944
2016-04-26,10463.645101617345
2016-04-27,10487.606634210144
2016-04-28,10383.205833104459
2016-04-29,10336.75832094734
2016-05-02,10404.367471763466
2016-05-03,10339.219489122852
2016-05-04,10290.90299324309
2016-05-05,10304.747498049148
2016-05-06,10314.09517209025
2016-05-09,10334.884931629682
2016-05-10,10454.142609146424
2016-05-11,10365.958022805633
2016-05-12,10366.522146697944
2016-05-13,10286.805870515544
2016-05-16,10384.2055963287
2016-05-17,10271.370131109288
2016-05-18,10270.134739251473
2016-05-19,10211.59572207999
2016-05-20,10276.334998504395
2016-05-23,10245.596009540044
2016-05-24,10377.451064176366
2016-05-25,10470.387499810588
2016-05-26,10462.711459668304
2016-05-27,10490.275248380753
2016-05-31,10465.767721499342
2016-06-01,10467.906718862787
2016-06-02,10524.133509783533
2016-06-03,10522.837062211758
2016-06-06,10575.12081995737
2016-06-07,10583.274409433929
2016-06-08,10621.555175372625
2016-06-09,10623.633354725496
2016-06-10,10587.369743818981
2016-06-13,10505.384333561464
2016-06-14,10509.226178329613
2016-06-15,10469.729760981336
2016-06-16,10548.402527754022
2016-06-17,10475.883068825124
2016-06-20,10537.335542334979
2016-06-21,10555.731549696442
2016-06-22,10544.37302178638
2016-06-23,10675.058221319798
2016-06-24,10360.128276244792
2016-06-27,10237.575591953784
2016-06-28,10391.263074532122
2016-06-29,10561.133462887803
2016-06-30,10696.739116977233
2016-07-01,10718.647956659119
2016-07-05,10703.883449383733
2016-07-06,10752.700139036691
2016-07-07,10711.772208281716
2016-07-08,10851.685265433482
2016-07-11,10878.042362879434
2016-07-12,10920.366791024097
2016-07-13,10927.214366297687
2016-07-14,10995.926815988749
2016-07-15,10992.86189184284
2016-07-18,10992.472855050168
2016-07-19,11014.287736859476
2016-07-20,11039.468594597394
2016-07-21,10995.749817131225
2016-07-22,11012.004122736538
2016-07-25,10976.400181590749
2016-07-26,10946.75445265689
2016-07-27,10921.059131626993
2016-07-28,10914.252963186096
2016-07-29,10922.331157309956
2016-08-01,10915.186993911802
2016-08-02,10874.84537232458
2016-08-03,10886.918258585898
2016-08-04,10890.169310302337
2016-08-05,10994.245225545385
2016-08-08,10975.600555621224
2016-08-09,10981.000305252224
2016-08-10,10980.252576616018
2016-08-11,11047.427802430415
2016-08-12,11037.525131715069
2016-08-15,11067.199022355186
2016-08-16,11001.400345008475
2016-08-17,11010.765886414127
2016-08-18,11025.992809400112
2016-08-19,10989.155520997154
2016-08-22,10978.738169087339
2016-08-23,10989.920103352553
2016-08-24,10944.126882543549
2016-08-25,10925.549699256682
2016-08-26,10902.136499819026
2016-08-29,10961.488549199505
2016-08-30,10925.75333063521
2016-08-31,10898.134009255205
2016-09-01,10917.392552842128
2016-09-02,10956.679401651514
2016-09-06,11003.543646759139
2016-09-07,11001.006229169325
2016-09-08,10991.108905422248
2016-09-09,10754.602109383963
2016-09-12,10917.070846361774
2016-09-13,10756.784324124517
2016-09-14,10744.51328460682
2016-09-15,10851.996136705347
2016-09-16,10805.645436040979
2016-09-19,10798.148055612306
2016-09-20,10815.699732032952
2016-09-21,10903.637310499076
