train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,time/total_timesteps,time/fps,time/time_elapsed,train/reward,time/episodes
-141.16065979003906,0.05541560426354408,0.07196788489818573,5939,0.0001,-30.055545806884766,6040,40,148,-0.015958695,4
-170.27066040039062,0.03029443882405758,0.12883736193180084,11979,0.0001,-40.249935150146484,12080,39,305,-0.008952132,8
-199.64720153808594,0.0165608748793602,0.0384935662150383,18019,0.0001,-38.14337158203125,18120,39,464,-0.0062098345,12
-229.77972412109375,0.009045199491083622,0.03445056453347206,24059,0.0001,-31.862102508544922,24160,37,646,-0.0111357495,16
-258.5081481933594,0.004940579179674387,0.013356441631913185,30099,0.0001,-25.947452545166016,30200,35,843,-0.019358188,20
-287.29022216796875,0.002699387026950717,0.01586737111210823,36139,0.0001,-19.85397720336914,36240,34,1047,-0.009457827,24
-315.6795654296875,0.0014751349808648229,0.008102977648377419,42179,0.0001,-14.289591789245605,42280,33,1254,-0.009254335,28
-343.6532897949219,0.0008065977599471807,0.0037103586364537477,48219,0.0001,-10.737783432006836,48320,33,1437,-0.02099118,32
-366.74029541015625,0.00044174608774483204,0.0021436181850731373,54259,0.0001,-7.114219665527344,54360,33,1615,-0.014163578,36
-389.69195556640625,0.00024175351427402347,0.001582376193255186,60299,0.0001,-5.394863605499268,60400,33,1783,-0.045837365,40
-406.22088623046875,0.0001324654440395534,0.0012366946320980787,66339,0.0001,-3.394007921218872,66440,33,1964,-0.04406198,44
-418.73468017578125,7.263188308570534e-05,0.0006205826648510993,72379,0.0001,-2.5302484035491943,72480,33,2154,-0.05121975,48
-413.2507019042969,3.999433101853356e-05,0.0006173536530695856,78419,0.0001,-1.8531887531280518,78520,33,2331,-0.04670513,52
-384.39630126953125,2.2096426619100384e-05,0.00025064204237423837,84459,0.0001,-1.3398994207382202,84560,33,2498,-0.050483864,56
-338.7673034667969,1.2296531167521607e-05,0.00024094714899547398,90499,0.0001,-0.959088921546936,90600,34,2655,-0.048380367,60
-288.7281494140625,6.87090278006508e-06,0.00016676342056598514,96539,0.0001,-0.5796656608581543,96640,34,2806,-0.04956091,64
